C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST18:35:47

Vmag <   6 & cat = '*' &
(pm <   0 | pm   > 0) &
(plx   > 0 | plx <   0) &
(radvel   > 0 | radvel <   0)
-----------------------------------------------------------------------------------------------------------

Number of objects : 2885

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
1491;* 19 Sex                           ;PM*;153.2015192472100 +04.6146771548000; -50.538 -6.118     ;6.3184    ;32.37      ;5.781    
1492;* alf Sex                          ;*  ;151.9845156950100 -00.3716703684900; -13.060 -9.669     ;7.6582    ;10.00      ;4.49     
1493;* eps Sex                          ;PM*;154.4075083221 -08.0689138333      ;   -160.57 2.91     ;16.86     ;15.2       ;5.240    
1494;* 18 Sex                           ;V* ;152.7327530910700 -08.4184590805700; -0.115 -43.987     ;5.8416    ;0.2        ;5.618    
1495;* 17 Sex                           ;Ae*;152.5314149275 -08.4081654136      ;   -30.60 -1.00     ;5.47      ;21.00      ;5.901    
1496;* lam Hya                          ;SB*;152.6470357548103 -12.3541274788236;-217.433 -74.373    ;30.0232   ;19.4       ;3.61     
1497;NAME Tania Australis               ;SB*;155.5822490246 +41.4995191958      ;   -81.47 35.34     ;14.16     ;-21.30     ;3.05     
1498;* bet LMi                          ;SB*;156.9708316646 +36.7072100106      ;-127.68 -110.31     ;21.19     ;8.52       ;4.21     
1499;* 27 LMi                           ;*  ;155.7763708476100 +33.9081423975400; -12.314 -4.941     ;13.2063   ;-15.00     ;5.900    
1500;* 30 LMi                           ;Pe*;156.4783972854 +33.7961197100      ;  -73.66 -59.21     ;13.98     ;13.70      ;4.718    
1501;* 28 LMi                           ;*  ;156.0358496126900 +33.7185296928100; -14.460 -2.770     ;6.7945    ;-23.76     ;5.503    
1502;NAME Algieba                       ;** ;154.99312733 +19.84148522          ; 304.30 -154.28     ;25.07     ;-36.24     ;2.37     
1503;* 44 Leo                           ;LP*;156.3133145688400 +08.7848438459800; 10.652 -39.025     ;4.0462    ;-21.23     ;5.61     
1504;* del Sex                          ;PM*;157.3695953551504 -02.7390757814033;-49.127 -13.023     ;9.4160    ;19.00      ;5.180    
1505;* 25 Sex                           ;a2*;155.8603259389700 -04.0740328393400;  -50.818 4.114     ;9.4414    ;23.00      ;5.97     
1506;* mu. Hya                          ;PM*;156.52260958 -16.83628968          ; -129.17 -79.76     ;13.93     ;40.81      ;3.81     
1507;* del Ant                          ;*  ;157.3974117631400 -30.6070651060600;  -29.598 1.704     ;7.0076    ;14.00      ;5.56     
1508;* alf Ant                          ;PM*;156.7879193306000 -31.0677791392500;  -81.320 9.798     ;8.9069    ;12.2       ;4.25     
1509;* r Vel                            ;PM*;155.5816035258900 -41.6499619815800; -27.720 60.366     ;15.7328   ;21.53      ;4.83     
1510;* 32 LMi                           ;*  ;157.5268650399800 +38.9251321708300; -16.446 -4.506     ;4.4749    ;2.00       ;5.784    
1511;* 34 LMi                           ;*  ;158.3787960194200 +34.9886946228400; -28.397 -3.072     ;6.3892    ;7.00       ;5.580    
1512;* 33 LMi                           ;*  ;157.9640641537300 +32.3795570212300;   16.652 7.876     ;12.1011   ;-14.50     ;5.905    
1513;* 37 LMi                           ;*  ;159.6800528733 +31.9762390747      ;      0.07 7.79     ;5.64      ;-7.71      ;4.677    
1514;* 46 Leo                           ;LP*;158.0490560206212 +14.1372696884453; -41.712 24.774     ;3.6070    ;35.22      ;5.46     
1515;* rho Leo                          ;s*b;158.2027986542 +09.3065859569      ;    -5.93 -3.40     ;0.60      ;42.00      ;3.870    
1516;* 49 Leo                           ;EB*;158.75899553 +08.65042873          ;   -52.68 -4.23     ;7.61      ;16.7       ;5.67     
1517;* 48 Leo                           ;PM*;158.7000563406300 +06.9537502783600;-102.355 56.865     ;11.9766   ;4.94       ;5.070    
1518;* bet Sex                          ;a2*;157.5728345412100 -00.6370318161100;-39.290 -23.582     ;8.8899    ;11.6       ;5.10     
1519;* phi Hya                          ;SB*;159.6456153068700 -16.8765651864300; -95.499 25.027     ;12.4255   ;16.58      ;4.903    
1520;* 44 Hya                           ;*  ;158.5036856580200 -23.7451691687900; -11.135 21.596     ;3.721     ;-5.10      ;5.060    
1521;* 42 LMi                           ;*  ;161.4662278013600 +30.6823076273000;-20.344 -38.234     ;7.915     ;12.00      ;5.352    
1522;* 40 LMi                           ;PM*;160.7578433798800 +26.3255635198200;-98.971 -65.543     ;21.2215   ;10.00      ;5.506    
1523;* 41 LMi                           ;PM*;160.8539863104 +23.1884027431      ;   -115.30 7.62     ;14.23     ;18.5       ;5.070    
1524;* m Leo                            ;PM*;161.6022753581000 +18.8915223006100; 95.294 -40.995     ;17.7946   ;-7.46      ;5.492    
1525;* k Leo                            ;PM*;161.6053216064200 +14.1946450377200;-125.375 -64.870    ;11.6536   ;29.57      ;5.478    
1526;* l Leo                            ;*  ;162.3142931509300 +10.5451995804200; -3.569 -25.597     ;9.1892    ;-6.8       ;5.312    
1527;* 35 Sex                           ;** ;160.83717039 +04.74766569          ;   21.82 -34.83     ;5.90      ;-2.18      ;5.79     
1528;* 41 Sex                           ;SB*;162.5752349483700 -08.8977649381900; -5.694 -15.814     ;10.516    ;-4.90      ;5.791    
1529;* nu. Hya                          ;PM*;162.4062031038 -16.1936488858      ;   93.35 198.88     ;22.69     ;-1.37      ;3.11     
1530;* b01 Hya                          ;*  ;161.7168942419600 -17.2968749229400;-15.864 -18.786     ;17.7995   ;-13.70     ;5.44     
1531;* ome UMa                          ;SB*;163.4947538182000 +43.1899575069100; 44.033 -23.714     ;13.291    ;-18.70     ;4.664    
1532;* 49 UMa                           ;PM*;165.2100715838500 +39.2120763442600;-72.985 -27.041     ;9.3797    ;3.3        ;5.062    
1533;NAME Praecipua                     ;PM*;163.3279369729 +34.2148715256      ;  92.02 -285.82     ;34.38     ;15.69      ;3.83     
1534;* 47 LMi                           ;PM*;163.7424124475700 +34.0347985565300;-58.094 -44.792     ;9.9418    ;-27.90     ;5.725    
1535;* 46 UMa                           ;PM*;163.9349345164900 +33.5069289575000;-111.772 -27.303    ;13.5727   ;-23.04     ;5.034    
1536;* 54 Leo                           ;** ;163.90331908 +24.74971730          ;  -80.03 -15.36     ;11.37     ;5.40       ;4.32     
1537;* 54 Leo A                         ;PM*;163.9033389764800 +24.7497284248800;-76.977 -14.698     ;10.742    ;5.4        ;4.477    
1538;* b Leo                            ;Pe*;165.5823990375 +20.1798406972      ;    -8.67 39.07     ;25.73     ;-11.10     ;4.398    
1539;* c Leo                            ;PM*;165.1866750973400 +06.1014452203000;-52.013 -23.524     ;21.4498   ;-11.70     ;4.977    
1540;* 56 Leo                           ;LP?;164.0061208296 +06.1853687567      ;   -23.90 -6.42     ;8.39      ;-8.39      ;5.78     
1541;* 58 Leo                           ;** ;165.1401964303400 +03.6174978845000; 13.868 -15.792     ;9.6348    ;5.98       ;4.838    
1542;* 55 Leo                           ;PM*;163.9266504410742 +00.7369192708186; 107.162 -0.673     ;21.9667   ;11.13      ;5.93     
1543;* p01 Leo                          ;** ;163.4321346015200 -02.1292055521800; -83.401 15.387     ;9.677     ;20.28      ;5.449    
1544;* p03 Leo                          ;PM*;165.9024661518600 -00.0008306925400;  -60.211 1.978     ;6.6158    ;0.10       ;5.927    
1545;* p02 Leo                          ;V* ;165.4569845228104 -02.4845904574794;  9.014 -35.370     ;5.4948    ;-12.70     ;4.75     
1546;NAME Alkes                         ;PM*;164.9436048157617 -18.2987862206156;-462.303 128.614    ;20.3693   ;47.54      ;4.07     
1547;* b03 Hya                          ;PM*;163.3730509407800 -20.1387294556200;80.915 -238.566     ;33.2327   ;-3.994     ;5.24     
1548;* iot Ant                          ;PM*;164.1793800789600 -37.1377674098800;74.069 -124.443     ;15.7132   ;2.30       ;4.60     
1549;* i Vel                            ;*  ;165.0386009833 -42.2258589989      ;     23.28 4.29     ;16.62     ;-3.50      ;4.39     
1550;* 67 Leo                           ;*  ;167.2045329892600 +24.6584937788700;   3.298 -6.403     ;7.3712    ;-5.6       ;5.698    
1551;NAME Zosma                         ;PM*;168.52708927 +20.52371814          ; 143.42 -129.88     ;55.82     ;-20.90     ;2.53     
1552;NAME Chertan                       ;PM*;168.5600185958 +15.4295705794      ;  -60.31 -79.10     ;19.76     ;7.536      ;3.35     
1553;* chi Leo                          ;PM*;166.2542825355171 +07.3360067025872;-345.034 -46.986    ;34.6007   ;3.30       ;4.62     
1554;* p05 Leo                          ;*  ;168.4398045946400 -00.0695022250200;  -46.541 2.767     ;6.2602    ;14.00      ;5.404    
1555;* bet Crt                          ;SB*;167.9144946530200 -22.8258480483300; 7.827 -102.911     ;10.3043   ;5.60       ;4.449    
1556;* chi01 Hya                        ;** ;166.3329272868400 -27.2936240976500;-187.524 -3.099     ;22.5314   ;19.10      ;4.912    
1557;* chi02 Hya                        ;EB*;166.4898749742000 -27.2878535301100; 34.417 -16.477     ;4.7616    ;30.60      ;5.71     
1558;* 10 Crt                           ;PM*;167.1832921077900 -28.0806538639800;-69.211 -22.181     ;18.3139   ;16.00      ;5.421    
1559;* 46 Cen                           ;a2*;166.8195412733300 -42.6386798924800; -83.662 41.467     ;11.255    ;2.00       ;5.24     
1560;* 56 UMa                           ;SB*;170.7065749499700 +43.4826984641300;-35.561 -10.651     ;5.8813    ;1.01       ;5.03     
1561;* 55 UMa                           ;SB*;169.7828588094300 +38.1855933153700;-47.378 -75.708     ;16.0516   ;-3.0       ;4.80     
1562;NAME Alula Borealis                ;*  ;169.6197360100 +33.0943085269      ;   -26.84 28.69     ;8.17      ;-9.63      ;3.49     
1563;* ksi UMa B                        ;SB*;169.5451500480855 +31.5291171363650;-339.398 -607.892   ;114.4867  ;-15.9      ;4.77     
1564;NAME Alula Australis               ;RS*;169.545549500 +31.529288900        ;  -453.7 -591.4     ;113.2     ;-18.2      ;3.79     
1565;* 72 Leo                           ;LP*;168.8009461983 +23.0955103578      ;   -25.56 -6.00     ;3.40      ;14.76      ;4.63     
1566;* 81 Leo                           ;PM*;171.4015532586400 +16.4565368437800;-142.871 -5.605     ;21.3634   ;18.88      ;5.572    
1567;* n Leo                            ;SB*;168.9661671252300 +13.3075652663500;  7.895 -10.518     ;7.0432    ;14.64      ;5.32     
1568;* sig Leo                          ;PM*;170.2841395550 +06.0293252625      ;  -92.97 -11.48     ;14.82     ;-5.3       ;4.040    
1569;* 75 Leo                           ;PM*;169.3225016950 +02.0105564708      ;  55.24 -142.61     ;9.82      ;-59.46     ;5.18     
1570;* 76 Leo                           ;PM*;169.7289984958100 +01.6503954417400;-37.527 -55.805     ;11.594    ;5.11       ;5.904    
1571;* 79 Leo                           ;*  ;171.0096981287500 +01.4077625257700; -16.268 -0.088     ;8.7638    ;-9.87      ;5.386    
1572;* phi Leo                          ;PM*;169.1654149883 -03.6516047272      ; -110.37 -37.16     ;17.71     ;-3.00      ;4.450    
1573;* eps Crt                          ;*  ;171.1524633838100 -10.8593265288200; -25.154 24.689     ;8.178     ;2.00       ;4.802    
1574;* del Crt                          ;PM*;169.8351981738 -14.7785392519      ; -124.67 207.59     ;17.56     ;-4.94      ;3.56     
1575;* gam Crt                          ;PM*;171.2205150829 -17.6840083272      ;    -97.42 3.65     ;39.62     ;1.00       ;4.06     
1576;* lam Crt                          ;SB*;170.8411727775646 -18.7800355935822;-319.253 -17.823    ;22.0397   ;11.05      ;5.09     
1577;* 58 UMa                           ;PM*;172.6297132782400 +43.1732413771600; -49.422 81.735     ;19.3796   ;-33.20     ;5.942    
1578;* 57 UMa                           ;** ;172.26717480 +39.33697553          ;   -53.63 13.63     ;15.33     ;-11.3      ;5.354    
1579;* 86 Leo                           ;PM*;172.6209484505800 +18.4098070402600; -76.401 23.613     ;9.4403    ;24.37      ;5.549    
1580;* 90 Leo                           ;** ;173.67704265 +16.79691544          ;   -10.60 -0.30     ;1.72      ;6.40       ;5.940    
1581;* 85 Leo                           ;PM*;172.4243490069800 +15.4132657125800;-31.040 -49.515     ;7.028     ;-28.52     ;5.734    
1582;* tau Leo                          ;*  ;171.9843313462600 +02.8562650302500; 16.851 -10.756     ;6.1072    ;-8.82      ;4.943    
1583;* ups Leo                          ;*  ;174.2372119125 -00.8237489733      ;     1.76 43.37     ;17.97     ;1.79       ;4.30     
1584;* e Leo                            ;*  ;172.5787223020500 -03.0034997012900; 19.554 -16.149     ;6.5892    ;18.43      ;4.77     
1585;* tet Crt                          ;PM*;174.1704723071 -09.8022475661      ;    -59.38 2.55     ;11.63     ;1.00       ;4.673    
1586;* kap Crt                          ;PM*;171.7896486918400 -12.3567490014500; -99.937 23.947     ;14.2499   ;8.69       ;5.923    
1587;* 17 Crt B                         ;PM*;173.0668331444900 -29.2633055387300;-22.006 140.413     ;35.5239   ;9.8        ;5.671    
1588;* 18 Crt                           ;V* ;173.2255362517700 -31.0872253996500;  -29.500 6.543     ;7.7972    ;19.4       ;5.11     
1589;* ksi Hya                          ;** ;173.2504793996 -31.8576231803      ; -209.62 -40.84     ;25.16     ;-4.599     ;3.54     
1590;* 20 Crt                           ;PM*;173.6228601847283 -32.8313396648364;-670.230 822.399    ;104.6133  ;-22.021    ;5.98     
1591;* 61 UMa                           ;PM*;175.2625677942550 +34.2016337792914;-12.522 -381.196    ;104.4252  ;-5.18      ;5.34     
1592;* 62 UMa                           ;SB*;175.3927350393833 +31.7460486283739;-352.105 29.919     ;23.8297   ;31.51      ;5.75     
1593;* 92 Leo                           ;PM*;175.1961135292200 +21.3527274384000;-60.943 -45.959     ;13.6688   ;9.38       ;5.255    
1594;* 93 Leo                           ;RS*;176.99639979 +20.21893056          ;  -145.49 -4.34     ;14.02     ;0.750      ;4.522    
1595;* ome Vir                          ;LP*;174.6150302829 +08.1342962064      ;     -3.89 5.30     ;6.56      ;5.29       ;5.36     
1596;* ksi Vir                          ;PM*;176.3210011321 +08.2581152819      ;   60.08 -24.50     ;26.73     ;-0.5       ;4.842    
1597;* 4 Vir                            ;** ;176.9787304835000 +08.2458926881400;  -54.159 8.741     ;16.4396   ;-0.9       ;5.316    
1598;* nu. Vir                          ;LP*;176.4648315567 +06.5293725797      ; -18.96 -181.56     ;11.10     ;50.28      ;4.04     
1599;* iot Crt                          ;PM*;174.6667420032200 -13.2019392380800; 91.849 125.335     ;37.245    ;-22.650    ;5.48     
1600;* zet Crt                          ;** ;176.1907332321900 -18.3506763721000; 27.298 -24.644     ;9.5113    ;-3.64      ;4.706    
1601;* 26 Crt                           ;*  ;175.4331141515300 -32.4994031195200; -7.150 -32.948     ;7.5905    ;35.25      ;5.200    
1602;* omi Hya                          ;*  ;175.0532904262 -34.7446592672      ;   -43.24 -1.61     ;7.27      ;5.9        ;4.70     
1603;NAME Denebola                      ;dS*;177.26490976 +14.57205806          ;-497.68 -114.67     ;90.91     ;-0.20      ;2.13     
1604;* o Leo                            ;SB*;178.9188863461200 +15.6468194057400;   10.592 1.879     ;7.7561    ;-21.4      ;5.522    
1605;* 6 Vir                            ;*  ;178.7630519005100 +08.4439421185600; -32.519 15.424     ;19.2949   ;-8.72      ;5.569    
1606;* b Vir                            ;*  ;179.9871395801000 +03.6552046169400; -18.883 -6.935     ;10.8636   ;-2.5       ;5.345    
1607;NAME Zavijava                      ;PM*;177.6738271494233 +01.7647226497586;740.746 -270.927    ;90.8945   ;4.455      ;3.60     
1608;* eta Crt                          ;PM*;179.0039754730300 -17.1508244691200; -49.952 -8.271     ;13.0075   ;15.00      ;5.160    
1609;* 29 Crt                           ;*  ;178.9172119276400 -28.4771039075700;  2.509 -27.315     ;5.9519    ;11.3       ;5.893    
1610;* bet Hya                          ;a2*;178.22717287 -33.90812978          ;    -56.56 0.19     ;10.53     ;-1.00      ;4.28     
1611;* omi Vir                          ;PM*;181.3022520350 +08.7329860522      ;  -218.69 57.76     ;19.98     ;-29.578    ;4.12     
1612;* pi. Vir                          ;SB*;180.2182934200 +06.6143214175      ;    0.26 -30.10     ;8.49      ;-10.4      ;4.642    
1613;* 31 Crt                           ;SB*;180.2131631734200 -19.6589811764300;  -17.071 6.830     ;1.6891    ;1.7        ;5.264    
1614;NAME Minkar                        ;PM*;182.5311690937 -22.6197672175      ;   -71.74 10.25     ;10.26     ;5.00       ;2.98     
1615;* 3 Crv                            ;PM*;182.7659958400400 -23.6024210656500;-66.124 -20.205     ;16.3368   ;11.00      ;5.47     
1616;NAME Alchiba                       ;PM*;182.1034021837 -24.7288750983      ;   99.52 -39.19     ;66.95     ;2.80       ;4.00     
1617;* 2 CVn                            ;*  ;184.0314544263800 +40.6601786442200; 17.017 -32.279     ;4.5205    ;-14.79     ;5.66     
1618;* 4 Com                            ;SB*;182.9632362126000 +25.8702798578700;-39.545 -30.678     ;6.5699    ;21.30      ;5.62     
1619;* 7 Com                            ;*  ;184.0855762879 +23.9454083328      ;   -26.55 -6.22     ;13.08     ;-27.89     ;4.86     
1620;* 5 Com                            ;*  ;183.0387066828000 +20.5420619867100;-15.179 -17.978     ;9.0098    ;-25.70     ;5.55     
1621;* 11 Com                           ;PM*;185.1792740399600 +17.7928687534300;-109.426 88.930     ;10.1677   ;43.37      ;4.74     
1622;* 6 Com                            ;PM*;184.0007773648499 +14.8990678956600;-80.593 -31.055     ;15.3309   ;9.60       ;5.090    
1623;* 12 Vir                           ;PM*;183.3580802476099 +10.2623397040600; -93.221 -8.348     ;19.4898   ;2.3        ;5.829    
1624;* c Vir                            ;RG*;185.0874224675821 +03.3125708936114;-293.281 -63.568    ;9.6700    ;36.66      ;4.96     
1625;* 13 Vir                           ;*  ;184.6679895264699 -00.7871843186400; 33.554 -16.527     ;8.6971    ;-14.00     ;5.897    
1626;NAME Zaniah                        ;SB*;184.9764266591500 -00.6667961981100;-54.665 -17.642     ;13.1692   ;5.24       ;3.90     
1627;NAME Gienah                        ;PM*;183.95154504 -17.54193046          ;  -158.61 21.86     ;21.23     ;-4.2       ;2.58     
1628;* zet Crv                          ;Be*;185.1401749294400 -22.2159004737000;-108.879 -27.661    ;8.4789    ;-6.40      ;5.21     
1629;NAME Chara                         ;** ;188.4356010485612 +41.3574781535719;-704.702 292.155    ;118.0266  ;6.268      ;4.25     
1630;* 6 CVn                            ;PM*;186.4622439935199 +39.0186156475500;-77.864 -33.599     ;13.2662   ;-4.30      ;5.01     
1631;* gam Com                          ;PM*;186.7344669712 +28.2684225225      ;  -83.95 -81.13     ;19.50     ;3.38       ;4.34     
1632;* 13 Com                           ;a2*;186.0772870957200 +26.0985892788300; -26.158 -9.385     ;11.1318   ;0.10       ;5.18     
1633;* 14 Com                           ;*  ;186.6002684278900 +27.2682388351800;-15.874 -11.784     ;11.2826   ;-2.20      ;4.95     
1634;* 16 Com                           ;*  ;186.7470678949599 +26.8257017040400; -11.589 -9.138     ;11.9394   ;0.40       ;4.959    
1635;NAME ** STFA 21                    ;a2*;187.2279260027700 +25.9128516147600;-23.071 -15.110     ;12.9991   ;-1.40      ;5.236    
1636;* 12 Com                           ;SB*;185.6262974615900 +25.8461576834300; -11.426 -8.112     ;11.4903   ;0.5        ;4.81     
1637;* 18 Com                           ;*  ;187.3626766805100 +24.1089228352900;  -18.180 1.106     ;16.5304   ;25.1       ;5.468    
1638;* 21 Com                           ;a2*;187.7523354176100 +24.5671659014800; -12.474 -9.085     ;12.0785   ;0.1        ;5.436    
1639;* 20 Com                           ;*  ;187.4301668900600 +20.8961081225800; 26.280 -31.746     ;12.0613   ;-5.1       ;5.679    
1640;* eta Crv                          ;PM*;188.0176100077008 -16.1960051709386;-424.597 -58.241    ;54.8135   ;0.69       ;4.294    
1641;NAME Algorab                       ;PM*;187.4660631842 -16.5154312617      ;-210.49 -138.74     ;37.55     ;13.90      ;2.94     
1642;* 6 Crv                            ;*  ;185.8399486294000 -24.8406704017200;-19.342 -20.272     ;9.5952    ;-2.42      ;5.658    
1643;* x01 Cen                          ;*  ;185.8975813521099 -35.4126766663500; -42.132 -6.896     ;7.3671    ;-10.00     ;5.311    
1644;* x02 Cen                          ;V* ;186.3405605964300 -35.1864162543700; -41.277 -6.379     ;7.1919    ;-11.3      ;5.707    
1645;* u Cen                            ;*  ;187.0936131854400 -39.0411640299600;-28.016 -12.696     ;6.6483    ;5.00       ;5.439    
1646;* 10 CVn                           ;PM*;191.2475206842766 +39.2789161478603;-359.699 139.016    ;56.9588   ;80.459     ;5.95     
1647;* 23 Com                           ;** ;188.7128357462 +22.6292584044      ;   -58.89 28.31     ;10.52     ;-16.00     ;4.773    
1648;* 26 Com                           ;SB*;189.7804274449100 +21.0625833831600;-71.779 -14.596     ;11.9544   ;-20.3      ;5.49     
1649;* 24 Com A                         ;V* ;188.7823356069899 +18.3770585454400;  -3.030 23.285     ;8.9188    ;3.03       ;5.02     
1650;* 25 Com                           ;*  ;189.2430491084300 +17.0895346910500;-37.488 -17.458     ;5.7764    ;-11.40     ;5.66     
1651;* rho Vir                          ;dS*;190.4710706146200 +10.2356257137000; 81.912 -90.323     ;25.6921   ;1.6        ;4.88     
1652;* d01 Vir                          ;PM*;190.4879887063600 +06.8066159801600;-71.532 -11.170     ;12.2199   ;3.8        ;5.573    
1653;NAME Porrima                       ;PM*;190.4151176200630 -01.4494039524575;-605.176 85.701     ;83.1935   ;-19.8      ;2.74     
1654;* gam Vir B                        ;Pe*;190.4147607686542 -01.4494021269331;-534.318 -64.270    ;78.5233   ;-19.8      ;3.49     
1655;* f Vir                            ;*  ;189.1973091795900 -05.8319005451700;-27.992 -20.279     ;14.0684   ;-6.00      ;5.88     
1656;* chi Vir                          ;** ;189.8115290086000 -07.9955649571800;-77.223 -24.409     ;10.3526   ;-18.94     ;4.643    
1657;* q Vir                            ;PM*;188.4447828592 -09.4520770897      ;    -83.46 0.22     ;12.62     ;-11.00     ;5.48     
1658;NAME Kraz                          ;PM*;188.5968118304 -23.3967604036      ;    1.11 -56.56     ;22.39     ;-7.34      ;2.64     
1659;* l Cen                            ;** ;189.9688683100 -39.9873029422      ;  -43.38 -25.25     ;8.94      ;15.1       ;4.64     
1660;* alf01 CVn                        ;PM*;194.0017979507600 +38.3148525169500;-233.611 61.504     ;30.6121   ;-0.76      ;5.60     
1661;NAME Cor Caroli                    ;a2*;194.0069425712 +38.3183761417      ;  -235.08 53.54     ;28.41     ;-4.10      ;2.88     
1662;* 31 Com                           ;Ro*;192.9246673735999 +27.5407125046700; -12.025 -8.119     ;11.8467   ;-0.08      ;4.94     
1663;* 30 Com                           ;** ;192.3227114797600 +27.5523786803300; -93.871 21.596     ;11.8615   ;-11.00     ;5.78     
1664;* 35 Com                           ;SB*;193.32394594 +21.24494701          ;  -37.66 -30.14     ;11.52     ;-6.091     ;4.91     
1665;* 27 Com                           ;*  ;191.6615076789699 +16.5776878118000;  14.359 15.903     ;10.6919   ;50.58      ;5.12     
1666;* 29 Com                           ;*  ;192.2258881277699 +14.1225865343000; 28.555 -19.862     ;8.4359    ;-5.90      ;5.681    
1667;* d02 Vir                          ;dS*;191.4044103504 +07.6733248853      ;   -107.95 4.10     ;12.91     ;-8.7       ;5.207    
1668;NAME Minelauva                     ;RG*;193.9008691908 +03.3974703403      ; -469.99 -52.83     ;16.44     ;-18.87     ;3.38     
1669;* psi Vir                          ;LP*;193.5881809067 -09.5389939675      ;  -18.08 -19.52     ;5.99      ;17.6       ;4.80     
1670;* p Cen                            ;*  ;192.6715141190700 -33.9993479584600;-29.710 -13.778     ;7.9731    ;4.00       ;4.894    
1671;* n Cen                            ;PM*;193.3591667112 -40.1788733483      ;   70.84 -22.54     ;21.95     ;-2.5       ;4.27     
1672;* 14 CVn                           ;V* ;196.4351480783800 +35.7988999360900; -37.208 20.034     ;9.8367    ;-13.00     ;5.195    
1673;* 37 Com                           ;RS*;195.0686226596800 +30.7850220713700; -20.750 -6.712     ;5.2918    ;-14.34     ;4.88     
1674;* 41 Com                           ;PM*;196.7947080094463 +27.6247376218361; 34.155 -69.539     ;8.5989    ;-17.38     ;4.69     
1675;* 40 Com                           ;LP*;196.5941751107899 +22.6161869720300; 28.883 -43.940     ;5.4634    ;-5.15      ;5.61     
1676;* 38 Com                           ;*  ;195.2900636729000 +17.1231465759200; -8.140 -23.102     ;7.7379    ;-5.67      ;5.93     
1677;* 36 Com                           ;PM*;194.7310123782400 +17.4094428590700; -37.705 33.723     ;9.393     ;-1.98      ;5.00     
1678;NAME Vindemiatrix                  ;PM*;195.5441577067 +10.9591504008      ;  -273.80 19.96     ;29.76     ;-14.29     ;2.79     
1679;* k Vir                            ;** ;194.9147256464000 -03.8119369515900; -48.371 10.607     ;13.3246   ;-12.30     ;5.791    
1680;* 19 CVn                           ;SB*;198.8831240630599 +40.8552026899800;-111.773 21.223     ;14.6877   ;-18.3      ;5.777    
1681;* 20 CVn                           ;dS*;199.3855872112 +40.5726076325      ;  -125.28 18.47     ;12.34     ;9.32       ;4.698    
1682;* 17 CVn                           ;PM*;197.5134002995700 +38.4989809500800; -70.304 44.390     ;16.7285   ;-16.40     ;5.910    
1683;* bet Com                          ;PM*;197.9683076116925 +27.8781839748500;-800.720 882.301    ;108.7250  ;5.297      ;4.25     
1684;NAME Diadem                        ;** ;197.49702169 +17.52945526          ; -433.13 141.24     ;56.10     ;-18.826    ;4.32     
1685;* sig Vir                          ;V* ;199.4011802800 +05.4698672539      ;     -6.06 9.14     ;4.83      ;-28.26     ;4.80     
1686;* tet Vir                          ;** ;197.4874539107000 -05.5390040652200;-35.252 -33.302     ;11.1834   ;-3.353     ;4.397    
1687;* g Vir                            ;PM*;197.1352754584800 -08.9843824093800;-36.396 -63.956     ;9.2032    ;15.55      ;5.564    
1688;* 49 Vir                           ;*  ;196.9742202965300 -10.7404087040400; 16.629 -10.192     ;11.1498   ;-9.55      ;5.151    
1689;* 50 Vir                           ;V* ;197.4386717216600 -10.3293396766600; -13.517 -9.315     ;4.8532    ;-7.3       ;5.943    
1690;* 53 Vir                           ;PM*;198.0147632810596 -16.1986029691842;97.167 -288.066     ;29.9003   ;-12.499    ;5.04     
1691;* 61 Vir                           ;PM*;199.6013082768629 -18.3111938190506;-1070.202 -1063.849 ;117.1726  ;-7.824     ;4.740    
1692;* 55 Vir                           ;PM*;198.5453964623000 -19.9309456695500;-119.745 159.578    ;26.5757   ;-48.12     ;5.33     
1693;* 57 Vir                           ;PM*;198.9948786208545 -19.9431003621942;304.278 -114.932    ;26.6876   ;35.11      ;5.22     
1694;* psi Hya                          ;*  ;197.2636082308400 -23.1180438664600;-20.533 -46.131     ;14.0296   ;-15.85     ;4.934    
1695;* r Cen                            ;RG*;199.2213828338100 -31.5062012746500; 34.475 -48.146     ;12.5974   ;12.9       ;5.110    
1696;* 23 CVn                           ;PM*;200.0789629066300 +40.1505465315200; -58.211 -3.696     ;6.5359    ;-20.82     ;5.60     
1697;* 70 Vir                           ;PM*;202.1075357953671 +13.7787884191131;-235.951 -575.969   ;55.2511   ;5.017      ;4.970    
1698;* 71 Vir                           ;PM*;202.3041690856500 +10.8183091921200;-59.626 -36.758     ;11.2146   ;0.69       ;5.646    
1699;* 64 Vir                           ;** ;200.5404370269300 +05.1547543045500;-87.957 -40.277     ;15.1555   ;-10.2      ;5.873    
1700;* 65 Vir                           ;*  ;200.8287229622999 -04.9244282744800;-19.960 -16.703     ;4.0566    ;9.8        ;5.858    
1701;* 66 Vir                           ;PM*;201.1385356918700 -05.1640012418900;132.135 -33.841     ;37.483    ;8.90       ;5.749    
1702;* i Vir                            ;PM*;201.6798605863500 -12.7076629044600;-130.093 -21.369    ;6.6344    ;-28.6      ;5.25     
1703;NAME Spica                         ;bC*;201.29824736 -11.16131949          ;  -42.35 -30.67     ;13.06     ;1.0        ;0.97     
1704;* 69 Vir                           ;PM*;201.8631834863600 -15.9735793399400;-121.566 20.435     ;12.0127   ;-12.99     ;4.750    
