C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST11:14:12

Vmag <  6 & cat = '*' & pm  > 0 & plx  > 0 & radvel  > 0
--------------------------------------------------------

Number of objects : 1518

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm         ;   plx    ;  radvel  ;  Mag V  
782 ;* tau Peg                          ;dS*;350.1593592882200 +23.7403550644600;  36.270 -2.505    ;20.7145   ;15.20     ;4.580    
783 ;* 71 Peg                           ;LP?;353.3670584525 +22.4987762658      ;    9.92 -16.89    ;6.27      ;1.62      ;5.42     
784 ;* 1 Ari                            ;** ;027.53570767 +22.27533610          ;   -16.52 -8.25    ;5.57      ;6.95      ;5.86     
785 ;* 15 Ari                           ;LP*;032.6566537023500 +19.5003367021000; 88.751 -27.183    ;4.8855    ;62.04     ;5.688    
786 ;* tet Ari                          ;*  ;034.5313775477800 +19.9011576089800;  -7.832 -3.654    ;7.222     ;2.30      ;5.572    
787 ;* 40 Ari                           ;PM*;042.1337018343700 +18.2837913271600; 41.437 -32.566    ;7.302     ;46.60     ;5.830    
788 ;* rho02 Ari                        ;LP*;043.9520749992 +18.3316397044      ;   -7.78 -14.98    ;9.28      ;47.88     ;5.93     
789 ;* rho Ari                          ;PM*;044.1090488610469 +18.0232403301703;262.027 -231.606   ;27.2557   ;13.576    ;5.58     
790 ;* mu. Peg                          ;PM*;342.5008047942 +24.6015828833      ;  144.70 -41.87    ;30.74     ;13.791    ;3.48     
791 ;* phi Psc                          ;SB*;018.4372752354000 +24.5836976157300; 17.001 -20.531    ;8.1806    ;6.36      ;4.66     
792 ;* 7 Ari                            ;V* ;028.9626601942300 +23.5773154246300;  11.572 -8.569    ;6.1023    ;15.95     ;5.749    
793 ;* kap Ari                          ;SB*;031.6413540514516 +22.6483187761008; 20.348 -35.671    ;18.0292   ;11.5      ;5.019    
794 ;* nu. Ari                          ;*  ;039.7041351977000 +21.9614020544100; -4.203 -15.103    ;12.0933   ;8.00      ;5.451    
795 ;* 32 Peg                           ;** ;335.3305789602700 +28.3305296837200;   17.504 5.298    ;4.5201    ;11.40     ;4.81     
796 ;* omi Peg                          ;*  ;340.4391840352100 +29.3076752842600; -4.553 -36.588    ;11.6546   ;9.090     ;4.79     
797 ;* bet Peg                          ;LP*;345.94357275 +28.08278712          ;  187.65 136.93    ;16.64     ;7.99      ;2.42     
798 ;* 65 Psc                           ;** ;012.47152922 +27.71028686          ;   88.17 -10.15    ;11.29     ;6.80      ;5.57     
799 ;* ups Psc                          ;*  ;019.8666370358 +27.2640598692      ;   22.98 -11.12    ;10.59     ;5.80      ;4.748    
800 ;* 10 Ari                           ;** ;030.91393946 +25.93547582          ;   128.01 11.19    ;20.53     ;13.00     ;5.694    
801 ;* 10 Ari A                         ;PM*;030.9139372770300 +25.9354735306500; 126.399 13.242    ;19.4595   ;13.22     ;5.765    
802 ;* eps Ari                          ;** ;044.80302232 +21.34043264          ;   -13.74 -5.12    ;9.81      ;0.90      ;4.63     
803 ;* mu.01 Cyg                        ;PM*;326.035787300 +28.742606119        ;   277.4 -251.1    ;42.1      ;18.0      ;4.70     
804 ;* mu. Cyg                          ;** ;326.0357430466654 +28.7426298618136;256.452 -239.685   ;45.1560   ;16.95     ;4.50     
805 ;* 15 Peg                           ;PM*;328.1246533410400 +28.7935418554900;-59.169 -61.603    ;37.0591   ;18.921    ;5.53     
806 ;* eta Peg                          ;SB*;340.7505368539500 +30.2212147137200; 19.957 -18.971    ;16.6308   ;4.17      ;2.95     
807 ;* 64 Peg                           ;** ;350.4788979706200 +31.8124654869900;   8.777 -7.698    ;4.7612    ;0.70      ;5.348    
808 ;* 67 Peg                           ;*  ;351.2118021370100 +32.3848806576800;   16.882 2.197    ;7.0862    ;14.70     ;5.548    
809 ;* sig Psc                          ;SB*;015.7045699500800 +31.8042616763100; 15.146 -30.878    ;8.4535    ;10.4      ;5.50     
810 ;* tau Psc                          ;PM*;017.9150715278900 +30.0896379347200; 73.384 -26.707    ;18.9653   ;29.19     ;4.511    
811 ;* 10 Tri                           ;*  ;034.7374731105800 +28.6426756236300;    7.073 0.836    ;8.9971    ;0.40      ;5.291    
812 ;V* VZ Ari                          ;a2*;042.1912635712200 +25.1880522341000;  60.139 -2.475    ;6.2922    ;13.8      ;5.890    
813 ;* pi. Peg                          ;*  ;332.4968488075 +33.1782215622      ;  -12.87 -18.95    ;12.40     ;5.10      ;4.29     
814 ;* pi. And                          ;SB*;009.2202052354 +33.7193439994      ;    14.75 -3.51    ;5.45      ;8.20      ;4.36     
815 ;* 13 Tri                           ;PM*;037.2020603568155 +29.9317579328378; -66.071 71.499    ;31.7031   ;41.193    ;5.901    
816 ;* 33 Ari                           ;PM*;040.1711501304800 +27.0609435487500; 63.163 -26.952    ;12.6464   ;18.30     ;5.296    
817 ;* 35 Ari                           ;SB*;040.8629761644000 +27.7071494092900;  8.502 -11.433    ;5.2876    ;13        ;4.67     
818 ;* 41 Ari                           ;** ;042.4959718358 +27.2605072272      ;  66.81 -116.52    ;19.69     ;4.00      ;3.594    
819 ;* zet Cyg                          ;SB*;318.2341080612 +30.2269154631      ;    6.51 -68.21    ;22.79     ;16.72     ;3.21     
820 ;* tet And                          ;** ;004.2729265135192 +38.6816357293394;-57.551 -14.795    ;18.8747   ;0.9       ;4.61     
821 ;* rho And                          ;PM*;005.2802864133200 +37.9686054569600; 57.737 -38.838    ;19.9513   ;10.40     ;5.18     
822 ;* mu. And                          ;PM*;014.1883837971 +38.4993439011      ;   153.48 36.49    ;25.14     ;7.20      ;3.87     
823 ;* bet And                          ;PM*;017.43301617 +35.62055765          ; 175.90 -112.20    ;16.52     ;0.06      ;2.05     
824 ;* gam Tri                          ;PM*;034.3286126396 +33.8471930692      ;   44.64 -52.57    ;29.04     ;9.90      ;4.00     
825 ;* 15 And                           ;dS*;353.6564034738700 +40.2364396274600;-18.402 -46.401    ;13.0457   ;13.10     ;5.563    
826 ;* 47 And                           ;SB*;020.9192345089200 +37.7149442692600; 82.131 -18.986    ;15.7619   ;13.30     ;5.587    
827 ;* bet Tri                          ;SB*;032.38594634 +34.98729706          ;  149.16 -39.10    ;25.71     ;12.30     ;3.00     
828 ;* 21 Per                           ;a2*;044.3220071736500 +31.9342204161600;  1.790 -30.088    ;9.3448    ;8.50      ;5.093    
829 ;* 69 Cyg                           ;Pu*;321.4459378731100 +36.6673844953500;   6.785 -9.369    ;0.4642    ;2.8       ;5.94     
830 ;* 13 Lac                           ;*  ;341.0228279877500 +41.8192348147700;   -9.143 3.370    ;11.5268   ;12.73     ;5.08     
831 ;* 39 And                           ;*  ;015.7260612759800 +41.3452135501500;-18.380 -18.498    ;9.5651    ;2.234     ;5.932    
832 ;* 58 And                           ;PM*;032.1219166096 +37.8590794772      ;  154.36 -42.76    ;17.04     ;7.60      ;4.82     
833 ;* 17 Per                           ;PM*;042.8784889413600 +35.0597397044300;  9.479 -62.744    ;7.7762    ;13.21     ;4.53     
834 ;* kap Cnc                          ;a2*;136.9367064754900 +10.6681998852300;-18.312 -12.105    ;5.3209    ;24.50     ;5.24     
835 ;* ome Hya                          ;*  ;136.4932074356700 +05.0923260299900; -21.393 -9.590    ;5.3609    ;27.32     ;4.981    
836 ;* 19 Hya                           ;*  ;137.1757544003500 -08.5895333428000; -21.201 -0.520    ;4.8717    ;23.4      ;5.609    
837 ;* 20 Hya                           ;*  ;137.3982072395600 -08.7876484712000; -17.023 -7.063    ;5.861     ;26.0      ;5.46     
838 ;* 38 Lyn                           ;PM*;139.71101600 +36.80259252          ; -32.33 -125.64    ;26.13     ;4.0       ;3.92     
839 ;* alf Lyn                          ;PM*;140.2637508770291 +34.3925592893489;-218.723 16.555    ;14.7042   ;38.47     ;3.14     
840 ;* pi.02 Cnc                        ;*  ;138.8077171376300 +14.9415088841700;-41.018 -11.304    ;5.6869    ;27.47     ;5.348    
841 ;* 24 Hya                           ;*  ;139.1723614649800 -08.7447583502000;  -17.359 0.577    ;4.1533    ;8.10      ;5.468    
842 ;* 27 Hya                           ;*  ;140.1209106900 -09.5556959511      ;  -12.48 -27.37    ;14.66     ;25.60     ;4.811    
843 ;* tet Pyx                          ;*  ;140.3732929611600 -25.9654406299200; -12.860 -9.792    ;5.096     ;20.0      ;4.72     
844 ;* 8 LMi                            ;PM*;142.8850435278500 +35.1032720424300;-54.488 -97.434    ;6.6271    ;40.11     ;5.37     
845 ;* 7 LMi                            ;PM*;142.6801127079200 +33.6557138525300;-23.939 -48.160    ;7.0542    ;1.7       ;5.857    
846 ;* kap Leo                          ;** ;141.1635780821 +26.1823236031      ;  -31.64 -48.20    ;16.20     ;28.00     ;4.46     
847 ;* lam Leo                          ;V* ;142.9301147300 +22.9679695553      ;  -20.17 -39.47    ;9.91      ;24.27     ;4.31     
848 ;* ksi Leo                          ;PM*;142.9864207233500 +11.2998217991600;-101.446 -82.543   ;14.2602   ;35.83     ;4.963    
849 ;* 6 Leo                            ;*  ;142.9899041851900 +09.7157653147900; -8.974 -12.737    ;5.2776    ;18.55     ;5.07     
850 ;* 3 Leo                            ;*  ;142.1215585533500 +08.1883055670100;-26.193 -32.383    ;7.1461    ;17.77     ;5.713    
851 ;* tau02 Hya                        ;*  ;142.9955247736100 -01.1846713524800; -11.906 -2.198    ;5.5119    ;3.90      ;4.548    
852 ;* tau01 Hya                        ;SB*;142.2872140254600 -02.7689394543100;116.374 -31.265    ;54.9187   ;10.484    ;4.60     
853 ;* 28 Hya                           ;*  ;141.3501461867600 -05.1173951780700; -12.080 -6.419    ;4.0923    ;5.3       ;5.579    
854 ;* G Hya                            ;PM*;141.8267187649600 -22.3437270895500;178.235 -178.053   ;18.5521   ;29.05     ;4.69     
855 ;* lam Pyx                          ;PM*;140.8010429063300 -28.8338613514300;-126.913 23.116    ;17.0726   ;10.80     ;4.68     
856 ;* zet02 Ant                        ;*  ;142.8839789673200 -31.8718098634700; -46.727 -9.036    ;8.8101    ;19.80     ;5.899    
857 ;* eps Ant                          ;*  ;142.3113319867 -35.9513353986      ;    -24.69 5.04    ;4.59      ;22.2      ;4.51     
858 ;* 11 LMi                           ;RS*;143.9145924739025 +35.8101325142153;-726.514 -259.057  ;89.0092   ;14.420    ;5.340    
859 ;* f Leo                            ;PM*;145.8885831791200 +29.9744766382100;-16.946 -102.252   ;19.9483   ;15.6      ;5.621    
860 ;* 8 Leo                            ;*  ;144.2607565298100 +16.4379518162100; -14.459 -3.358    ;2.9769    ;6.41      ;5.732    
861 ;* psi Leo                          ;V* ;145.9329451054200 +14.0217030831900;   1.614 -2.014    ;5.3048    ;11.52     ;5.35     
862 ;* omi Leo                          ;SB*;145.2876376996 +09.8923083842      ; -143.20 -37.20    ;25.03     ;26.18     ;3.52     
863 ;* 10 Leo                           ;SB*;144.3028305924300 +06.8358224536600; -67.135 -8.899    ;12.9379   ;12.16     ;5.009    
864 ;* 2 Sex                            ;PM*;144.6137022018196 +04.6492927677767;-164.812 -50.933   ;10.3358   ;44.85     ;4.68     
865 ;* iot Hya                          ;PM*;144.9640060237 -01.1428093031      ;   46.96 -62.39    ;12.39     ;24.19     ;3.91     
866 ;* 33 Hya                           ;PM*;143.6360316741100 -05.9149501185400;  9.308 -58.066    ;6.4986    ;12.6      ;5.548    
867 ;* kap Hya                          ;V* ;145.0765206637 -14.3322965108      ;  -23.41 -21.10    ;7.48      ;20.60     ;5.052    
868 ;* I Hya                            ;Be*;145.3208638296 -23.5915148383      ;    -29.29 2.70    ;6.44      ;25.9      ;4.76     
869 ;* tet Ant                          ;** ;146.0503963187 -27.7694725153      ;   -53.23 37.24    ;9.61      ;24.00     ;4.79     
870 ;* mu. Leo                          ;PM*;148.1909022646 +26.0069533006      ; -217.31 -54.26    ;26.28     ;13.647    ;3.88     
871 ;* eps Leo                          ;V* ;146.4628054183 +23.7742557872      ;   -45.61 -9.21    ;13.22     ;4.322     ;2.98     
872 ;* 18 Leo                           ;*  ;146.5971971333200 +11.8100432356400; -16.084 17.619    ;4.4601    ;29.42     ;5.644    
873 ;* eta Leo                          ;*  ;151.8331327525 +16.7626611861      ;    -2.80 -1.82    ;2.57      ;1.40      ;3.41     
874 ;* nu. Leo                          ;SB*;149.5557315446 +12.4448018033      ;  -25.66 -15.56    ;6.53      ;14.4      ;5.260    
875 ;* 10 Sex                           ;PM*;149.10823279 +08.93315578          ;   -85.54 19.77    ;5.63      ;7.64      ;5.848    
876 ;* pi. Leo                          ;V* ;150.0533578758 +08.0442231178      ;  -31.41 -22.15    ;8.03      ;22.30     ;4.70     
877 ;* ups02 Hya                        ;V* ;151.2811203338 -13.0646266981      ;   -39.39 19.65    ;10.40     ;24.30     ;4.588    
878 ;* eta Ant                          ;PM*;149.7178142625500 -35.8909728992000;-89.728 -15.945    ;30.0499   ;30.00     ;5.222    
879 ;* 23 LMi                           ;PM*;154.0601255205900 +29.3104743154200;-70.765 -22.844    ;11.6971   ;16.4      ;5.488    
880 ;* 37 Leo                           ;*  ;154.1697399438300 +13.7283344176600;-22.829 -14.784    ;4.805     ;5.14      ;5.41     
881 ;* 31 Leo                           ;PM*;151.9761254861525 +09.9975068749342;-82.021 -64.844    ;11.0209   ;39.84     ;4.38     
882 ;* alf Leo                          ;PM*;152.09296244 +11.96720878          ;   -248.73 5.59    ;41.13     ;5.9       ;1.40     
883 ;* 19 Sex                           ;PM*;153.2015192472100 +04.6146771548000; -50.538 -6.118    ;6.3184    ;32.37     ;5.781    
884 ;* alf Sex                          ;*  ;151.9845156950100 -00.3716703684900; -13.060 -9.669    ;7.6582    ;10.00     ;4.49     
885 ;* eps Sex                          ;PM*;154.4075083221 -08.0689138333      ;   -160.57 2.91    ;16.86     ;15.2      ;5.240    
886 ;* 18 Sex                           ;V* ;152.7327530910700 -08.4184590805700; -0.115 -43.987    ;5.8416    ;0.2       ;5.618    
887 ;* 17 Sex                           ;Ae*;152.5314149275 -08.4081654136      ;   -30.60 -1.00    ;5.47      ;21.00     ;5.901    
888 ;* lam Hya                          ;SB*;152.6470357548103 -12.3541274788236;-217.433 -74.373   ;30.0232   ;19.4      ;3.61     
889 ;* bet LMi                          ;SB*;156.9708316646 +36.7072100106      ;-127.68 -110.31    ;21.19     ;8.52      ;4.21     
890 ;* 30 LMi                           ;Pe*;156.4783972854 +33.7961197100      ;  -73.66 -59.21    ;13.98     ;13.70     ;4.718    
891 ;* del Sex                          ;PM*;157.3695953551504 -02.7390757814033;-49.127 -13.023    ;9.4160    ;19.00     ;5.180    
892 ;* 25 Sex                           ;a2*;155.8603259389700 -04.0740328393400;  -50.818 4.114    ;9.4414    ;23.00     ;5.97     
893 ;* mu. Hya                          ;PM*;156.52260958 -16.83628968          ; -129.17 -79.76    ;13.93     ;40.81     ;3.81     
894 ;* del Ant                          ;*  ;157.3974117631400 -30.6070651060600;  -29.598 1.704    ;7.0076    ;14.00     ;5.56     
895 ;* alf Ant                          ;PM*;156.7879193306000 -31.0677791392500;  -81.320 9.798    ;8.9069    ;12.2      ;4.25     
896 ;* r Vel                            ;PM*;155.5816035258900 -41.6499619815800; -27.720 60.366    ;15.7328   ;21.53     ;4.83     
897 ;* 32 LMi                           ;*  ;157.5268650399800 +38.9251321708300; -16.446 -4.506    ;4.4749    ;2.00      ;5.784    
898 ;* 34 LMi                           ;*  ;158.3787960194200 +34.9886946228400; -28.397 -3.072    ;6.3892    ;7.00      ;5.580    
899 ;* 46 Leo                           ;LP*;158.0490560206212 +14.1372696884453; -41.712 24.774    ;3.6070    ;35.22     ;5.46     
900 ;* rho Leo                          ;s*b;158.2027986542 +09.3065859569      ;    -5.93 -3.40    ;0.60      ;42.00     ;3.870    
901 ;* 49 Leo                           ;EB*;158.75899553 +08.65042873          ;   -52.68 -4.23    ;7.61      ;16.7      ;5.67     
902 ;* 48 Leo                           ;PM*;158.7000563406300 +06.9537502783600;-102.355 56.865    ;11.9766   ;4.94      ;5.070    
903 ;* bet Sex                          ;a2*;157.5728345412100 -00.6370318161100;-39.290 -23.582    ;8.8899    ;11.6      ;5.10     
904 ;* phi Hya                          ;SB*;159.6456153068700 -16.8765651864300; -95.499 25.027    ;12.4255   ;16.58     ;4.903    
905 ;* 42 LMi                           ;*  ;161.4662278013600 +30.6823076273000;-20.344 -38.234    ;7.915     ;12.00     ;5.352    
906 ;* 40 LMi                           ;PM*;160.7578433798800 +26.3255635198200;-98.971 -65.543    ;21.2215   ;10.00     ;5.506    
907 ;* 41 LMi                           ;PM*;160.8539863104 +23.1884027431      ;   -115.30 7.62    ;14.23     ;18.5      ;5.070    
908 ;* k Leo                            ;PM*;161.6053216064200 +14.1946450377200;-125.375 -64.870   ;11.6536   ;29.57     ;5.478    
909 ;* 49 UMa                           ;PM*;165.2100715838500 +39.2120763442600;-72.985 -27.041    ;9.3797    ;3.3       ;5.062    
910 ;* 46 LMi                           ;PM*;163.3279369729 +34.2148715256      ;  92.02 -285.82    ;34.38     ;15.69     ;3.83     
911 ;* 54 Leo                           ;** ;163.90331908 +24.74971730          ;  -80.03 -15.36    ;11.37     ;5.40      ;4.32     
912 ;* 54 Leo A                         ;PM*;163.9033389764800 +24.7497284248800;-76.977 -14.698    ;10.742    ;5.4       ;4.477    
913 ;* 58 Leo                           ;** ;165.1401964303400 +03.6174978845000; 13.868 -15.792    ;9.6348    ;5.98      ;4.838    
914 ;* 55 Leo                           ;PM*;163.9266504410742 +00.7369192708186; 107.162 -0.673    ;21.9667   ;11.13     ;5.93     
915 ;* p01 Leo                          ;** ;163.4321346015200 -02.1292055521800; -83.401 15.387    ;9.677     ;20.28     ;5.449    
916 ;* p03 Leo                          ;PM*;165.9024661518600 -00.0008306925400;  -60.211 1.978    ;6.6158    ;0.10      ;5.927    
917 ;* alf Crt                          ;PM*;164.9436048157617 -18.2987862206156;-462.303 128.614   ;20.3693   ;47.54     ;4.07     
918 ;* iot Ant                          ;PM*;164.1793800789600 -37.1377674098800;74.069 -124.443    ;15.7132   ;2.30      ;4.60     
919 ;* tet Leo                          ;PM*;168.5600185958 +15.4295705794      ;  -60.31 -79.10    ;19.76     ;7.536     ;3.35     
920 ;* chi Leo                          ;PM*;166.2542825355171 +07.3360067025872;-345.034 -46.986   ;34.6007   ;3.30      ;4.62     
921 ;* p05 Leo                          ;*  ;168.4398045946400 -00.0695022250200;  -46.541 2.767    ;6.2602    ;14.00     ;5.404    
922 ;* bet Crt                          ;SB*;167.9144946530200 -22.8258480483300; 7.827 -102.911    ;10.3043   ;5.60      ;4.449    
923 ;* chi01 Hya                        ;** ;166.3329272868400 -27.2936240976500;-187.524 -3.099    ;22.5314   ;19.10     ;4.912    
924 ;* chi02 Hya                        ;EB*;166.4898749742000 -27.2878535301100; 34.417 -16.477    ;4.7616    ;30.60     ;5.71     
925 ;* 10 Crt                           ;PM*;167.1832921077900 -28.0806538639800;-69.211 -22.181    ;18.3139   ;16.00     ;5.421    
926 ;* 46 Cen                           ;a2*;166.8195412733300 -42.6386798924800; -83.662 41.467    ;11.255    ;2.00      ;5.24     
927 ;* 56 UMa                           ;SB*;170.7065749499700 +43.4826984641300;-35.561 -10.651    ;5.8813    ;1.01      ;5.03     
928 ;* 72 Leo                           ;LP*;168.8009461983 +23.0955103578      ;   -25.56 -6.00    ;3.40      ;14.76     ;4.63     
929 ;* 81 Leo                           ;PM*;171.4015532586400 +16.4565368437800;-142.871 -5.605    ;21.3634   ;18.88     ;5.572    
930 ;* n Leo                            ;SB*;168.9661671252300 +13.3075652663500;  7.895 -10.518    ;7.0432    ;14.64     ;5.32     
931 ;* 76 Leo                           ;PM*;169.7289984958100 +01.6503954417400;-37.527 -55.805    ;11.594    ;5.11      ;5.904    
932 ;* eps Crt                          ;*  ;171.1524633838100 -10.8593265288200; -25.154 24.689    ;8.178     ;2.00      ;4.802    
933 ;* gam Crt                          ;PM*;171.2205150829 -17.6840083272      ;    -97.42 3.65    ;39.62     ;1.00      ;4.06     
934 ;* lam Crt                          ;SB*;170.8411727775646 -18.7800355935822;-319.253 -17.823   ;22.0397   ;11.05     ;5.09     
935 ;* 86 Leo                           ;PM*;172.6209484505800 +18.4098070402600; -76.401 23.613    ;9.4403    ;24.37     ;5.549    
936 ;* 90 Leo                           ;** ;173.67704265 +16.79691544          ;   -10.60 -0.30    ;1.72      ;6.40      ;5.940    
937 ;* ups Leo                          ;*  ;174.2372119125 -00.8237489733      ;     1.76 43.37    ;17.97     ;1.79      ;4.30     
938 ;* e Leo                            ;*  ;172.5787223020500 -03.0034997012900; 19.554 -16.149    ;6.5892    ;18.43     ;4.77     
939 ;* tet Crt                          ;PM*;174.1704723071 -09.8022475661      ;    -59.38 2.55    ;11.63     ;1.00      ;4.673    
940 ;* kap Crt                          ;PM*;171.7896486918400 -12.3567490014500; -99.937 23.947    ;14.2499   ;8.69      ;5.923    
941 ;* 17 Crt B                         ;PM*;173.0668331444900 -29.2633055387300;-22.006 140.413    ;35.5239   ;9.8       ;5.671    
942 ;* 18 Crt                           ;V* ;173.2255362517700 -31.0872253996500;  -29.500 6.543    ;7.7972    ;19.4      ;5.11     
943 ;* 62 UMa                           ;SB*;175.3927350393833 +31.7460486283739;-352.105 29.919    ;23.8297   ;31.51     ;5.75     
944 ;* 92 Leo                           ;PM*;175.1961135292200 +21.3527274384000;-60.943 -45.959    ;13.6688   ;9.38      ;5.255    
945 ;* 93 Leo                           ;RS*;176.99639979 +20.21893056          ;  -145.49 -4.34    ;14.02     ;0.750     ;4.522    
946 ;* ome Vir                          ;LP*;174.6150302829 +08.1342962064      ;     -3.89 5.30    ;6.56      ;5.29      ;5.36     
947 ;* nu. Vir                          ;LP*;176.4648315567 +06.5293725797      ; -18.96 -181.56    ;11.10     ;50.28     ;4.04     
948 ;* 26 Crt                           ;*  ;175.4331141515300 -32.4994031195200; -7.150 -32.948    ;7.5905    ;35.25     ;5.200    
949 ;* omi Hya                          ;*  ;175.0532904262 -34.7446592672      ;   -43.24 -1.61    ;7.27      ;5.9       ;4.70     
950 ;* bet Vir                          ;PM*;177.6738271494233 +01.7647226497586;740.746 -270.927   ;90.8945   ;4.455     ;3.60     
951 ;* eta Crt                          ;PM*;179.0039754730300 -17.1508244691200; -49.952 -8.271    ;13.0075   ;15.00     ;5.160    
952 ;* 29 Crt                           ;*  ;178.9172119276400 -28.4771039075700;  2.509 -27.315    ;5.9519    ;11.3      ;5.893    
953 ;* 31 Crt                           ;SB*;180.2131631734200 -19.6589811764300;  -17.071 6.830    ;1.6891    ;1.7       ;5.264    
954 ;* eps Crv                          ;PM*;182.5311690937 -22.6197672175      ;   -71.74 10.25    ;10.26     ;5.00      ;2.98     
955 ;* 3 Crv                            ;PM*;182.7659958400400 -23.6024210656500;-66.124 -20.205    ;16.3368   ;11.00     ;5.47     
956 ;* alf Crv                          ;PM*;182.1034021837 -24.7288750983      ;   99.52 -39.19    ;66.95     ;2.80      ;4.00     
957 ;* 4 Com                            ;SB*;182.9632362126000 +25.8702798578700;-39.545 -30.678    ;6.5699    ;21.30     ;5.62     
958 ;* 11 Com                           ;PM*;185.1792740399600 +17.7928687534300;-109.426 88.930    ;10.1677   ;43.37     ;4.74     
959 ;* 6 Com                            ;PM*;184.0007773648499 +14.8990678956600;-80.593 -31.055    ;15.3309   ;9.60      ;5.090    
960 ;* 12 Vir                           ;PM*;183.3580802476099 +10.2623397040600; -93.221 -8.348    ;19.4898   ;2.3       ;5.829    
961 ;* c Vir                            ;RG*;185.0874224675821 +03.3125708936114;-293.281 -63.568   ;9.6700    ;36.66     ;4.96     
962 ;* eta Vir                          ;SB*;184.9764266591500 -00.6667961981100;-54.665 -17.642    ;13.1692   ;5.24      ;3.90     
963 ;* bet CVn                          ;** ;188.4356010485612 +41.3574781535719;-704.702 292.155   ;118.0266  ;6.268     ;4.25     
964 ;* gam Com                          ;PM*;186.7344669712 +28.2684225225      ;  -83.95 -81.13    ;19.50     ;3.38      ;4.34     
965 ;* 13 Com                           ;a2*;186.0772870957200 +26.0985892788300; -26.158 -9.385    ;11.1318   ;0.10      ;5.18     
966 ;* 16 Com                           ;*  ;186.7470678949599 +26.8257017040400; -11.589 -9.138    ;11.9394   ;0.40      ;4.959    
967 ;* 12 Com                           ;SB*;185.6262974615900 +25.8461576834300; -11.426 -8.112    ;11.4903   ;0.5       ;4.81     
968 ;* 18 Com                           ;*  ;187.3626766805100 +24.1089228352900;  -18.180 1.106    ;16.5304   ;25.1      ;5.468    
969 ;* 21 Com                           ;a2*;187.7523354176100 +24.5671659014800; -12.474 -9.085    ;12.0785   ;0.1       ;5.436    
970 ;* eta Crv                          ;PM*;188.0176100077008 -16.1960051709386;-424.597 -58.241   ;54.8135   ;0.69      ;4.294    
971 ;* del Crv                          ;PM*;187.4660631842 -16.5154312617      ;-210.49 -138.74    ;37.55     ;13.90     ;2.94     
972 ;* u Cen                            ;*  ;187.0936131854400 -39.0411640299600;-28.016 -12.696    ;6.6483    ;5.00      ;5.439    
973 ;* 10 CVn                           ;PM*;191.2475206842766 +39.2789161478603;-359.699 139.016   ;56.9588   ;80.459    ;5.95     
974 ;* 24 Com A                         ;V* ;188.7823356069899 +18.3770585454400;  -3.030 23.285    ;8.9188    ;3.03      ;5.02     
975 ;* rho Vir                          ;dS*;190.4710706146200 +10.2356257137000; 81.912 -90.323    ;25.6921   ;1.6       ;4.88     
976 ;* d01 Vir                          ;PM*;190.4879887063600 +06.8066159801600;-71.532 -11.170    ;12.2199   ;3.8       ;5.573    
977 ;* l Cen                            ;** ;189.9688683100 -39.9873029422      ;  -43.38 -25.25    ;8.94      ;15.1      ;4.64     
978 ;* 27 Com                           ;*  ;191.6615076789699 +16.5776878118000;  14.359 15.903    ;10.6919   ;50.58     ;5.12     
979 ;* psi Vir                          ;LP*;193.5881809067 -09.5389939675      ;  -18.08 -19.52    ;5.99      ;17.6      ;4.80     
980 ;* p Cen                            ;*  ;192.6715141190700 -33.9993479584600;-29.710 -13.778    ;7.9731    ;4.00      ;4.894    
981 ;* 20 CVn                           ;dS*;199.3855872112 +40.5726076325      ;  -125.28 18.47    ;12.34     ;9.32      ;4.698    
982 ;* bet Com                          ;PM*;197.9683076116925 +27.8781839748500;-800.720 882.301   ;108.7250  ;5.297     ;4.25     
983 ;* g Vir                            ;PM*;197.1352754584800 -08.9843824093800;-36.396 -63.956    ;9.2032    ;15.55     ;5.564    
984 ;* 57 Vir                           ;PM*;198.9948786208545 -19.9431003621942;304.278 -114.932   ;26.6876   ;35.11     ;5.22     
985 ;* r Cen                            ;RG*;199.2213828338100 -31.5062012746500; 34.475 -48.146    ;12.5974   ;12.9      ;5.110    
986 ;* 70 Vir                           ;PM*;202.1075357953671 +13.7787884191131;-235.951 -575.969  ;55.2511   ;5.017     ;4.970    
987 ;* 71 Vir                           ;PM*;202.3041690856500 +10.8183091921200;-59.626 -36.758    ;11.2146   ;0.69      ;5.646    
988 ;* 65 Vir                           ;*  ;200.8287229622999 -04.9244282744800;-19.960 -16.703    ;4.0566    ;9.8       ;5.858    
989 ;* 66 Vir                           ;PM*;201.1385356918700 -05.1640012418900;132.135 -33.841    ;37.483    ;8.90      ;5.749    
990 ;* alf Vir                          ;bC*;201.29824736 -11.16131949          ;  -42.35 -30.67    ;13.06     ;1.0       ;0.97     
991 ;* iot Cen                          ;PM*;200.1492200650396 -36.7123045812250;-339.615 -82.181   ;56.0571   ;0.10      ;2.73     
992 ;* 2 Boo                            ;*  ;205.2597768487700 +22.4957705419000;-17.203 -25.289    ;9.46      ;4.00      ;5.58     
993 ;* l Vir                            ;PM*;202.9911877304 -06.2558171928      ; -103.94 -43.87    ;8.16      ;18.71     ;4.69     
994 ;* h Vir                            ;PM*;203.2419649669108 -10.1649986301178;-31.019 -38.850    ;11.6520   ;0.21      ;5.21     
