" coord1 (ICRS,J2000/2000)  "	        pm        	Mag V 
129.41402612 +05.70377937  	   -70.19 -7.90   	4.137
101.05021 +29.94497        	            ~ ~   	4.8
062.71078864 -41.99357048  	   199.08 70.18   	4.93
186.60026849 +27.26823762  	  -14.20 -10.32   	4.95
326.04648391 +09.87500865  	     26.92 0.44   	2.39
267.46450339 -37.04330487  	    40.59 27.24   	3.21
095.98795783 -52.69566138  	    19.93 23.24   	-0.74
331.445983 -00.319850      	    18.25 -9.39   	2.94
282.80039709 +59.38835074  	    77.47 25.37   	4.642
200.984708 +54.921822      	    121.2 -22.0   	3.88
193.58818091 -09.53899396  	  -18.08 -19.52   	4.8
122.83955663 -39.61854469  	     -8.87 3.52   	4.42
054.12241593 +48.19263304  	   22.55 -27.78   	4.23
093.71940480 +22.50679434  	  -62.46 -12.12   	3.28
066.00923853 -34.01684839  	    73.77 56.70   	3.96
251.49267367 +82.03725646  	     19.47 2.61   	4.222
226.27992 -47.05111        	        -20 -18   	4.72
093.01366479 +16.13040596  	    5.49 -16.80   	4.92
089.93029218 +37.21258463  	   43.63 -73.79   	2.62
193.35916671 -40.17887334  	   70.84 -22.54   	4.27
265.09927004 -49.41558375  	 103.22 -176.51   	4.77
043.56442116 +52.76247888  	    -1.26 -4.37   	3.96
312.49200048 -33.77972411  	    0.76 -21.07   	4.9
102.46024719 -32.50847846  	     -8.84 3.73   	3.89
131.17594410 -54.70881925  	  28.99 -103.35   	1.95
267.555008 -06.707911      	       3.3 -6.8   	4.3
064.47359336 -33.79834914  	    62.52 -7.24   	3.56
190.379308 -48.959911      	   -193.6 -11.6   	2.82
300.66450403 -27.70984562  	    32.97 14.00   	4.58
176.32100113 +08.25811528  	   60.08 -24.50   	4.845
120.30556558 -01.39260930  	   67.60 -76.26   	4.692
107.78487675 +30.24516198  	  -31.21 -48.92   	4.42
142.28706895 -02.76896247  	    99.01 -2.67   	4.6
311.91896918 -09.49577436  	   33.98 -34.77   	3.77
110.030788 +21.982339      	            ~ ~   	3.518
311.00972518 -51.92097139  	  155.80 -53.86   	4.519
130.89807315 -33.18638605  	   -14.27 10.43   	3.68
293.08995940 +69.66117649  	598.07 -1738.40   	4.68
154.27409528 +42.91435577  	 -180.65 -46.07   	3.45
212.71035855 -16.30202967  	    4.28 -10.82   	4.91
194.00694257 +38.31837614  	  -235.08 53.54   	2.88
093.719562 +22.506822      	            ~ ~   	3.32
220.287117 +13.728417      	     66.3 -20.6   	4.51
197.48746111 -05.53900515  	  -36.28 -31.22   	4.381
326.23670599 -33.02578278  	   31.10 -94.56   	4.34
165.14020046 +03.61749350  	   14.82 -16.51   	4.852
252.96762965 -38.04738039  	  -10.58 -22.06   	2.98
133.88153951 -27.68186985  	  81.90 -100.43   	4.89
302.826108 -00.821475      	     35.26 5.71   	3.22
086.82119870 -51.06651143  	     4.65 83.10   	3.86
287.08736947 -40.49670133  	   46.49 -26.18   	4.582
057.58962049 +71.33226347  	   18.17 -42.85   	4.622
046.29414106 +38.84027619  	 129.22 -105.70   	3.39
177.96344127 -65.20590704  	   -33.88 -5.13   	4.929
021.45396446 +60.23528403  	  296.57 -49.22   	2.68
284.05492290 +04.20358679  	    36.23 23.15   	4.62
158.20279865 +09.30658596  	    -5.93 -3.40   	3.87
101.32235133 +12.89559198  	-306.28	3.36
154.93402865 +19.47091509  	-446.06	4.8
110.03074909 +21.98231603  	   -15.13 -9.79   	3.53
173.25047940 -31.85762318  	 -209.62 -40.84   	3.54
197.497021 +17.529406      	   -430.1 137.8   	4.85
099.42796043 +16.39928043  	   13.81 -54.96   	1.92
063.60618391 -62.47385880  	    41.97 49.42   	3.36
136.40989586 -70.53849889  	     -4.11 8.87   	4.654
114.82549791 +05.22498756  	-1751.39	0.37
333.90383854 -41.34669561  	    47.01 22.50   	4.81
176.51255864 +47.77940629  	  -138.29 28.57   	3.72
247.78486384 -16.61273073  	  -45.35 -37.34   	4.27
207.956571 -32.994069      	    -69.6 -22.1   	4.52
083.00166706 -00.29909511  	     0.64 -0.69   	2.41
000.39875660 -77.06572478  	 -57.30 -177.06   	4.793
288.88511073 -25.25668246  	   45.50 -31.08   	4.85
044.565400 -40.304714      	     -44.6 19.0   	3.2
086.19324211 -65.73552808  	    -28.91 5.17   	4.36
321.61085348 -65.36619847  	   80.56 800.60   	4.22
115.82802908 +28.88351172  	  62.66 -230.32   	4.29
084.79644299 +04.12146652  	      0.84 0.00   	4.59
209.66978619 -44.80358582  	  -27.51 -22.44   	3.87
352.28873743 +12.76055329  	    61.40 24.82   	4.56
059.74125955 +35.79103145  	      3.62 1.74   	4.06
052.71824131 +12.93667680  	    18.25 -1.92   	4.1
218.87676734 -42.15782522  	  -34.73 -32.72   	2.31
023.48282088 +59.23204243  	  -43.03 -22.31   	4.692
203.61358035 +49.01597404  	  -128.38 28.05   	4.7
189.5950468 -60.5846051    	            ~ ~   	0
240.8833 -57.7739          	            ~ ~   	4.6
189.5716896 -60.7586171    	            ~ ~   	0
189.81152931 -07.99556457  	  -77.13 -24.73   	4.643
136.99899114 -43.43259091  	   -24.01 13.52   	2.21
052.34187580 +49.50894762  	   22.20 -29.49   	4.678
065.73371889 +17.54251353  	  106.56 -29.18   	3.76
143.55575823 +36.39756016  	    6.88 -21.91   	4.6
021.48342658 +68.13001277  	    75.50 26.93   	4.731
241.70177884 -20.66919173  	   -8.98 -23.48   	3.97
357.23144407 -28.13027069  	 100.80 -105.34   	4.57
237.73974286 -33.62716537  	   -5.10 -24.85   	3.957
019.86663703 +27.26405987  	   22.98 -11.12   	4.752
178.45769715 +53.69475973  	   107.68 11.01   	2.44
099.472588 -18.237475      	      -8.0 -8.6   	4.43
325.36937405 -77.39004341  	  66.41 -239.10   	3.743
177.78621532 -45.17346863  	   -72.46 -7.85   	4.46
242.24292297 +36.49093723  	  -37.02 340.44   	4.76
056.53556587 -12.10159117  	    55.98 59.28   	4.42
063.88356946 +08.89235624  	   19.46 -22.11   	4.28
001.12549281 -10.50952359  	   -6.85 -12.02   	4.953
075.35977498 -07.17396283  	      1.71 6.29   	4.81
042.49597183 +27.26050723  	  66.81 -116.52   	3.606
220.41145922 +08.16176435  	    -10.79 3.34   	4.865
240.47227648 +58.56525157  	 -319.51 334.97   	4
072.80151967 +05.60510342  	     -2.21 0.85   	3.68
317.58541686 +10.13157674  	  48.74 -153.03   	4.68
311.41563767 +30.71971544  	    -8.98 24.11   	4.23
230.34300699 -40.64752050  	  -19.49 -25.29   	3.203
070.14047106 -41.86375207  	 -140.39 -74.82   	4.45
280.75889700 -71.42811290  	   0.81 -158.15   	4.012
117.32356528 -24.85978624  	    -4.81 -0.89   	3.3
335.89009894 +52.22904573  	 -13.25 -186.77   	4.44
099.44029730 -43.19593338  	    -0.44 -3.87   	3.17
351.34493127 +23.40410016  	   192.19 36.12   	4.4
220.48231577 -47.38819874  	  -20.94 -23.67   	2.276
070.11046685 -19.67149158  	   29.13 -96.42   	4.3
071.37562660 -03.25466015  	   15.94 -14.52   	4
186.649463 -63.099050      	    -35.3 -12.0   	1.4
063.484937 +09.263811      	    -11.0 -37.3   	4.95
335.41406425 -01.38733418  	    129.53 7.77   	3.847
207.36933660 +15.79790563  	   -94.22 41.07   	4.07
345.96922289 +03.82004617  	    11.76 -9.85   	4.52
275.24851476 -29.82810164  	   32.54 -25.57   	2.668
030.51174881 +02.76376138  	     32.45 0.04   	3.82
250.32150433 +31.60271870  	 -461.52 342.28   	2.8
272.93055394 -23.70123659  	    7.82 -28.31   	4.98
039.87064912 +00.32850959  	    12.85 -2.94   	4.07
017.37552340 +47.24179429  	    4.05 -12.43   	4.25
000.49008320 -06.01407096  	   48.39 -40.94   	4.41
055.81208699 -09.76339122  	  -93.16 743.64   	3.54
310.86472243 +15.07457702  	  -20.44 -43.33   	4.434
159.64563672 -16.87657401  	   -98.92 25.84   	4.913
235.29740413 -44.66120634  	-435.45	4.64
146.31171343 -62.50790330  	    -12.88 8.19   	3.4
258.83743307 -26.60282143  	-1606.28	4.32
003.30896346 +15.18359354  	     1.98 -9.28   	2.84
091.53884747 -14.93525522  	   -17.61 12.79   	4.669
275.32750232 -02.89882682  	-1249.17	3.25
028.41142097 -46.30266800  	  -93.16 -91.17   	4.41
115.45525418 -72.60609907  	    33.34 14.89   	3.96
211.09729148 +64.37585053  	   -56.34 17.21   	3.68
108.70272445 -26.77266936  	    -11.88 6.87   	3.82
090.595821 +09.647289      	     11.7 -34.1   	4.3
025.91515800 +50.68873134  	   24.59 -14.01   	4.06
260.50241395 -24.99954638  	   -7.37 -23.94   	3.26
308.82723181 +14.67421319  	    45.52 11.74   	4.664
166.33294857 -27.29360991  	  -190.41 -5.96   	4.94
125.63205879 -48.49037864  	     -5.10 7.76   	4.82
254.00703853 +65.13479531  	   237.79 50.84   	4.89
291.03157891 +29.62133880  	    10.63 11.43   	4.976
298.56200766 +08.46145276  	  101.91 -81.20   	4.722
187.79149838 -57.11321346  	  28.23 -265.08   	1.64
186.63233144 -51.45063609  	  -30.66 -10.13   	4.805
112.76859477 +82.41146631  	   -3.94 -42.11   	4.96
346.19022269 +15.20526715  	   60.40 -41.30   	2.48
270.12088072 -03.69026904  	  155.51 -44.43   	4.633
014.30166743 +23.41764878  	  -43.47 -45.73   	4.42
079.81917373 +22.09649278  	   18.91 -81.57   	4.956
198.812254 -67.894586      	     -36.0 -9.5   	4.78
025.35789129 +05.48761284  	    -23.36 3.36   	4.44
082.80314749 -35.47052029  	   27.90 -34.72   	3.87
350.15934117 +23.74033605  	    29.45 -9.53   	4.592
314.95648818 +47.52095045  	      8.12 2.15   	4.75
234.94157859 -34.41191847  	    5.67 -10.59   	4.668
225.48650991 +40.39056683  	  -40.15 -28.86   	3.52
260.25156334 -21.11293508  	 263.84 -205.85   	4.39
236.06697631 +06.42562868  	   133.84 44.81   	2.63
101.96520651 +02.41215935  	  -12.41 -12.12   	4.47
349.43602989 +49.01530048  	     34.55 7.17   	4.86
290.13710155 -05.41576222  	   113.13 46.20   	4.995
066.57693198 +22.81358014  	  108.81 -46.80   	4.293
076.96243955 -05.08644597  	  -82.82 -75.39   	2.79
271.65779704 -50.09147571  	    -8.27 -8.70   	3.66
176.40174650 -66.72876221  	  -100.35 33.49   	3.65
075.49221855 +43.82330720  	    -0.86 -2.66   	2.99
138.59108361 +02.31426199  	 114.64 -313.94   	3.88
135.63621218 +67.62961888  	   -22.83 18.13   	4.76
354.98767240 +05.62629098  	 377.15 -437.43   	4.12
346.719713 -43.520353      	    -47.9 -11.9   	4.401
239.44766694 +54.74976224  	 -151.24 106.39   	4.967
208.30225 -31.92761        	            ~ ~   	4.72
246.35397604 +14.03326975  	   40.86 -59.71   	4.58
095.74011193 +22.51358275  	  56.39 -110.03   	2.87
296.56491787 +10.61326133  	    16.99 -2.98   	2.72
108.30562580 -45.18273751  	  -25.36 -87.51   	4.882
359.82787765 +06.86332117  	 150.35 -112.12   	4.036
012.17060139 +07.58508127  	   83.10 -49.58   	4.44
263.91495653 -46.50568382  	  -25.78 -38.30   	4.59
309.58450859 -01.10511976  	   14.84 -16.45   	4.33
076.14228818 +15.40410474  	   17.80 -31.15   	4.663
021.91409071 +45.40668685  	 356.99 -109.40   	4.83
348.13751583 +49.40620708  	    90.23 95.56   	4.52
046.19912808 +53.50643576  	     0.51 -5.92   	2.93
095.52845131 -33.43639785  	  -24.23 -51.40   	3.85
259.152862 -00.445319      	  -31.46 -63.13   	4.743
231.33424262 -38.73361581  	  -45.71 -11.49   	4.6
127.36451440 -44.72481212  	     -5.75 6.33   	4.99
337.31739505 -43.49556237  	    25.72 -3.32   	3.97
189.5934251 -60.6154602    	            ~ ~   	0
089.49856800 +25.95391107  	    -2.06 -1.95   	4.82
286.56224574 -04.88255574  	  -18.69 -91.02   	3.43
066.58642051 +15.61826810  	  114.31 -32.19   	4.49
146.46280542 +23.77425578  	   -45.61 -9.21   	2.98
204.97190723 -53.46639115  	  -15.30 -11.72   	2.3
034.26345899 +34.22422944  	1151.83 -246.89   	4.87
051.20332482 +09.02887470  	  -67.04 -78.04   	3.6
010.86696022 +47.02454705  	  -23.71 -36.84   	4.959
161.02881454 -63.96107040  	   -16.31 12.44   	4.786
311.6633 +16.1242          	            ~ ~   	3.91
230.18215017 +71.83401655  	   -17.73 17.90   	3.027
047.90735272 +19.72667769  	   153.33 -8.28   	4.37
354.39101088 +46.45814944  	 159.31 -422.38   	3.82
109.285650 -37.097472      	      -10.4 5.4   	2.89
345.22005339 -52.75413356  	  -63.96 -11.53   	4.125
079.89385020 -13.17678910  	    -3.30 -4.91   	4.29
304.41195781 -12.50821094  	     22.98 1.28   	4.27
290.97156179 -40.61593624  	  30.49 -119.21   	3.95
221.246762 +27.074208      	     -42.2 13.6   	2.45
214.49924812 +35.50950579  	     4.87 14.40   	4.812
135.02253772 -41.25360526  	   -40.08 54.59   	4.468
067.16558623 +15.87088182  	  108.42 -26.74   	3.41
247.728450 +01.983894      	    -21.3 -87.7   	4.15
047.37404816 +44.85754065  	 172.99 -143.40   	3.81
058.53301032 +31.88363368  	     5.77 -9.92   	2.85
359.97907339 -65.57713343  	   47.93 -22.95   	4.47
151.83313275 +16.76266119  	    -2.80 -1.82   	3.41
137.598075 +67.134011      	      7.1 -95.1   	4.813
142.93011473 +22.96796956  	  -20.17 -39.47   	4.31
355.51169216 +01.78004123  	-284.5	4.51
112.44909052 +12.00656520  	   -0.57 -18.85   	4.547
202.99118774 -06.25581719  	 -103.94 -43.87   	4.69
041.97725592 +29.24711478  	 149.47 -127.05   	4.51
279.23473479 +38.78368896  	  200.94 286.23   	0.03
186.00622584 +51.56225708  	    12.64 11.43   	4.767
260.920717 +37.145925      	      -38.6 9.2   	4.51
297.04312834 +70.26793035  	    79.31 39.08   	3.84
062.16538400 +47.71251193  	   21.73 -33.61   	4.03
286.60462559 -37.06344170  	  96.74 -281.71   	4.2
075.77394687 +21.58996187  	   68.88 -41.06   	4.626
075.61953078 +41.07583888  	    9.45 -20.71   	3.75
156.52260958 -16.83628968  	 -129.17 -79.76   	3.81
211.67061468 -36.36995474  	-1038.59	2.05
189.5951090 -60.7099750    	            ~ ~   	0
103.53313490 -24.18421104  	     -3.83 4.98   	3.87
026.34846602 +09.15773693  	    72.98 39.30   	4.26
058.42792927 -24.61223080  	    31.28 -7.49   	4.625
359.43969503 +25.14140221  	  -35.24 -31.60   	4.66
254.89603667 -53.16043647  	     2.16 22.04   	4.068
112.46421661 -23.02428659  	     -3.42 5.20   	4.86
297.043117 +70.267925      	      78.6 39.2   	3.91
204.365388 +36.294842      	            ~ ~   	4.953
139.711108 +36.802875      	            ~ ~   	3.92
336.83319771 -64.96635487  	    68.45 10.06   	4.495
342.13874302 -51.31686115  	  108.43 -64.83   	3.489
036.74634073 -47.70384021  	    19.32 -5.54   	4.25
078.35715554 +38.48449663  	  -19.18 -72.93   	4.831
009.24285078 +53.89690758  	    17.38 -9.86   	3.66
189.5982373 -60.5677779    	            ~ ~   	0
198.07331078 -59.92057893  	  -29.71 -17.40   	4.55
221.96546677 -79.04475090  	   -4.58 -15.88   	3.825
153.68398221 -42.12194258  	  -150.09 49.44   	3.85
164.94360359 -18.29878257  	 -462.26 129.49   	4.07
242.19240603 +44.93490732  	   -26.63 36.76   	4.27
321.66677642 -22.41133450  	    -2.23 18.10   	3.74
174.237212 -00.823747      	     1.76 43.37   	4.3
215.75932929 -39.51181924  	  -24.15 -21.90   	4.42
190.48570127 -59.68581972  	   -24.66 -3.66   	4.94
245.08668593 -78.69574693  	  -10.23 -37.43   	4.68
248.52576390 +42.43704042  	    -7.54 59.42   	4.196
004.85697568 -08.82391974  	  -15.15 -37.11   	3.55
079.78530918 +40.09905072  	 518.99 -665.06   	4.71
311.23955829 -66.20321410  	    -42.67 9.94   	3.426
020.58508017 +45.52877787  	     31.45 8.83   	4.875
083.78449002 +09.93415587  	    -0.34 -2.94   	3.66
028.38896143 +03.18754161  	    24.48 25.99   	4.621
010.89737874 -17.98660632  	   232.55 31.99   	2.01
097.04253114 -32.58006820  	   -14.41 25.21   	4.48
245.51811472 +01.02904261  	  -158.40 49.56   	4.82
104.03426719 -17.05424097  	     -3.56 2.42   	4.385
022.87087607 +15.34582459  	    27.14 -2.64   	3.62
154.993446 +19.841258      	   294.9 -154.0   	1.98
161.71341662 -64.38347342  	    -17.96 9.65   	4.85
068.49907161 -55.04497896  	    57.75 10.93   	3.28
006.3397 +64.1408          	            ~ ~   	-4
189.6037997 -60.6772703    	            ~ ~   	0
291.62954169 +00.33857003  	     0.57 -2.31   	4.72
178.22717287 -33.90812978  	    -56.56 0.19   	4.28
256.33385014 +54.47002762  	   -58.16 67.87   	4.92
264.32970772 -42.99782799  	     5.54 -3.12   	1.862
180.75625541 -63.31292795  	   -152.35 7.00   	4.3
155.74227525 -66.90149731  	   -22.39 11.48   	4.99
040.86296604 +27.70714536  	    2.06 -10.37   	4.67
069.07975601 -03.35246019  	     1.53 -5.01   	3.92
131.50684964 -46.04152895  	    -12.82 4.23   	3.91
237.74476884 -25.75129581  	  -14.20 -25.12   	4.638
235.67092523 -34.71040604  	  -21.37 -29.98   	4.717
010.12683778 +56.53733116  	   50.88 -32.13   	2.23
089.10122085 -14.16769969  	  -42.06 139.26   	3.72
010.33146789 -46.08500510  	    -28.20 1.80   	4.59
349.70600318 -32.53202471  	   20.13 -77.72   	4.415
061.64601498 +50.35126388  	  -12.75 -35.60   	4.29
229.72742493 -68.67954593  	  -66.58 -32.31   	2.89
101.287154 -16.716117      	 -546.0 -1223.1   	-1.09
083.18197132 +32.19202092  	    -1.52 -4.33   	4.79
332.05826970 -46.96097438  	 126.69 -147.47   	1.71
003.66006897 -18.93286514  	  -26.15 -73.58   	4.46
115.75173128 +58.71035973  	  -37.50 -52.29   	4.958
050.36066087 +43.32964971  	   -60.41 -0.81   	4.947
255.07239075 +30.92640458  	   -47.69 26.90   	3.92
297.76711756 +22.61004811  	   23.02 -15.88   	4.96
122.81794105 -12.92699866  	    -25.79 8.09   	4.72
081.18677766 +01.84644553  	     0.21 -0.21   	4.96
184.08557629 +23.94540833  	   -26.55 -6.22   	4.86
103.19724530 +33.96125485  	   -1.66 -47.31   	3.6
132.63301176 -27.70984503  	  -134.31 87.89   	4.01
170.981079 +10.529544      	    152.5 -65.2   	4.06
346.75108186 +09.40949174  	    6.41 -12.71   	4.52
233.232425 +31.359131      	     -19.6 -6.2   	4.164
160.55883500 -64.46642564  	   -17.46 11.54   	4.82
224.79035391 -42.10419636  	  -17.62 -22.51   	3.13
180.21829342 +06.61432142  	    0.26 -30.10   	4.659
296.24366059 +45.13081002  	    44.07 48.66   	2.87
253.50196463 +10.16536062  	  -53.80 -34.04   	4.38
095.67493897 -17.95591871  	    -3.23 -0.78   	1.97
253.49886042 -42.36202952  	    -1.01 -4.01   	4.79
060.32563175 -61.07882109  	    66.79 94.80   	4.974
302.18170636 -66.18206767  	1211.03 -1130.05  	3.56
216.54505742 -45.37927841  	    14.62 -7.33   	4.357
152.64698611 -12.35408162  	 -201.27 -99.63   	3.61
331.60928092 -13.86968374  	   36.89 -58.99   	4.27
083.18256716 -17.82228927  	      3.56 1.18   	2.57
122.38312556 -47.33658633  	    -6.07 10.43   	1.83
109.66824749 -24.55870016  	     -2.21 3.16   	4.95
053.23268735 -09.45825866  	  -975.17 19.49   	3.73
275.91492955 -08.93438570  	    49.59 51.24   	4.673
230.45154027 -36.26137569  	  -92.33 -85.67   	3.58
313.31147928 +44.38726134  	    11.94 -2.08   	4.77
247.72842975 +01.98392248  	  -30.98 -73.42   	3.9
233.88157836 -14.78953551  	     65.34 7.45   	3.91
224.29583370 -04.34645964  	 -96.98 -153.40   	4.49
130.82145083 +21.46850022  	 -103.51 -39.48   	4.668
131.175942 -54.708822      	    28.8 -104.1   	1.99
109.20759947 -67.95715232  	     -4.43 8.38   	3.99
014.16627086 +59.18105531  	  -92.65 -45.50   	4.632
309.38725542 +14.59508875  	  118.09 -48.06   	3.63
326.36218658 +61.12080553  	    -3.74 -2.10   	4.29
177.06056565 -66.81490800  	   31.25 -15.25   	4.751
130.60577613 -53.11398420  	   -24.83 23.21   	4.817
047.82242337 +39.61158372  	    -26.26 5.40   	4.614
184.39282150 -67.96073574  	 -231.04 -26.39   	4.02
002.35267309 -45.74742541  	 121.52 -179.83   	3.87
102.04772968 -61.94138912  	  -66.07 242.97   	3.3
048.72540545 +21.04444730  	  -27.83 -74.59   	4.88
222.75446970 -02.29915244  	  89.97 -124.57   	4.94
229.41204696 -63.61046635  	      2.57 8.45   	4.854
038.02178683 -15.24467439  	 -80.21 -146.29   	4.75
222.67635750 +74.15550394  	   -32.61 11.42   	2.08
028.73388206 -67.64730385  	    76.22 72.94   	4.695
235.685704 +26.295633      	    -107.0 47.8   	4.04
139.05030357 -57.54147241  	  -27.15 -14.18   	4.349
134.24340690 -59.22933945  	     -8.26 8.04   	4.893
151.97612736 +09.99750639  	  -81.44 -64.73   	4.38
316.78194719 -25.00585528  	  -28.09 -44.14   	4.5
272.80734684 -45.95441746  	  -15.46 -37.16   	4.521
129.92697543 -29.56108303  	  -24.81 -90.96   	4.886
086.73892066 -14.82194998  	   -14.54 -1.07   	3.545
227.21090163 -45.27985971  	  -15.88 -26.80   	4.07
085.21131240 -01.12878793  	    -1.50 -0.84   	4.95
137.01200186 -25.85853619  	     35.65 0.30   	4.56
146.774933 -65.071969      	     -22.8 17.0   	2.96
188.37059686 +69.78823584  	   -58.79 10.68   	3.89
243.85945744 -63.68568033  	    2.73 -12.92   	3.858
231.12261815 +37.37715493  	  -146.73 79.85   	4.307
114.57518921 -25.36480601  	    -3.03 -7.42   	4.7
325.52360242 +51.18962264  	     5.29 -1.78   	4.66
191.57001709 -68.10811567  	   -41.97 -8.89   	3.07
090.46009337 -10.59793237  	     -5.89 2.94   	4.94
292.42649467 +51.72977939  	   20.59 128.33   	3.769
069.53942899 +12.51083582  	  102.40 -15.78   	4.27
130.07327305 -52.92188895  	   -24.42 34.44   	3.63
034.836633 -02.977639      	            ~ ~   	3.04
342.50080479 +24.60158288  	  144.70 -41.87   	3.48
322.16498688 +70.56071519  	     12.54 8.39   	3.23
298.365392 +24.079603      	      20.4 32.6   	4.642
074.32165039 +53.75210150  	    -24.51 7.71   	4.452
226.01756698 -25.28196129  	  -71.16 -43.34   	3.21
341.63282442 +23.56565448  	   55.75 -10.15   	3.93
137.21774014 +51.60464804  	 -136.33 -32.60   	4.48
296.9083 +27.3133          	            ~ ~   	2.7
346.71971026 -43.52035715  	  -47.17 -13.49   	4.332
165.93196467 +61.75103469  	 -134.11 -34.70   	1.79
245.15908616 -24.16931920  	   -4.32 -14.15   	4.57
269.06325226 +37.25053732  	      2.67 6.47   	3.88
136.49319343 +05.09231555  	  -19.58 -11.07   	4.996
098.22595618 +07.33297062  	    -0.20 -3.48   	4.5
088.59576246 +20.27617278  	 -162.54 -99.51   	4.4
238.16892255 +42.45151845  	  438.90 629.70   	4.62
318.69788551 +38.04531782  	  196.99 410.28   	3.73
134.80189007 +48.04182614  	-656.61	3.14
235.07039227 -23.81807856  	   -17.69 -8.26   	4.96
218.01946582 +38.30825118  	 -115.71 151.16   	3.02
316.10125551 -19.85499196  	  -37.62 -24.95   	4.84
155.58160327 -41.64996096  	   -27.24 60.46   	4.83
107.55700687 -04.23710724  	   -0.47 217.36   	4.92
324.27012783 -19.46601288  	     12.79 0.28   	4.55
145.32086383 -23.59151484  	    -29.29 2.70   	4.76
331.41979874 +05.05853337  	  102.09 102.39   	4.84
066.37243082 +17.92790497  	  107.60 -34.54   	4.311
234.84447155 +36.63581655  	   -14.82 -4.74   	4.979
044.56531355 -40.30468123  	   -52.89 21.98   	2.9
267.54630381 -40.09043414  	     3.90 -2.42   	4.814
122.14852762 -02.98378780  	   -18.81 -4.50   	4.33
186.650629 -63.099206      	        -35 -18   	1.55
106.02721162 +20.57029829  	    -7.29 -0.41   	3.79
338.25025999 -61.98212194  	   40.07 -20.17   	4.81
115.31180237 -09.55113085  	  -74.61 -19.59   	3.93
078.43939860 -67.18525847  	    19.19 37.55   	4.812
271.88562802 +28.76249107  	     -0.02 8.55   	3.837
199.40118028 +05.46986726  	     -6.06 9.14   	4.8
017.375537 +47.241783      	      0.0 -10.8   	4.294
258.75796074 +24.83920697  	 -21.18 -156.48   	3.13
289.27570272 +53.36845927  	   60.07 122.83   	3.76
083.85825795 -05.90990098  	     1.42 -0.46   	2.77
236.54689311 +15.42183219  	   65.38 -38.61   	3.67
316.48678263 -17.23286169  	   79.33 -62.01   	4.07
199.60130946 -18.31119576  	-2134.05	4.74
317.39853701 -11.37169030  	   94.12 -14.62   	4.52
300.70446952 +67.87356373  	    16.44 47.31   	4.5
198.564221 -59.102883      	-404.25	4.91
252.16622951 -69.02771185  	   17.99 -31.58   	1.92
249.28974606 -10.56709152  	    15.26 24.79   	2.56
260.20692289 -12.84687591  	     43.40 2.61   	4.336
127.56612767 +60.71816987  	-241.21	3.42
195.56776973 -71.54885423  	  264.17 -22.75   	3.62
353.31926250 -20.91450430  	     -3.41 8.46   	4.709
027.39626317 -10.68640761  	 -148.11 -93.43   	4.68
210.43124620 -45.60341019  	    8.64 -16.25   	4.33
058.572787 -02.954039      	      25.5 20.0   	4.79
337.43930842 -43.74922133  	    -14.08 2.57   	4.11
022.54631015 +06.14382159  	  292.00 -45.95   	4.84
130.43056777 -15.94338462  	    3.71 -97.06   	4.873
207.94781393 +34.44423924  	  -20.02 -32.33   	4.74
108.56338299 -26.35250867  	     -6.91 3.17   	4.65
310.58477611 +19.16091994  	    -2.94 -8.37   	3.7
270.37670051 +21.59578012  	     8.36 37.46   	4.96
143.62024995 +69.83034200  	   -63.84 77.25   	4.57
290.65992 -44.45897        	            ~ ~   	4.3
312.23454662 +46.11413399  	    -2.65 -2.84   	4.86
343.00847610 +43.31241562  	   108.54 20.78   	4.957
090.97993675 +20.13845324  	     1.88 -2.10   	4.63
088.87465530 -37.12067100  	   36.90 -25.35   	4.97
085.189879 -01.943219      	        4.0 2.5   	3.7
188.11672264 -72.13298880  	   -51.34 -5.40   	3.88
248.15121625 +11.48804109  	 -178.84 -79.27   	4.85
145.28763770 +09.89230838  	 -143.20 -37.20   	3.52
261.83864879 -29.86703507  	  17.08 -138.02   	4.286
234.25604250 -28.13508129  	   -12.82 -4.15   	3.609
235.68568964 +26.29563463  	  -111.65 49.52   	3.84
074.63709208 +01.71401616  	    -1.30 -7.67   	4.474
081.28276356 +06.34970326  	   -8.11 -12.88   	1.64
244.58037393 -04.69250958  	    83.40 40.58   	3.23
189.6094915 -60.6348171    	            ~ ~   	0
204.36511590 +36.29489825  	   -95.54 23.75   	4.82
088.11016059 +01.85513772  	    -7.16 -8.24   	4.763
246.75597912 -18.45624827  	   -5.41 -21.12   	4.43
337.38259377 +47.70688687  	    -0.37 -3.33   	4.37
304.51356645 -12.54485232  	     62.63 2.66   	3.58
109.57663895 -36.73395359  	    -10.25 5.82   	4.67
065.10265956 +34.56672528  	   -25.06 -7.07   	4.933
269.15154118 +51.48889562  	   -8.48 -22.79   	2.23
281.084771 +39.670125      	      11.1 61.0   	4.991
097.20445713 -07.03305836  	      -7.0 -5.0   	4.6
249.09363300 -35.25532785  	    15.61 11.33   	4.184
226.27952481 -47.05124934  	  -22.98 -22.81   	3.89
197.96830746 +27.87818153  	 -801.44 882.04   	4.25
148.19090227 +26.00695330  	 -217.31 -54.26   	3.88
102.69143043 +41.78122964  	 -25.45 -138.19   	4.988
215.08142759 -56.38649721  	    -9.64 -7.46   	4.35
088.33185857 +27.61226051  	    3.72 -10.11   	4.557
113.649429 +31.888275      	  -206.3 -148.2   	1.93
323.49522077 +45.59183830  	  -23.79 -93.70   	4.02
