C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST16:20:32

Vmag <  5.3 &
cat = '*' &
(pm <  0 | pm  > 0) &
plx != 0 &
radvel != 0
--------------------------------------------------------------------------

Number of objects : 1935

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
918 ;* ksi Cnc                          ;SB*;137.3397547845100 +22.0454383668500;   -3.147 9.159     ;8.004     ;-7.70      ;5.149    
919 ;* kap Cnc                          ;a2*;136.9367064754900 +10.6681998852300;-18.312 -12.105     ;5.3209    ;24.50      ;5.24     
920 ;* ome Hya                          ;*  ;136.4932074356700 +05.0923260299900; -21.393 -9.590     ;5.3609    ;27.32      ;4.981    
921 ;* kap Pyx                          ;*  ;137.0119994267500 -25.8585378806300;   34.972 0.197     ;6.239     ;-44.7      ;4.56     
922 ;* 38 Lyn                           ;PM*;139.71101600 +36.80259252          ; -32.33 -125.64     ;26.13     ;4.0        ;3.92     
923 ;* alf Lyn                          ;PM*;140.2637508770291 +34.3925592893489;-218.723 16.555     ;14.7042   ;38.47      ;3.14     
924 ;* 23 Hya                           ;SB*;139.1739119719500 -06.3531444179100;   18.862 3.121     ;9.3779    ;-17.58     ;5.230    
925 ;* 27 Hya                           ;*  ;140.1209106900 -09.5556959511      ;  -12.48 -27.37     ;14.66     ;25.60      ;4.811    
926 ;* 26 Hya                           ;** ;139.9432568947900 -11.9748527477000; -27.970 12.400     ;9.4514    ;-1.18      ;4.770    
927 ;* tet Pyx                          ;*  ;140.3732929611600 -25.9654406299200; -12.860 -9.792     ;5.096     ;20.0       ;4.72     
928 ;* kap Leo                          ;** ;141.1635780821 +26.1823236031      ;  -31.64 -48.20     ;16.20     ;28.00      ;4.46     
929 ;* lam Leo                          ;V* ;142.9301147300 +22.9679695553      ;  -20.17 -39.47     ;9.91      ;24.27      ;4.31     
930 ;* ksi Leo                          ;PM*;142.9864207233500 +11.2998217991600;-101.446 -82.543    ;14.2602   ;35.83      ;4.963    
931 ;* 6 Leo                            ;*  ;142.9899041851900 +09.7157653147900; -8.974 -12.737     ;5.2776    ;18.55      ;5.07     
932 ;* tau02 Hya                        ;*  ;142.9955247736100 -01.1846713524800; -11.906 -2.198     ;5.5119    ;3.90       ;4.548    
933 ;* tau01 Hya                        ;SB*;142.2872140254600 -02.7689394543100;116.374 -31.265     ;54.9187   ;10.484     ;4.60     
934 ;* alf Hya                          ;*  ;141.89684460 -08.65859953          ;   -15.23 34.37     ;18.09     ;-4.561     ;1.97     
935 ;* G Hya                            ;PM*;141.8267187649600 -22.3437270895500;178.235 -178.053    ;18.5521   ;29.05      ;4.69     
936 ;* lam Pyx                          ;PM*;140.8010429063300 -28.8338613514300;-126.913 23.116     ;17.0726   ;10.80      ;4.68     
937 ;* eps Ant                          ;*  ;142.3113319867 -35.9513353986      ;    -24.69 5.04     ;4.59      ;22.2       ;4.51     
938 ;* 10 LMi                           ;RS*;143.5557576867900 +36.3975580620400;  6.989 -22.729     ;17.0738   ;-11.94     ;4.60     
939 ;* omi Leo                          ;SB*;145.2876376996 +09.8923083842      ; -143.20 -37.20     ;25.03     ;26.18      ;3.52     
940 ;* 10 Leo                           ;SB*;144.3028305924300 +06.8358224536600; -67.135 -8.899     ;12.9379   ;12.16      ;5.009    
941 ;* 2 Sex                            ;PM*;144.6137022018196 +04.6492927677767;-164.812 -50.933    ;10.3358   ;44.85      ;4.68     
942 ;* iot Hya                          ;PM*;144.9640060237 -01.1428093031      ;   46.96 -62.39     ;12.39     ;24.19      ;3.91     
943 ;* kap Hya                          ;V* ;145.0765206637 -14.3322965108      ;  -23.41 -21.10     ;7.48      ;20.60      ;5.052    
944 ;* I Hya                            ;Be*;145.3208638296 -23.5915148383      ;    -29.29 2.70     ;6.44      ;25.9       ;4.76     
945 ;* tet Ant                          ;** ;146.0503963187 -27.7694725153      ;   -53.23 37.24     ;9.61      ;24.00      ;4.79     
946 ;* mu. Leo                          ;PM*;148.1909022646 +26.0069533006      ; -217.31 -54.26     ;26.28     ;13.647     ;3.88     
947 ;* eps Leo                          ;V* ;146.4628054183 +23.7742557872      ;   -45.61 -9.21     ;13.22     ;4.322      ;2.98     
948 ;* ups01 Hya                        ;*  ;147.8695576567 -14.8466030639      ;   18.88 -21.85     ;12.36     ;-14.34     ;4.11     
949 ;* 21 LMi                           ;dS*;151.8573456575 +35.2446934639      ;     52.90 0.62     ;35.41     ;-11.40     ;4.49     
950 ;* eta Leo                          ;*  ;151.8331327525 +16.7626611861      ;    -2.80 -1.82     ;2.57      ;1.40       ;3.41     
951 ;* nu. Leo                          ;SB*;149.5557315446 +12.4448018033      ;  -25.66 -15.56     ;6.53      ;14.4       ;5.260    
952 ;* pi. Leo                          ;V* ;150.0533578758 +08.0442231178      ;  -31.41 -22.15     ;8.03      ;22.30      ;4.70     
953 ;* ups02 Hya                        ;V* ;151.2811203338 -13.0646266981      ;   -39.39 19.65     ;10.40     ;24.30      ;4.588    
954 ;* eta Ant                          ;PM*;149.7178142625500 -35.8909728992000;-89.728 -15.945     ;30.0499   ;30.00      ;5.222    
955 ;* zet Leo                          ;V* ;154.1725665329 +23.4173116889      ;    18.39 -6.84     ;11.90     ;-21.40     ;3.41     
956 ;* 31 Leo                           ;PM*;151.9761254861525 +09.9975068749342;-82.021 -64.844     ;11.0209   ;39.84      ;4.38     
957 ;* alf Leo                          ;PM*;152.09296244 +11.96720878          ;   -248.73 5.59     ;41.13     ;5.9        ;1.40     
958 ;* alf Sex                          ;*  ;151.9845156950100 -00.3716703684900; -13.060 -9.669     ;7.6582    ;10.00      ;4.49     
959 ;* eps Sex                          ;PM*;154.4075083221 -08.0689138333      ;   -160.57 2.91     ;16.86     ;15.2       ;5.240    
960 ;* lam Hya                          ;SB*;152.6470357548103 -12.3541274788236;-217.433 -74.373    ;30.0232   ;19.4       ;3.61     
961 ;* mu. UMa                          ;SB*;155.5822490246 +41.4995191958      ;   -81.47 35.34     ;14.16     ;-21.30     ;3.05     
962 ;* bet LMi                          ;SB*;156.9708316646 +36.7072100106      ;-127.68 -110.31     ;21.19     ;8.52       ;4.21     
963 ;* 30 LMi                           ;Pe*;156.4783972854 +33.7961197100      ;  -73.66 -59.21     ;13.98     ;13.70      ;4.718    
964 ;* gam Leo                          ;** ;154.99312733 +19.84148522          ; 304.30 -154.28     ;25.07     ;-36.24     ;2.37     
965 ;* del Sex                          ;PM*;157.3695953551504 -02.7390757814033;-49.127 -13.023     ;9.4160    ;19.00      ;5.180    
966 ;* mu. Hya                          ;PM*;156.52260958 -16.83628968          ; -129.17 -79.76     ;13.93     ;40.81      ;3.81     
967 ;* alf Ant                          ;PM*;156.7879193306000 -31.0677791392500;  -81.320 9.798     ;8.9069    ;12.2       ;4.25     
968 ;* r Vel                            ;PM*;155.5816035258900 -41.6499619815800; -27.720 60.366     ;15.7328   ;21.53      ;4.83     
969 ;* 37 LMi                           ;*  ;159.6800528733 +31.9762390747      ;      0.07 7.79     ;5.64      ;-7.71      ;4.677    
970 ;* rho Leo                          ;s*b;158.2027986542 +09.3065859569      ;    -5.93 -3.40     ;0.60      ;42.00      ;3.870    
971 ;* 48 Leo                           ;PM*;158.7000563406300 +06.9537502783600;-102.355 56.865     ;11.9766   ;4.94       ;5.070    
972 ;* bet Sex                          ;a2*;157.5728345412100 -00.6370318161100;-39.290 -23.582     ;8.8899    ;11.6       ;5.10     
973 ;* phi Hya                          ;SB*;159.6456153068700 -16.8765651864300; -95.499 25.027     ;12.4255   ;16.58      ;4.903    
974 ;* 44 Hya                           ;*  ;158.5036856580200 -23.7451691687900; -11.135 21.596     ;3.721     ;-5.10      ;5.060    
975 ;* 41 LMi                           ;PM*;160.8539863104 +23.1884027431      ;   -115.30 7.62     ;14.23     ;18.5       ;5.070    
976 ;* nu. Hya                          ;PM*;162.4062031038 -16.1936488858      ;   93.35 198.88     ;22.69     ;-1.37      ;3.11     
977 ;* ome UMa                          ;SB*;163.4947538182000 +43.1899575069100; 44.033 -23.714     ;13.291    ;-18.70     ;4.664    
978 ;* 49 UMa                           ;PM*;165.2100715838500 +39.2120763442600;-72.985 -27.041     ;9.3797    ;3.3        ;5.062    
979 ;* 46 LMi                           ;PM*;163.3279369729 +34.2148715256      ;  92.02 -285.82     ;34.38     ;15.69      ;3.83     
980 ;* 46 UMa                           ;PM*;163.9349345164900 +33.5069289575000;-111.772 -27.303    ;13.5727   ;-23.04     ;5.034    
981 ;* 54 Leo                           ;** ;163.90331908 +24.74971730          ;  -80.03 -15.36     ;11.37     ;5.40       ;4.32     
982 ;* 54 Leo A                         ;PM*;163.9033389764800 +24.7497284248800;-76.977 -14.698     ;10.742    ;5.4        ;4.477    
983 ;* b Leo                            ;Pe*;165.5823990375 +20.1798406972      ;    -8.67 39.07     ;25.73     ;-11.10     ;4.398    
984 ;* c Leo                            ;PM*;165.1866750973400 +06.1014452203000;-52.013 -23.524     ;21.4498   ;-11.70     ;4.977    
985 ;* 58 Leo                           ;** ;165.1401964303400 +03.6174978845000; 13.868 -15.792     ;9.6348    ;5.98       ;4.838    
986 ;* p02 Leo                          ;V* ;165.4569845228104 -02.4845904574794;  9.014 -35.370     ;5.4948    ;-12.70     ;4.75     
987 ;* alf Crt                          ;PM*;164.9436048157617 -18.2987862206156;-462.303 128.614    ;20.3693   ;47.54      ;4.07     
988 ;* b03 Hya                          ;PM*;163.3730509407800 -20.1387294556200;80.915 -238.566     ;33.2327   ;-3.994     ;5.24     
989 ;* iot Ant                          ;PM*;164.1793800789600 -37.1377674098800;74.069 -124.443     ;15.7132   ;2.30       ;4.60     
990 ;* i Vel                            ;*  ;165.0386009833 -42.2258589989      ;     23.28 4.29     ;16.62     ;-3.50      ;4.39     
991 ;* del Leo                          ;PM*;168.52708927 +20.52371814          ; 143.42 -129.88     ;55.82     ;-20.90     ;2.53     
992 ;* tet Leo                          ;PM*;168.5600185958 +15.4295705794      ;  -60.31 -79.10     ;19.76     ;7.536      ;3.35     
993 ;* chi Leo                          ;PM*;166.2542825355171 +07.3360067025872;-345.034 -46.986    ;34.6007   ;3.30       ;4.62     
994 ;* bet Crt                          ;SB*;167.9144946530200 -22.8258480483300; 7.827 -102.911     ;10.3043   ;5.60       ;4.449    
995 ;* chi01 Hya                        ;** ;166.3329272868400 -27.2936240976500;-187.524 -3.099     ;22.5314   ;19.10      ;4.912    
996 ;* 46 Cen                           ;a2*;166.8195412733300 -42.6386798924800; -83.662 41.467     ;11.255    ;2.00       ;5.24     
997 ;* 56 UMa                           ;SB*;170.7065749499700 +43.4826984641300;-35.561 -10.651     ;5.8813    ;1.01       ;5.03     
998 ;* 55 UMa                           ;SB*;169.7828588094300 +38.1855933153700;-47.378 -75.708     ;16.0516   ;-3.0       ;4.80     
999 ;* nu. UMa                          ;*  ;169.6197360100 +33.0943085269      ;   -26.84 28.69     ;8.17      ;-9.63      ;3.49     
1000;* ksi UMa B                        ;SB*;169.5451500480855 +31.5291171363650;-339.398 -607.892   ;114.4867  ;-15.9      ;4.77     
1001;* ksi UMa                          ;RS*;169.545549500 +31.529288900        ;  -453.7 -591.4     ;113.2     ;-18.2      ;3.79     
1002;* 72 Leo                           ;LP*;168.8009461983 +23.0955103578      ;   -25.56 -6.00     ;3.40      ;14.76      ;4.63     
1003;* sig Leo                          ;PM*;170.2841395550 +06.0293252625      ;  -92.97 -11.48     ;14.82     ;-5.3       ;4.040    
1004;* 75 Leo                           ;PM*;169.3225016950 +02.0105564708      ;  55.24 -142.61     ;9.82      ;-59.46     ;5.18     
1005;* phi Leo                          ;PM*;169.1654149883 -03.6516047272      ; -110.37 -37.16     ;17.71     ;-3.00      ;4.450    
1006;* eps Crt                          ;*  ;171.1524633838100 -10.8593265288200; -25.154 24.689     ;8.178     ;2.00       ;4.802    
1007;* del Crt                          ;PM*;169.8351981738 -14.7785392519      ; -124.67 207.59     ;17.56     ;-4.94      ;3.56     
1008;* gam Crt                          ;PM*;171.2205150829 -17.6840083272      ;    -97.42 3.65     ;39.62     ;1.00       ;4.06     
1009;* lam Crt                          ;SB*;170.8411727775646 -18.7800355935822;-319.253 -17.823    ;22.0397   ;11.05      ;5.09     
1010;* tau Leo                          ;*  ;171.9843313462600 +02.8562650302500; 16.851 -10.756     ;6.1072    ;-8.82      ;4.943    
1011;* ups Leo                          ;*  ;174.2372119125 -00.8237489733      ;     1.76 43.37     ;17.97     ;1.79       ;4.30     
1012;* e Leo                            ;*  ;172.5787223020500 -03.0034997012900; 19.554 -16.149     ;6.5892    ;18.43      ;4.77     
1013;* tet Crt                          ;PM*;174.1704723071 -09.8022475661      ;    -59.38 2.55     ;11.63     ;1.00       ;4.673    
1014;* 18 Crt                           ;V* ;173.2255362517700 -31.0872253996500;  -29.500 6.543     ;7.7972    ;19.4       ;5.11     
1015;* ksi Hya                          ;** ;173.2504793996 -31.8576231803      ; -209.62 -40.84     ;25.16     ;-4.599     ;3.54     
1016;* 92 Leo                           ;PM*;175.1961135292200 +21.3527274384000;-60.943 -45.959     ;13.6688   ;9.38       ;5.255    
1017;* 93 Leo                           ;RS*;176.99639979 +20.21893056          ;  -145.49 -4.34     ;14.02     ;0.750      ;4.522    
1018;* ksi Vir                          ;PM*;176.3210011321 +08.2581152819      ;   60.08 -24.50     ;26.73     ;-0.5       ;4.842    
1019;* nu. Vir                          ;LP*;176.4648315567 +06.5293725797      ; -18.96 -181.56     ;11.10     ;50.28      ;4.04     
1020;* zet Crt                          ;** ;176.1907332321900 -18.3506763721000; 27.298 -24.644     ;9.5113    ;-3.64      ;4.706    
1021;* 26 Crt                           ;*  ;175.4331141515300 -32.4994031195200; -7.150 -32.948     ;7.5905    ;35.25      ;5.200    
1022;* omi Hya                          ;*  ;175.0532904262 -34.7446592672      ;   -43.24 -1.61     ;7.27      ;5.9        ;4.70     
1023;* bet Leo                          ;dS*;177.26490976 +14.57205806          ;-497.68 -114.67     ;90.91     ;-0.20      ;2.13     
1024;* bet Vir                          ;PM*;177.6738271494233 +01.7647226497586;740.746 -270.927    ;90.8945   ;4.455      ;3.60     
1025;* eta Crt                          ;PM*;179.0039754730300 -17.1508244691200; -49.952 -8.271     ;13.0075   ;15.00      ;5.160    
1026;* bet Hya                          ;a2*;178.22717287 -33.90812978          ;    -56.56 0.19     ;10.53     ;-1.00      ;4.28     
1027;* omi Vir                          ;PM*;181.3022520350 +08.7329860522      ;  -218.69 57.76     ;19.98     ;-29.578    ;4.12     
1028;* pi. Vir                          ;SB*;180.2182934200 +06.6143214175      ;    0.26 -30.10     ;8.49      ;-10.4      ;4.642    
1029;* 31 Crt                           ;SB*;180.2131631734200 -19.6589811764300;  -17.071 6.830     ;1.6891    ;1.7        ;5.264    
1030;* eps Crv                          ;PM*;182.5311690937 -22.6197672175      ;   -71.74 10.25     ;10.26     ;5.00       ;2.98     
1031;* alf Crv                          ;PM*;182.1034021837 -24.7288750983      ;   99.52 -39.19     ;66.95     ;2.80       ;4.00     
1032;* 7 Com                            ;*  ;184.0855762879 +23.9454083328      ;   -26.55 -6.22     ;13.08     ;-27.89     ;4.86     
1033;* 11 Com                           ;PM*;185.1792740399600 +17.7928687534300;-109.426 88.930     ;10.1677   ;43.37      ;4.74     
1034;* 6 Com                            ;PM*;184.0007773648499 +14.8990678956600;-80.593 -31.055     ;15.3309   ;9.60       ;5.090    
1035;* c Vir                            ;RG*;185.0874224675821 +03.3125708936114;-293.281 -63.568    ;9.6700    ;36.66      ;4.96     
1036;* eta Vir                          ;SB*;184.9764266591500 -00.6667961981100;-54.665 -17.642     ;13.1692   ;5.24       ;3.90     
1037;* gam Crv                          ;PM*;183.95154504 -17.54193046          ;  -158.61 21.86     ;21.23     ;-4.2       ;2.58     
1038;* zet Crv                          ;Be*;185.1401749294400 -22.2159004737000;-108.879 -27.661    ;8.4789    ;-6.40      ;5.21     
1039;* bet CVn                          ;** ;188.4356010485612 +41.3574781535719;-704.702 292.155    ;118.0266  ;6.268      ;4.25     
1040;* 6 CVn                            ;PM*;186.4622439935199 +39.0186156475500;-77.864 -33.599     ;13.2662   ;-4.30      ;5.01     
1041;* gam Com                          ;PM*;186.7344669712 +28.2684225225      ;  -83.95 -81.13     ;19.50     ;3.38       ;4.34     
1042;* 13 Com                           ;a2*;186.0772870957200 +26.0985892788300; -26.158 -9.385     ;11.1318   ;0.10       ;5.18     
1043;* 14 Com                           ;*  ;186.6002684278900 +27.2682388351800;-15.874 -11.784     ;11.2826   ;-2.20      ;4.95     
1044;* 16 Com                           ;*  ;186.7470678949599 +26.8257017040400; -11.589 -9.138     ;11.9394   ;0.40       ;4.959    
1045;* 17 Com                           ;a2*;187.2279260027700 +25.9128516147600;-23.071 -15.110     ;12.9991   ;-1.40      ;5.236    
1046;* 12 Com                           ;SB*;185.6262974615900 +25.8461576834300; -11.426 -8.112     ;11.4903   ;0.5        ;4.81     
1047;* eta Crv                          ;PM*;188.0176100077008 -16.1960051709386;-424.597 -58.241    ;54.8135   ;0.69       ;4.294    
1048;* del Crv                          ;PM*;187.4660631842 -16.5154312617      ;-210.49 -138.74     ;37.55     ;13.90      ;2.94     
1049;* 23 Com                           ;** ;188.7128357462 +22.6292584044      ;   -58.89 28.31     ;10.52     ;-16.00     ;4.773    
1050;* 24 Com A                         ;V* ;188.7823356069899 +18.3770585454400;  -3.030 23.285     ;8.9188    ;3.03       ;5.02     
1051;* rho Vir                          ;dS*;190.4710706146200 +10.2356257137000; 81.912 -90.323     ;25.6921   ;1.6        ;4.88     
1052;* gam Vir                          ;PM*;190.4151176200630 -01.4494039524575;-605.176 85.701     ;83.1935   ;-19.8      ;2.74     
1053;* gam Vir B                        ;Pe*;190.4147607686542 -01.4494021269331;-534.318 -64.270    ;78.5233   ;-19.8      ;3.49     
1054;* chi Vir                          ;** ;189.8115290086000 -07.9955649571800;-77.223 -24.409     ;10.3526   ;-18.94     ;4.643    
1055;* bet Crv                          ;PM*;188.5968118304 -23.3967604036      ;    1.11 -56.56     ;22.39     ;-7.34      ;2.64     
1056;* l Cen                            ;** ;189.9688683100 -39.9873029422      ;  -43.38 -25.25     ;8.94      ;15.1       ;4.64     
1057;* alf02 CVn                        ;a2*;194.0069425712 +38.3183761417      ;  -235.08 53.54     ;28.41     ;-4.10      ;2.88     
1058;* 31 Com                           ;Ro*;192.9246673735999 +27.5407125046700; -12.025 -8.119     ;11.8467   ;-0.08      ;4.94     
1059;* 35 Com                           ;SB*;193.32394594 +21.24494701          ;  -37.66 -30.14     ;11.52     ;-6.091     ;4.91     
1060;* 27 Com                           ;*  ;191.6615076789699 +16.5776878118000;  14.359 15.903     ;10.6919   ;50.58      ;5.12     
1061;* d02 Vir                          ;dS*;191.4044103504 +07.6733248853      ;   -107.95 4.10     ;12.91     ;-8.7       ;5.207    
1062;* del Vir                          ;RG*;193.9008691908 +03.3974703403      ; -469.99 -52.83     ;16.44     ;-18.87     ;3.38     
1063;* psi Vir                          ;LP*;193.5881809067 -09.5389939675      ;  -18.08 -19.52     ;5.99      ;17.6       ;4.80     
1064;* p Cen                            ;*  ;192.6715141190700 -33.9993479584600;-29.710 -13.778     ;7.9731    ;4.00       ;4.894    
1065;* n Cen                            ;PM*;193.3591667112 -40.1788733483      ;   70.84 -22.54     ;21.95     ;-2.5       ;4.27     
1066;* 14 CVn                           ;V* ;196.4351480783800 +35.7988999360900; -37.208 20.034     ;9.8367    ;-13.00     ;5.195    
1067;* 37 Com                           ;RS*;195.0686226596800 +30.7850220713700; -20.750 -6.712     ;5.2918    ;-14.34     ;4.88     
1068;* 41 Com                           ;PM*;196.7947080094463 +27.6247376218361; 34.155 -69.539     ;8.5989    ;-17.38     ;4.69     
1069;* 36 Com                           ;PM*;194.7310123782400 +17.4094428590700; -37.705 33.723     ;9.393     ;-1.98      ;5.00     
1070;* eps Vir                          ;PM*;195.5441577067 +10.9591504008      ;  -273.80 19.96     ;29.76     ;-14.29     ;2.79     
1071;* 20 CVn                           ;dS*;199.3855872112 +40.5726076325      ;  -125.28 18.47     ;12.34     ;9.32       ;4.698    
1072;* bet Com                          ;PM*;197.9683076116925 +27.8781839748500;-800.720 882.301    ;108.7250  ;5.297      ;4.25     
1073;* alf Com                          ;** ;197.49702169 +17.52945526          ; -433.13 141.24     ;56.10     ;-18.826    ;4.32     
1074;* sig Vir                          ;V* ;199.4011802800 +05.4698672539      ;     -6.06 9.14     ;4.83      ;-28.26     ;4.80     
1075;* tet Vir                          ;** ;197.4874539107000 -05.5390040652200;-35.252 -33.302     ;11.1834   ;-3.353     ;4.397    
1076;* 49 Vir                           ;*  ;196.9742202965300 -10.7404087040400; 16.629 -10.192     ;11.1498   ;-9.55      ;5.151    
1077;* 53 Vir                           ;PM*;198.0147632810596 -16.1986029691842;97.167 -288.066     ;29.9003   ;-12.499    ;5.04     
1078;* 61 Vir                           ;PM*;199.6013082768629 -18.3111938190506;-1070.202 -1063.849 ;117.1726  ;-7.824     ;4.740    
1079;* 57 Vir                           ;PM*;198.9948786208545 -19.9431003621942;304.278 -114.932    ;26.6876   ;35.11      ;5.22     
1080;* psi Hya                          ;*  ;197.2636082308400 -23.1180438664600;-20.533 -46.131     ;14.0296   ;-15.85     ;4.934    
1081;* r Cen                            ;RG*;199.2213828338100 -31.5062012746500; 34.475 -48.146     ;12.5974   ;12.9       ;5.110    
1082;* 70 Vir                           ;PM*;202.1075357953671 +13.7787884191131;-235.951 -575.969   ;55.2511   ;5.017      ;4.970    
1083;* i Vir                            ;PM*;201.6798605863500 -12.7076629044600;-130.093 -21.369    ;6.6344    ;-28.6      ;5.25     
1084;* alf Vir                          ;bC*;201.29824736 -11.16131949          ;  -42.35 -30.67     ;13.06     ;1.0        ;0.97     
1085;* 69 Vir                           ;PM*;201.8631834863600 -15.9735793399400;-121.566 20.435     ;12.0127   ;-12.99     ;4.750    
1086;* gam Hya                          ;SB*;199.7304049400 -23.1715142781      ;   68.99 -41.85     ;24.37     ;-4.861     ;3.00     
1087;* iot Cen                          ;PM*;200.1492200650396 -36.7123045812250;-339.615 -82.181    ;56.0571   ;0.10       ;2.73     
1088;* 25 CVn                           ;** ;204.36511590 +36.29489825          ;   -95.54 23.75     ;16.42     ;-10.40     ;4.82     
1089;* o Vir                            ;a2*;203.5330493987 +03.6589649503      ;   45.51 -24.70     ;17.65     ;-7.986     ;4.94     
1090;* zet Vir                          ;PM*;203.6732973280300 -00.5958164161200;-276.903 44.621     ;43.7467   ;-13.2      ;3.38     
1091;* l Vir                            ;PM*;202.9911877304 -06.2558171928      ; -103.94 -43.87     ;8.16      ;18.71      ;4.69     
1092;* h Vir                            ;PM*;203.2419649669108 -10.1649986301178;-31.019 -38.850     ;11.6520   ;0.21       ;5.21     
1093;* d Cen                            ;** ;202.7610691462 -39.4073052756      ;  -15.67 -10.49     ;3.60      ;-2.40      ;3.88     
1094;* e Boo                            ;SB*;207.4284365377400 +21.2641013137000;  31.230 17.196     ;4.7492    ;-2.6       ;4.91     
1095;* ups Boo                          ;PM*;207.3693366075 +15.7979056342      ;   -94.22 41.07     ;12.38     ;-5.85      ;4.07     
1096;* tau Boo                          ;Ro*;206.8155757166775 +17.4568915432222;-468.923 63.469     ;64.0470   ;-16.03     ;4.49     
1097;* m Vir                            ;PM*;205.4032086853400 -08.7029802854700; -91.258 38.786     ;5.4376    ;-36.6      ;5.01     
1098;* 89 Vir                           ;PM*;207.4678453962600 -18.1341692527100;-100.681 -38.243    ;14.1268   ;-39.45     ;4.959    
1099;* i Cen                            ;SB*;206.4218497442092 -33.0437169721730;-462.182 -146.513   ;51.9074   ;-21.50     ;4.23     
1100;* g Cen                            ;LP*;207.3613406287 -34.4507758078      ;  -41.68 -59.77     ;17.82     ;40.70      ;4.19     
1101;* z Cen                            ;*  ;206.7347989755900 -36.2519333476000;-13.533 -10.886     ;8.5328    ;-9.8       ;5.147    
1102;* 9 Boo                            ;PM*;209.1424209469800 +27.4920814414000; 28.154 -48.279     ;5.2113    ;-41.07     ;5.000    
1103;* eta Boo                          ;SB*;208.67116217 +18.39772072          ; -60.95 -356.29     ;87.75     ;-5.254240  ;2.680    
1104;* tau Vir                          ;*  ;210.4116392262 +01.5445318167      ;   17.49 -21.27     ;14.50     ;-6.70      ;4.237    
1105;* p Vir                            ;PM*;208.6756047237500 -01.5031227211000;-86.260 -21.309     ;13.0011   ;-7.17      ;5.159    
1106;* 47 Hya                           ;PM*;209.6297767467 -24.9722494194      ;  -49.36 -29.53     ;9.80      ;5.00       ;5.15     
1107;* h Cen                            ;SB*;208.3022428738500 -31.9276195534000;-10.428 -10.710     ;4.8225    ;5.2        ;4.73     
1108;* d Boo                            ;SB*;212.5997228886100 +25.0916769502700;-23.157 -59.831     ;27.484    ;9.58       ;4.83     
1109;* kap Vir                          ;PM*;213.2239391000 -10.2737038881      ;    7.25 139.88     ;12.80     ;-4.38      ;4.21     
1110;* pi. Hya                          ;PM*;211.5929061937 -26.6823617717      ;  43.70 -141.18     ;32.30     ;27.20      ;3.28     
1111;* 50 Hya                           ;*  ;213.1917622880594 -27.2611855887304;-12.951 -35.033     ;14.6511   ;27.78      ;5.08     
1112;* tet Cen                          ;PM*;211.67061468 -36.36995474          ;-520.53 -518.06     ;55.45     ;1.30       ;2.05     
1113;* A Boo                            ;SB*;214.4992388500700 +35.5095123037500;   5.716 12.866     ;13.4788   ;-21.60     ;4.796    
1114;* alf Boo                          ;RG*;213.91530029 +19.18240916          ;-1093.39 -2000.06   ;88.83     ;-5.229     ;-0.05    
1115;* ups Vir                          ;PM*;214.8853322271799 -02.2655163057800;-118.809 -71.508    ;12.1137   ;-26.68     ;5.14     
1116;* iot Vir                          ;PM*;214.0036229371 -06.0005453744      ; -26.31 -419.38     ;44.97     ;12.079     ;4.08     
1117;* lam Vir                          ;SB*;214.7774681246 -13.3710960847      ;   -15.91 28.92     ;17.49     ;-6.40      ;4.520    
1118;* k Hya                            ;PM*;215.7740578132500 -27.7540172521600;-202.484 -117.094   ;19.0593   ;20.50      ;4.75     
1119;* psi Cen                          ;PM*;215.1393011958 -37.8852930944      ;  -63.69 -10.65     ;12.60     ;1.80       ;4.034    
1120;* rho Boo                          ;PM*;217.9574555385208 +30.3714365700764;-100.531 119.870    ;19.8550   ;-13.57     ;3.59     
1121;* sig Boo                          ;PM*;218.6700724446800 +29.7451271316500;188.574 131.580     ;63.4679   ;0.116      ;4.47     
1122;* phi Vir                          ;PM*;217.0505787590600 -02.2279580599600;-138.727 -3.338     ;26.8792   ;-9.88      ;4.840    
1123;* l Hya                            ;** ;217.0434467762533 -29.4916379929928;-23.446 -24.638     ;7.5222    ;5.40       ;4.97     
1124;* eps Boo B                        ;*  ;221.2464573637137 +27.0749855886886; -43.525 22.499     ;14.8826   ;-23        ;4.801    
1125;* eps Boo                          ;** ;221.24673940 +27.07422497          ;   -50.95 21.07     ;16.10     ;-16.31     ;2.39     
1126;* eps Boo A                        ;*  ;221.246763108 +27.074207219        ;     -42.2 13.6     ;16.2      ;-16.6      ;2.45     
1127;* 34 Boo                           ;LP*;220.8556793567 +26.5278517586      ;  -13.57 -16.08     ;4.63      ;5.60       ;4.79     
1128;* pi.01 Boo                        ;*  ;220.1814954656200 +16.4183266558600;  13.922 15.566     ;10.3357   ;-1.10      ;4.893    
1129;* omi Boo                          ;PM*;221.3102511012 +16.9642799458      ;  -60.69 -50.56     ;13.42     ;-9.18      ;4.60     
1130;* zet Boo                          ;** ;220.28729823 +13.72830463          ;   51.95 -11.08     ;18.56     ;-8.50      ;3.78     
1131;* 31 Boo                           ;V* ;220.4114633076100 +08.1617645718200;  -10.265 3.187     ;6.6024    ;-22.24     ;4.862    
1132;* 109 Vir                          ;PM*;221.5621889996 +01.8928845822      ; -114.03 -22.13     ;24.25     ;-6.1       ;3.73     
