C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
866 ;* kap Lup                  ;* kap Lup                          ;227.9836386327700 -48.7378249875300;-97.126 -48.849     ;17.5888   ;-6.60       ;3.70     
867 ;* sig Lup                  ;* sig Lup                          ;218.1544027875 -50.4571596136      ;  -29.26 -15.72     ;5.67      ;-1.5        ;4.423    
868 ;* pi. Hya                  ;* pi. Hya                          ;211.5929061937 -26.6823617717      ;  43.70 -141.18     ;32.30     ;27.20       ;3.28     
869 ;* ome02 Aqr                ;* ome02 Aqr                        ;355.6806030283 -14.5449034206      ;   99.28 -66.32     ;21.96     ;3.20        ;4.484    
870 ;* psi UMa                  ;* psi UMa                          ;167.4158694850 +44.4984866806      ;  -62.02 -27.41     ;22.57     ;-3.39       ;3.01     
871 ;* ome Aur                  ;* ome Aur                          ;074.8142056793500 +37.8902447746600; 45.340 -97.647     ;20.2399   ;7.70        ;5.00     
872 ;* eta CMa                  ;* eta CMa                          ;111.02375950 -29.30310551          ;     -4.14 5.81     ;1.64      ;41.1        ;2.45     
873 ;* pi.01 Boo                ;* pi.01 Boo                        ;220.1814954656200 +16.4183266558600;  13.922 15.566     ;10.3357   ;-1.10       ;4.893    
874 ;* del Tau                  ;* del Tau                          ;065.7337298316400 +17.5425138339900;106.212 -27.692     ;20.3092   ;37.91       ;3.76     
875 ;* 31 Boo                   ;* 31 Boo                           ;220.4114633076100 +08.1617645718200;  -10.265 3.187     ;6.6024    ;-22.24      ;4.862    
876 ;* tet Cen                  ;* tet Cen                          ;211.67061468 -36.36995474          ;-520.53 -518.06     ;55.45     ;1.30        ;2.05     
877 ;* gam01 Leo                ;* gam01 Leo                        ;154.993143592 +19.841488667        ;   310.8 -152.9     ;      ~   ;-36.98      ;1.98     
878 ;* bet Hya                  ;* bet Hya                          ;178.22717287 -33.90812978          ;    -56.56 0.19     ;10.53     ;-1.00       ;4.28     
879 ;* del Vol                  ;* del Vol                          ;109.2075994650 -67.9571523228      ;     -4.43 8.38     ;4.42      ;24.62       ;3.99     
880 ;* omi Sco                  ;* omi Sco                          ;245.1590861633 -24.1693191975      ;   -4.32 -14.15     ;3.71      ;-8.2        ;4.57     
881 ;* iot UMa                  ;* iot UMa                          ;134.80189007 +48.04182614          ;-441.29 -215.32     ;68.92     ;9.0         ;3.14     
882 ;* 54 Per                   ;* 54 Per                           ;065.1026579474700 +34.5667259437500; -24.314 -7.053     ;14.0327   ;-26.713     ;4.929    
883 ;* iot Cas                  ;* iot Cas                          ;037.26644916 +67.40247693          ;   -26.61 38.21     ;24.55     ;1.2         ;     ~   
884 ;* i Lup                    ;* i Lup                            ;228.6554993406000 -31.5191238446700;   -8.935 1.036     ;1.5243    ;-22.80      ;4.918    
885 ;* tau05 Eri                ;* tau05 Eri                        ;053.4469838683 -21.6328841764      ;   44.94 -28.16     ;11.12     ;14.0        ;4.30     
886 ;* tau04 Eri                ;* tau04 Eri                        ;049.8791759887 -21.7578624869      ;    51.89 32.92     ;10.71     ;41.70       ;3.70     
887 ;* omi01 Cyg                ;* 31 Cyg                           ;303.4079509877000 +46.7413226716800;    1.744 3.390     ;2.9167    ;-7.24       ;3.80     
888 ;* zet Cep                  ;* zet Cep                          ;332.7136538163 +58.2012626631      ;     13.52 5.24     ;3.90      ;-17.83      ;3.35     
889 ;* ome Dra                  ;* ome Dra                          ;264.2378929486479 +68.7579670927683;  1.690 321.452     ;42.0939   ;-13.98      ;     ~   
890 ;* m Vel                    ;* m Vel                            ;147.9194512924900 -46.5476222502900; -25.119 10.305     ;3.6857    ;10.8        ;4.58     
891 ;* eta Oph A                ;* eta Oph A                        ;257.594433600 -15.725142800        ;            ~ ~     ;      ~   ;~           ;2.463    
892 ;* del Lep                  ;* del Lep                          ;087.8304001160367 -20.8790918488403;229.027 -647.930    ;28.4234   ;101.76      ;3.85     
893 ;* 9 Aur A                  ;* 9 Aur                            ;076.6692941803700 +51.5977219440900;-28.557 -171.822    ;37.0551   ;-0.90       ;     ~   
894 ;* pi. Lup B                ;* pi. Lup B                        ;226.280154450 -47.051089397        ;    -21.3 -28.6     ;      ~   ;4.5         ;4.62     
895 ;* eps Car                  ;* eps Car                          ;125.62848024 -59.50948419          ;   -25.52 22.06     ;5.39      ;11.60       ;1.86     
896 ;* eta Crv                  ;* eta Crv                          ;188.0176100077008 -16.1960051709386;-424.597 -58.241    ;54.8135   ;0.69        ;4.294    
897 ;NGC 6231                   ;NGC 6231                           ;253.53546 -41.82667                ;  -0.529 -2.177     ;0.589     ;-19.10      ;2.6      
898 ;* alf Tri                  ;* alf Tri                          ;028.2704462333 +29.5788278039      ;  10.82 -234.24     ;51.50     ;-12.6       ;3.42     
899 ;HR 500                     ;HD 10550                           ;025.6812981364800 -03.6901995393800; -9.745 -33.429     ;3.0983    ;-33.28      ;4.982    
900 ;* eta Cep                  ;* eta Cep                          ;311.3223981417 +61.8387824269      ;   86.50 818.02     ;70.10     ;-87.407     ;3.410    
901 ;* p Car                    ;* p Car                            ;158.0060956996 -61.6853323078      ;   -17.01 11.50     ;6.75      ;26.0        ;3.27     
902 ;* omi02 CMa                ;* omi02 CMa                        ;105.7561338125 -23.8332923078      ;     -2.21 3.61     ;1.18      ;48.40       ;3.02     
903 ;* del Hor                  ;* del Hor                          ;062.7107886408 -41.9935704858      ;   199.08 70.18     ;18.24     ;38.30       ;4.93     
904 ;* alf Car                  ;* alf Car                          ;095.98795783 -52.69566138          ;    19.93 23.24     ;10.55     ;20.30       ;-0.74    
905 ;HR 5371                    ;HD 125628                          ;215.654488 -58.459111              ;     -39.4 19.4     ;8.51      ;13.56       ;4.93     
906 ;NOVA Com 1877              ;V* AB Boo                          ;211.7683 +20.7458                  ;            ~ ~     ;      ~   ;~           ;     ~   
907 ;* tet Lep                  ;* tet Lep                          ;091.5388494706400 -14.9352553871600; -17.005 13.152     ;19.4991   ;32.00       ;4.663    
908 ;* alf Dra                  ;* alf Dra                          ;211.0972914721 +64.3758505267      ;   -56.34 17.21     ;10.76     ;-13.0       ;3.680    
909 ;* 11 Ori                   ;* 11 Ori                           ;076.1422881796 +15.4041047425      ;   17.80 -31.15     ;8.93      ;16.8        ;4.661    
910 ;* zet Aur                  ;* zet Aur                          ;075.6195307833 +41.0758388847      ;    9.45 -20.71     ;4.15      ;11.32       ;3.75     
911 ;GES J12382281-6042360      ;Cl* Trumpler 20 PMF 1690           ;189.5950474201100 -60.7099858747000;  -5.770 -1.002     ;0.4746    ;-3.29       ;     ~   
912 ;V* HY Vel                  ;V* HY Vel                          ;130.6057761379 -53.1139841919      ;   -24.83 23.21     ;6.73      ;15.60       ;4.815    
913 ;* 24 Cap                   ;* 24 Cap                           ;316.7819471954 -25.0058552892      ;  -28.09 -44.14     ;7.15      ;32.10       ;4.50     
914 ;* bet Mus                  ;* bet Mus                          ;191.57001709 -68.10811567          ;   -41.97 -8.89     ;9.55      ;42.00       ;     ~   
915 ;* tet Cap                  ;* tet Cap                          ;316.4867826304 -17.2328616903      ;   79.33 -62.01     ;20.11     ;-10.9       ;4.07     
916 ;UCAC3 147-122477           ;* mu. Hya                          ;156.52260958 -16.83628968          ; -129.17 -79.76     ;13.93     ;40.81       ;3.81     
917 ;* 33 Cyg                   ;* 33 Cyg                           ;303.3494442246 +56.5677222014      ;    61.82 82.18     ;20.48     ;-18.00      ;4.271    
918 ;* del Sco                  ;* del Sco                          ;240.08335535 -22.62170643          ;  -10.21 -35.41     ;6.64      ;-6.00       ;2.32     
919 ;* bet02 Tuc                ;* bet02 Tuc                        ;007.8892596025662 -62.9655927541372;105.607 -48.057     ;19.5923   ;9.8         ;4.514    
920 ;* bet Ari                  ;* bet Ari                          ;028.66004579 +20.80803147          ;  98.74 -110.41     ;55.60     ;-3.10       ;2.65     
921 ;* bet Sct                  ;* bet Sct                          ;281.7936425653500 -04.7478730445800; -7.972 -16.398     ;4.8549    ;-21.30      ;4.22     
922 ;* eps Crt                  ;* eps Crt                          ;171.1524633838100 -10.8593265288200; -25.154 24.689     ;8.178     ;2.00        ;4.802    
923 ;* gam Ret                  ;* gam Ret                          ;060.2242024954 -62.1592847261      ;     3.03 34.67     ;6.95      ;-7.0        ;4.50     
924 ;* nu. Cyg                  ;* nu. Cyg                          ;314.2934127850 +41.1671386414      ;    9.64 -22.75     ;8.71      ;-27.60      ;3.94     
925 ;* ome Lup                  ;* ome Lup                          ;234.5133488188 -42.5673456586      ;  -149.80 57.37     ;14.92     ;-6.8        ;4.33     
926 ;* rho Cen                  ;* rho Cen                          ;182.9129989498800 -52.3684401167400;-38.874 -13.280     ;12.4692   ;15.00       ;3.96     
927 ;* 9 Lac                    ;* 9 Lac                            ;339.3434052733 +51.5451217614      ; -51.83 -103.80     ;19.00     ;10.10       ;4.63     
928 ;* 39 Eri                   ;* 39 Eri                           ;063.5986995752300 -10.2562834617100;-8.047 -162.274     ;14.1704   ;5.85        ;4.90     
929 ;* ome For                  ;* ome For                          ;038.4612562412000 -28.2323376583600; -13.843 -3.790     ;6.7146    ;9.7         ;4.96     
930 ;* psi01 Aqr                ;* psi01 Aqr                        ;348.9728918732375 -09.0877347122369;369.477 -16.981     ;22.0924   ;-26.008     ;4.25     
931 ;HD 85859                   ;HD 85859                           ;148.5513200420300 -25.9323300434200;-179.867 54.676     ;13.9225   ;50.5        ;4.88     
932 ;* mu. Nor                  ;* mu. Nor                          ;248.5209178396 -44.0453133767      ;     0.02 -1.98     ;0.78      ;4.10        ;4.94     
933 ;* 23 Vul                   ;* 23 Vul                           ;303.9422633180000 +27.8141988933600; -39.938 12.121     ;9.9642    ;-2.18       ;4.52     
934 ;* 8 Cyg                    ;* 8 Cyg                            ;292.9430076608 +34.4529687342      ;     1.16 -3.47     ;3.79      ;-21.20      ;4.72     
935 ;GES J12382220-6039565      ;Cl* Trumpler 20 PMF 2758           ;189.5925308558800 -60.6657062415400;   -7.122 0.161     ;0.2609    ;-40.38      ;     ~   
936 ;HR 2874                    ;HD 59612                           ;112.4642179095500 -23.0242902059700;   -2.831 4.172     ;0.7535    ;35.00       ;4.86     
937 ;* 12 Vul                   ;* 12 Vul                           ;297.7671179523400 +22.6100480549900; 23.404 -15.797     ;5.171     ;-24.90      ;4.96     
938 ;* del01 Vel                ;* del01 Vel                        ;131.175943262 -54.708821019        ;    28.8 -104.1     ;      ~   ;~           ;     ~   
939 ;Cl Collinder 69            ;Cl Collinder 69                    ;083.7920 +09.8130                  ;   1.194 -2.118     ;2.462     ;27.45       ;2.8      
940 ;* tau Cyg                  ;* tau Cyg                          ;318.69788551 +38.04531782          ;  196.99 410.28     ;49.16     ;-20.90      ;3.730    
941 ;* alf02 Cap                ;* alf02 Cap                        ;304.5135664488 -12.5448523200      ;     62.63 2.66     ;30.82     ;0.70        ;3.58     
942 ;* tau Sco                  ;* tau Sco                          ;248.9706368875 -28.2160170875      ;   -9.89 -22.83     ;6.88      ;2.0         ;2.81     
943 ;* 26 UMa                   ;* 26 UMa                           ;143.7059691292 +52.0514768028      ;  -65.74 -37.32     ;12.44     ;22.20       ;4.463    
944 ;* kap Cas                  ;* kap Cas                          ;008.2499633179 +62.9317826039      ;     3.65 -2.07     ;0.73      ;0.30        ;4.16     
945 ;* 1 Aur                    ;* 1 Aur                            ;072.4776644021 +37.4882759922      ;   -36.89 38.85     ;6.48      ;-24.65      ;4.867    
946 ;* 22 Cyg                   ;* 22 Cyg                           ;298.9656704715900 +38.4867191233900;   3.676 -2.695     ;2.5612    ;-30.1       ;4.946    
947 ;* 15 Eri                   ;* 15 Eri                           ;049.5921043346 -22.5111164083      ;    13.08 13.33     ;12.77     ;16.80       ;4.875    
948 ;* ksi Leo                  ;* ksi Leo                          ;142.9864207233500 +11.2998217991600;-101.446 -82.543    ;14.2602   ;35.83       ;4.963    
949 ;* kap Aql                  ;* kap Aql                          ;294.2227063175 -07.0274771008      ;     1.63 -2.65     ;1.94      ;-19.40      ;4.960    
950 ;HD 40409                   ;* 36 Dor                           ;088.5252274382408 -63.0897802873511;148.129 550.143     ;36.5981   ;26.33       ;4.66     
951 ;* tet02 Eri                ;* tet02 Eri                        ;044.5683488308800 -40.3046961962500; -50.502 16.613     ;19.527    ;18.8        ;4.11     
952 ;* psi And                  ;* psi And                          ;356.5085293096100 +46.4202740163600;   8.446 -7.143     ;1.6352    ;-23.163     ;4.966    
953 ;* ome01 Cyg                ;* ome01 Cyg                        ;307.5147539413700 +48.9515668247800;   10.058 6.873     ;2.5459    ;-21.90      ;4.936    
954 ;* 32 Eri                   ;* 32 Eri                           ;058.57292417 -02.95473430          ;    26.00 -0.23     ;10.42     ;27.10       ;4.45     
955 ;* 17 Crt                   ;* 17 Crt                           ;173.06835030 -29.26102134          ;  -19.56 144.79     ;38.03     ;5.80        ;     ~   
956 ;* gam02 Ari                ;* gam02 Ari                        ;028.3825538685100 +19.2938555497700; 77.138 -97.321     ;19.6268   ;-0.6        ;4.52     
957 ;* 12 Lyn                   ;* 12 Lyn                           ;101.55887578 +59.44167297          ;   -19.63 -7.23     ;15.19     ;-3.00       ;     ~   
958 ;HR 2881                    ;HD 59890                           ;112.6775082330000 -30.9622805355600;  -11.969 1.055     ;2.3999    ;15.87       ;4.65     
959 ;* 16 Per                   ;* 16 Per                           ;042.6460824479 +38.3186411175      ; 195.77 -109.98     ;27.01     ;14.0        ;     ~   
960 ;* 39 Cyg                   ;* 39 Cyg                           ;305.9650862454 +32.1901719714      ;    35.84 -5.83     ;13.05     ;-17.18      ;4.44     
961 ;* G Car                    ;* G Car                            ;136.2867212204 -72.6027065717      ;    -8.81 -5.26     ;8.14      ;22.50       ;4.467    
962 ;* del02 Cha                ;* del02 Cha                        ;161.4458536404 -80.5401884717      ;    -36.86 5.90     ;9.30      ;22.6        ;4.433    
963 ;* del CrA                  ;* del CrA                          ;287.0873737151800 -40.4966979801300; 47.391 -27.246     ;17.6582   ;21.24       ;4.571    
964 ;GES J12381718-6045311      ;Cl* Trumpler 20 PMF 690            ;189.5716348005400 -60.7586450815300;  -12.551 1.017     ;0.3726    ;7.83        ;     ~   
965 ;* B Cen                    ;* B Cen                            ;177.7862133364200 -45.1734699165900; -72.928 -7.964     ;7.9199    ;2.2         ;4.46     
966 ;* n Tau                    ;* n Tau                            ;079.8191924038500 +22.0965059495500; 11.173 -75.077     ;14.0108   ;17.97       ;4.948    
967 ;* del Psc                  ;* del Psc                          ;012.17060139 +07.58508127          ;   83.10 -49.58     ;10.48     ;32.45       ;4.44     
968 ;* gam Del                  ;* gam Del                          ;311.66412700 +16.12434600          ;            ~ ~     ;      ~   ;~           ;     ~   
969 ;* lam And                  ;* lam And                          ;354.3910115836791 +46.4581513114192;159.606 -421.822    ;38.5736   ;6.84        ;3.82     
970 ;* lam Ori                  ;* lam Ori                          ;083.78449002 +09.93415587          ;    -0.34 -2.94     ;2.97      ;30.10       ;3.66     
971 ;* gam Pyx                  ;* gam Pyx                          ;132.6330117588 -27.7098450300      ;  -134.31 87.89     ;15.73     ;24.50       ;4.01     
972 ;HR 4196                    ;HD 92938                           ;160.5588303015621 -64.4664261104211; -17.821 11.580     ;6.7516    ;24.2        ;4.82     
973 ;* iot Oph                  ;* iot Oph                          ;253.5019646342 +10.1653606264      ;  -53.80 -34.04     ;13.30     ;-19.00      ;4.38     
974 ;* del03 Tau                ;* del03 Tau                        ;066.3724363277679 +17.9279065118844;107.316 -31.000     ;21.0865   ;39.418      ;4.298    
975 ;* iot Ori                  ;* iot Ori                          ;083.8582579471 -05.9099009825      ;     1.42 -0.46     ;1.40      ;27.60       ;2.77     
976 ;* v Cen                    ;* v Cen                            ;215.0814275875 -56.3864972089      ;    -9.64 -7.46     ;2.66      ;4.2         ;4.35     
977 ;* 21 Sgr                   ;* 21 Sgr                           ;276.3376642925600 -20.5416728352600;  6.108 -26.699     ;6.7833    ;-10.75      ;4.86     
978 ;* omi Boo                  ;* omi Boo                          ;221.3102511012 +16.9642799458      ;  -60.69 -50.56     ;13.42     ;-9.18       ;4.60     
979 ;* nu.02 CMa                ;* nu.02 CMa                        ;099.1709898983 -19.2558794181      ;   62.57 -69.97     ;50.63     ;2.57        ;3.91     
980 ;* bet Ori                  ;* bet Ori                          ;078.63446707 -08.20163836          ;      1.31 0.50     ;3.78      ;17.80       ;0.13     
981 ;* 2 Sco                    ;* 2 Sco                            ;238.40299500 -25.32714131          ;  -15.12 -25.18     ;6.49      ;-9.30       ;4.59     
982 ;GES J12382369-6041067      ;Cl* Trumpler 20 PMF 2277           ;189.5987586635212 -60.6851828509667;   -7.095 0.435     ;0.1724    ;-34.34      ;     ~   
983 ;* sig Leo                  ;* sig Leo                          ;170.2841395550 +06.0293252625      ;  -92.97 -11.48     ;14.82     ;-5.3        ;4.040    
984 ;* del01 Tel                ;* del01 Tel                        ;277.9393036763 -45.9148101767      ;   -3.75 -27.43     ;4.61      ;7           ;4.920    
985 ;* ups And                  ;* ups And                          ;024.1993397682946 +41.4054587133414;-171.892 -381.815   ;74.1940   ;-28.662     ;4.10     
986 ;* zet01 Lyr                ;* zet01 Lyr                        ;281.1931556396 +37.6051158481      ;    29.04 27.03     ;20.89     ;-24.90      ;4.36     
987 ;HR 4997                    ;HD 115004                          ;198.4289237237599 +40.1528850294900; -51.498 15.109     ;6.8982    ;-21.90      ;4.94     
988 ;* 37 LMi                   ;* 37 LMi                           ;159.6800528733 +31.9762390747      ;      0.07 7.79     ;5.64      ;-7.71       ;4.677    
989 ;* ksi Boo A                ;* ksi Boo A                        ;222.8474519414600 +19.1004499448400;127.468 -40.569     ;148.0695  ;1.49        ;4.675    
990 ;* bet Gem                  ;* bet Gem                          ;116.32895777 +28.02619889          ; -626.55 -45.80     ;96.54     ;3.391       ;1.14     
991 ;* ups Per                  ;* ups Per                          ;024.4981541358 +48.6282137592      ;  61.95 -112.15     ;18.41     ;16.264      ;3.57     
992 ;* 111 Tau                  ;* 111 Tau                          ;081.1060969591200 +17.3835351155400; 250.483 -7.156     ;68.5908   ;37.70       ;     ~   
993 ;* lam Dra                  ;* lam Dra                          ;172.8509198017 +69.3310748933      ;  -40.97 -19.19     ;9.79      ;6.60        ;3.85     
994 ;* b And                    ;* b And                            ;033.3055091634783 +44.2316466494814;  -20.90 -14.46     ;5.2634    ;-48.00      ;4.826    
995 ;V* R Hya                   ;V* R Hya                           ;202.4282577808 -23.2813262997      ;   -57.68 12.86     ;8.05      ;-10.00      ;4.97     
996 ;* d Boo                    ;* d Boo                            ;212.5997228886100 +25.0916769502700;-23.157 -59.831     ;27.484    ;9.58        ;4.83     
997 ;* ksi Aqr                  ;* ksi Aqr                          ;324.4379554463 -07.8542027553      ;  114.20 -25.03     ;18.26     ;-18.0       ;4.69     
998 ;* del Oph                  ;* del Oph                          ;243.58641053 -03.69432256          ; -47.54 -142.73     ;19.06     ;-19.27      ;2.75     
999 ;HR 1427                    ;HD 28527                           ;067.6401358913300 +16.1940138045600;104.889 -25.446     ;22.1875   ;38.10       ;4.764    
1000;* bet Mon                  ;* bet Mon                          ;097.20445711 -07.03305837          ;    -6.86 -2.76     ;4.82      ;17.20       ;3.74     
1001;* alf Com                  ;* alf Com                          ;197.49702169 +17.52945526          ; -433.13 141.24     ;56.10     ;-18.826     ;4.32     
1002;* alf PsA                  ;* alf PsA                          ;344.41269272 -29.62223703          ; 328.95 -164.67     ;129.81    ;6.50        ;1.16     
1003;* bet Phe B                ;* bet Phe B                        ;016.521032121 -46.718404003        ;      -26.9 6.1     ;      ~   ;~           ;4.09     
1004;* gam Sct                  ;* gam Sct                          ;277.2993911779 -14.5658144069      ;     3.22 -4.02     ;10.21     ;-41.00      ;4.675    
1005;* eps Tau                  ;* eps Tau                          ;067.1541677296646 +19.1804342058139;107.526 -36.200     ;22.3654   ;38.420      ;3.53     
1006;* eps Ind                  ;* eps Ind                          ;330.8402234423433 -56.7859785543650;3966.661 -2536.192  ;274.8431  ;-40.035     ;4.69     
1007;* 30 Gem                   ;* 30 Gem                           ;100.9970297819400 +13.2279999015900; -0.452 -52.279     ;10.3816   ;12.61       ;4.49     
1008;* 10 Lac                   ;* 10 Lac                           ;339.8153276550 +39.0502697644      ;    -0.32 -5.46     ;1.89      ;-10.10      ;4.880    
1009;* mu. Cen                  ;* mu. Cen                          ;207.4041192892 -42.4737304428      ;  -24.25 -18.64     ;6.45      ;9.20        ;3.43     
1010;* bet01 Tuc                ;* bet01 Tuc                        ;007.8861169750 -62.9582187464      ;   83.64 -54.82     ;24.15     ;14          ;4.289    
1011;HR 6196                    ;* 24 Sco                           ;250.3932646227900 -17.7421665506100; -21.145 -1.572     ;8.4818    ;-25.2       ;4.923    
1012;* 20 Tau                   ;* 20 Tau                           ;056.4566940083 +24.3677462111      ;   20.95 -45.98     ;8.51      ;7.40        ;3.87     
1013;[SC96] Mis 162             ;[SC96] Mis 162                     ;253.0000 -38.0333                  ;            ~ ~     ;      ~   ;~           ;2.51     
1014;* alf Lep                  ;* alf Lep                          ;083.1825671617 -17.8222892722      ;      3.56 1.18     ;1.47      ;25.10       ;2.57     
1015;* zet Pyx                  ;* zet Pyx                          ;129.9269751436600 -29.5610845940200;-24.751 -91.427     ;13.863    ;-29.39      ;4.872    
1016;* phi01 Pav                ;* phi01 Pav                        ;308.8952086153799 -60.5817491231900;69.912 -185.861     ;35.6214   ;-20.00      ;4.745    
1017;* 12 Com                   ;* 12 Com                           ;185.6262974615900 +25.8461576834300; -11.426 -8.112     ;11.4903   ;0.5         ;4.81     
1018;* alf CMa                  ;* alf CMa                          ;101.28715533 -16.71611586          ;-546.01 -1223.07    ;379.21    ;-5.50       ;-1.46    
1019;* eta Aur                  ;* eta Aur                          ;076.6287223892 +41.2344757558      ;   31.45 -67.87     ;13.40     ;7.30        ;3.18     
1020;BD+46 2169A                ;* tau Her                          ;244.93515275 +46.31336453          ;   -13.33 38.48     ;10.61     ;-15.50      ;3.87     
1021;* omi Per A                ;* omi Per A                        ;056.0797240366600 +32.2882464911000;   6.091 -9.732     ;3.0224    ;~           ;3.91     
1022;* zet Aqr B                ;* zet01 Aqr                        ;337.2078600866832 -00.0205449723228; 224.295 25.396     ;34.4525   ;28.9        ;4.49     
1023;* ksi02 Cet                ;* ksi02 Cet                        ;037.0398210789746 +08.4600602248073;  23.707 -4.787     ;16.5681   ;11.90       ;4.30     
1024;V* ET UMa                  ;V* ET UMa                          ;156.0326953299000 +65.5664226036500; -8.965 -21.009     ;9.6318    ;-0.1        ;4.930    
1025;* del02 Tau                ;* del02 Tau                        ;066.0240060548400 +17.4441309172100;110.580 -32.809     ;21.6192   ;38.80       ;4.80     
1026;* lam Sco                  ;* lam Sco                          ;263.40216718 -37.10382355          ;   -8.53 -30.80     ;5.71      ;-3.00       ;1.62     
1027;* kap Sco                  ;* kap Sco                          ;265.62198000 -39.02998308          ;   -6.05 -25.54     ;6.75      ;-14.00      ;2.386    
1028;* bet Tau                  ;* bet Tau                          ;081.57297133 +28.60745172          ;  22.76 -173.58     ;24.36     ;9.2         ;1.65     
1029;* tau Aur                  ;* tau Aur                          ;087.2934927325 +39.1810729731      ;  -28.30 -24.97     ;15.77     ;-19.39      ;4.500    
1030;* omi02 Eri                ;* omi02 Eri                        ;063.8179984124771 -07.6528696608383;-2240.085 -3421.809 ;199.6080  ;-42.269     ;4.43     
1031;* N Car                    ;* N Car                            ;098.7440830375 -52.9756088556      ;    -7.65 10.54     ;2.39      ;22.50       ;4.40     
1032;* 2 Peg                    ;* 2 Peg                            ;322.4870643804 +23.6388380656      ;     24.74 3.63     ;8.28      ;-18.92      ;4.509    
1033;* omi Sgr                  ;* omi Sgr                          ;286.1707585001183 -21.7414959586756; 77.445 -58.460     ;23.8121   ;26.10       ;3.77     
1034;* nu. Phe                  ;* nu. Phe                          ;018.7963392843242 -45.5316646057442;665.086 178.070     ;65.5270   ;11.845      ;4.96     
1035;* 14 Com                   ;* 14 Com                           ;186.6002684278900 +27.2682388351800;-15.874 -11.784     ;11.2826   ;-2.20       ;4.95     
1036;* n Cen                    ;* n Cen                            ;193.3591667112 -40.1788733483      ;   70.84 -22.54     ;21.95     ;-2.5        ;4.27     
1037;* alf Dor                  ;* alf Dor                          ;068.49907161 -55.04497896          ;    57.75 10.93     ;19.34     ;25.60       ;3.28     
1038;* chi Aur                  ;* chi Aur                          ;083.1819713242 +32.1920209194      ;    -1.52 -4.33     ;0.01      ;-0.2        ;4.79     
1039;* kap Pyx                  ;* kap Pyx                          ;137.0119994267500 -25.8585378806300;   34.972 0.197     ;6.239     ;-44.7       ;4.56     
1040;* omi Vel                  ;* omi Vel                          ;130.0732730500 -52.9218889536      ;   -24.42 34.44     ;6.61      ;17.30       ;3.63     
1041;HD 108250                  ;* 256 Cru                          ;186.6286788283600 -63.1222353188700;-39.548 -13.760     ;9.3964    ;27.0        ;4.822    
1042;* gam Mus                  ;* gam Mus                          ;188.1167226400 -72.1329888058      ;   -51.34 -5.40     ;10.04     ;2.50        ;3.88     
1043;* g Vel                    ;* g Vel                            ;132.4484928249000 -45.3078739487900; -12.052 14.247     ;2.5925    ;5.00        ;4.935    
1044;* del Vir                  ;* del Vir                          ;193.9008691908 +03.3974703403      ; -469.99 -52.83     ;16.44     ;-18.87      ;3.38     
1045;* tau Sgr                  ;* tau Sgr                          ;286.7350129713200 -27.6704156372200;-53.001 -253.304    ;28.3195   ;40.59       ;3.31     
1046;* mu. Aql                  ;* mu. Aql                          ;293.5223041337724 +07.3789400915350;213.280 -156.953    ;29.4091   ;-24.472     ;4.45     
1047;* 19 Mon                   ;* 19 Mon                           ;105.7282361350 -04.2392326886      ;     -5.05 2.24     ;2.68      ;24.8        ;5.00     
1048;* zet Tau                  ;* zet Tau                          ;084.4111892629 +21.1425441122      ;    1.78 -20.07     ;7.33      ;20.00       ;3.03     
1049;Cl Collinder 228           ;Cl Collinder 228                   ;161.0000 -60.0867                  ;     -6.66 2.45     ;      ~   ;-13.5       ;4.4      
1050;* gam01 Ari                ;* gam01 Ari                        ;028.3825800137264 +19.2959529982388;77.845 -106.965     ;18.8809   ;3.7         ;4.589    
1051;V* V368 Aql                ;V* V368 Aql                        ;291.6435838760200 +07.6038370090700;  -1.668 -0.730     ;0.393     ;~           ;     ~   
1052;* bet Col                  ;* bet Col                          ;087.7399674962 -35.7683097808      ;   54.77 404.20     ;37.41     ;89.40       ;3.12     
1053;* alf CrB                  ;* alf CrB                          ;233.67195002 +26.71469278          ;  120.27 -89.58     ;43.46     ;1.7         ;2.24     
1054;* 42 Her                   ;* 42 Her                           ;249.6868542052700 +48.9283423250600; -48.049 26.315     ;7.7288    ;-55.567     ;4.90     
1055;* chi Cyg                  ;* chi Cyg                          ;297.6413516267 +32.9140582453      ;  -20.16 -38.34     ;5.53      ;1.60        ;4.24     
1056;* eps PsA                  ;* eps PsA                          ;340.1639510683900 -27.0436152921400;  21.839 -1.588     ;5.9219    ;1.10        ;4.177    
1057;* 24 Per                   ;* 24 Per                           ;044.7653201772600 +35.1831308980900;  -46.308 6.614     ;9.0501    ;-36.97      ;4.930    
1058;* tau Leo                  ;* tau Leo                          ;171.9843313462600 +02.8562650302500; 16.851 -10.756     ;6.1072    ;-8.82       ;4.943    
1059;* 37 Tau                   ;* 37 Tau                           ;061.1738118396 +22.0819234117      ;   90.53 -59.47     ;17.43     ;9.52        ;4.37     
1060;* gam Lep                  ;* gam Lep                          ;086.1157942373250 -22.4483854878483;-291.757 -368.521   ;112.2960  ;-9.199      ;3.60     
1061;* eps CMi                  ;* eps CMi                          ;111.4120820166000 +09.2760904223900;  -4.583 -8.414     ;3.9908    ;-6.90       ;4.986    
