C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
752 ;* 38 Aur                           ;PM*;090.8248038436300 +42.9114976307200;117.154 -134.625    ;15.2477   ;34.06      ;     ~   ;     ~   ;5.5      
753 ;* 39 Aur                           ;PM*;091.2641029069600 +42.9816357153200;-44.854 -146.396    ;20.0918   ;34.1       ;     ~   ;     ~   ;5.7      
754 ;* 40 Aur                           ;SB*;091.6462396752700 +38.4826467923700;  9.452 -54.087     ;9.1085    ;16.90      ;5.587    ;5.345    ;     ~   
755 ;* 3 Gem                            ;s*b;092.4332720622600 +23.1134645056800;  -0.064 -2.685     ;0.3878    ;16.00      ;5.96     ;5.75     ;     ~   
756 ;* 1 Gem                            ;SB*;091.03006433 +23.26334447          ;  -1.61 -118.33     ;21.03     ;22.39      ;5.02     ;4.15     ;3.47     
757 ;* 64 Ori                           ;SB*;090.8640164246600 +19.6905628225500;  8.132 -19.675     ;3.8145    ;12.61      ;5.021    ;5.130    ;     ~   
758 ;* chi02 Ori                        ;s*b;090.9799348776800 +20.1384522614900;   0.962 -2.500     ;0.7636    ;16.8       ;4.91     ;4.63     ;4.32     
759 ;* nu. Ori                          ;SB*;091.8930244829 +14.7684739156      ;    6.78 -20.23     ;6.32      ;24.1       ;4.240    ;4.397    ;     ~   
760 ;* 63 Ori                           ;*  ;091.2424288330600 +05.4199669627300;  -8.243 -0.655     ;3.6471    ;24.92      ;6.700    ;5.658    ;     ~   
761 ;* 66 Ori                           ;SB*;091.2431621357800 +04.1586624615400;   1.690 -3.003     ;2.134     ;25.02      ;6.649    ;5.621    ;     ~   
762 ;* 3 Mon                            ;*  ;090.4600913435200 -10.5979308673600;   -6.278 4.016     ;3.4868    ;39.00      ;4.88     ;5.01     ;     ~   
763 ;* tet Lep                          ;*  ;091.5388494706400 -14.9352553871600; -17.005 13.152     ;19.4991   ;32.00      ;4.707    ;4.663    ;     ~   
764 ;* 17 Lep                           ;Sy*;091.2463727172200 -16.4844358996200;  -5.955 -3.680     ;3.5742    ;15.10      ;5.17     ;4.93     ;     ~   
765 ;* 19 Lep                           ;PM*;091.9234922694200 -19.1658665529700;  12.492 56.996     ;4.5821    ;29.4       ;6.910    ;5.279    ;     ~   
766 ;* 72 Col                           ;** ;091.0844385836400 -32.1724291454400;-16.439 121.584     ;3.4702    ;93.00      ;5.451    ;5.631    ;     ~   
767 ;NAME Elkurud                       ;*  ;091.8818034342700 -37.2529192305000;    0.391 0.121     ;4.1731    ;45.30      ;4.888    ;4.994    ;     ~   
768 ;* pi.02 Col                        ;** ;091.9702480064100 -42.1540411907800;-10.221 -16.956     ;12.7569   ;31.00      ;5.490    ;5.492    ;     ~   
769 ;* kap Aur                          ;PM*;093.8445377567 +29.4980766786      ; -70.88 -261.42     ;18.43     ;21.09      ;5.36     ;4.35     ;3.55     
770 ;* 5 Gem                            ;PM*;092.8846063147800 +24.4202530867900;  0.373 -51.616     ;6.1988    ;11.93      ;6.946    ;5.825    ;     ~   
771 ;* 6 Gem                            ;s*r;093.0795784815900 +22.9085147519900;   0.144 -2.085     ;0.5642    ;27.16      ;8.63     ;6.39     ;4.55     
772 ;* 9 Gem                            ;s*b;094.2446077632000 +23.7409122417600;   0.604 -1.360     ;0.5467    ;13.2       ;6.70     ;6.25     ;5.78     
773 ;NAME Propus                        ;RG*;093.7193553605537 +22.5067873271708; -59.530 -7.766     ;4.7312    ;22.39      ;4.89     ;3.28     ;1.79     
774 ;* 68 Ori                           ;** ;093.0055891510400 +19.7905415313400;  1.583 -11.582     ;3.0859    ;30.9       ;5.689    ;5.749    ;     ~   
775 ;* 71 Ori                           ;PM*;093.7119847689300 +19.1564478969300;-97.608 -182.448    ;45.9214   ;34.375     ;5.64     ;     ~   ;4.9      
776 ;* f01 Ori                          ;Be*;093.0136647904 +16.1304059564      ;    5.49 -16.80     ;6.17      ;22.0       ;4.80     ;4.92     ;4.94     
777 ;* ksi Ori                          ;SB*;092.9849872129 +14.2087654294      ;    0.29 -20.12     ;5.37      ;19.30      ;4.31     ;4.48     ;4.53     
778 ;* f02 Ori                          ;*  ;093.8547015066600 +16.1431652841800;  -0.886 -9.240     ;7.758     ;23.80      ;5.211    ;5.327    ;     ~   
779 ;* 73 Ori                           ;*  ;093.9373521144600 +12.5510702737400;  -1.512 -1.430     ;2.343     ;12.90      ;5.464    ;5.467    ;     ~   
780 ;* k Ori                            ;PM*;094.1109129448800 +12.2721632332200; 82.775 186.480     ;51.0518   ;8.943      ;5.46     ;     ~   ;4.8      
781 ;* l Ori                            ;** ;094.2775828336300 +09.9423930525800;  7.773 -60.906     ;12.1166   ;14.50      ;5.482    ;5.386    ;     ~   
782 ;* gam Mon                          ;*  ;093.7138902688 -06.2747744475      ;   -4.69 -19.30     ;6.55      ;-4.80      ;5.27     ;3.96     ;2.99     
783 ;* 7 Mon                            ;SB*;094.9283334911900 -07.8229059182200;  -5.405 -1.416     ;2.6645    ;29.00      ;5.069    ;5.252    ;     ~   
784 ;NAME Furud                         ;Ce*;095.0783001658 -30.0633667339      ;      7.32 4.03     ;9.00      ;32.2       ;2.83     ;3.00     ;     ~   
785 ;* del Col                          ;SB*;095.5284372868000 -33.4363989475600;-22.946 -52.045     ;15.049    ;-2.6       ;4.73     ;3.85     ;3.18     
786 ;* kap Col                          ;PM*;094.1380629987 -35.1405175028      ;    -0.28 87.94     ;17.87     ;23.70      ;5.37     ;4.37     ;3.64     
787 ;NAME Tejat                         ;LP*;095.74011193 +22.51358275          ;  56.39 -110.03     ;14.08     ;54.38      ;4.51     ;2.87     ;1.30     
788 ;* nu. Gem                          ;Be*;097.2407755592 +20.2121348956      ;   -6.82 -13.10     ;5.99      ;39.40      ;4.00     ;4.14     ;4.17     
789 ;* 13 Mon                           ;*  ;098.2259495923200 +07.3329696976200;  -1.698 -4.845     ;1.2159    ;11.80      ;4.50     ;4.50     ;4.40     
790 ;* eps Mon A                        ;*  ;095.9420225716300 +04.5928823613700;  -15.127 7.701     ;24.0777   ;13.10      ;4.583    ;4.398    ;     ~   
791 ;* 12 Mon                           ;V* ;098.0800162285700 +04.8559982737800;  -37.686 1.336     ;7.0553    ;19.91      ;6.820    ;5.830    ;     ~   
792 ;* 77 Ori                           ;*  ;096.8073378184900 +00.2992441992800;   2.306 -8.969     ;3.8856    ;32.05      ;6.368    ;5.186    ;     ~   
793 ;* 78 Ori                           ;*  ;096.8149635014200 -00.2760014224700;   1.625 -5.216     ;5.0387    ;38.8       ;6.919    ;5.538    ;     ~   
794 ;* 10 Mon                           ;bC*;096.9898693796 -04.7621535781      ;    -5.78 -2.86     ;3.00      ;25.30      ;4.861    ;5.041    ;     ~   
795 ;* bet Mon                          ;** ;097.20445711 -07.03305837          ;    -6.86 -2.76     ;4.82      ;17.20      ;3.59     ;3.74     ;3.75     
796 ;* bet Mon C                        ;Em*;097.2067206980900 -07.0346533471300;  -7.042 -3.342     ;4.7504    ;23.0       ;5.21     ;5.32     ;     ~   
797 ;* bet Mon B                        ;*  ;097.2059275162871 -07.0344002237272;  -7.761 -2.267     ;4.8943    ;18.0       ;4.81     ;5.00     ;     ~   
798 ;NAME Mirzam                        ;bC*;095.6749389696 -17.9559187089      ;    -3.23 -0.78     ;6.62      ;33.70      ;1.73     ;1.97     ;2.11     
799 ;* ksi01 CMa                        ;bC*;097.9640264908 -23.4184216917      ;     -2.91 6.22     ;2.36      ;26.90      ;4.09     ;4.33     ;4.45     
800 ;* lam CMa                          ;*  ;097.0425311337 -32.5800681911      ;   -14.41 25.21     ;7.70      ;41.00      ;4.31     ;4.48     ;4.54     
801 ;* psi02 Aur                        ;PM*;099.8326134822500 +42.4888765763000; -0.576 -55.657     ;8.0927    ;16.29      ;6.05     ;4.82     ;3.92     
802 ;* psi03 Aur                        ;*  ;099.7049183307700 +39.9025595276900; -7.718 -11.191     ;3.6617    ;9.00       ;5.254    ;5.331    ;     ~   
803 ;* 51 Aur                           ;PM*;099.6647366193000 +39.3908511211700;-22.853 -108.763    ;6.9702    ;31.98      ;7.04     ;5.69     ;     ~   
804 ;* 49 Aur                           ;*  ;098.8002590172700 +28.0223108039300;  0.292 -13.521     ;7.4302    ;17.0       ;5.248    ;5.260    ;     ~   
805 ;* 53 Aur                           ;** ;099.5958772159500 +28.9843375377400;-16.783 -13.864     ;8.2744    ;18         ;5.761    ;5.744    ;     ~   
806 ;* 28 Gem                           ;V* ;101.1894157911100 +28.9709389815200; -8.358 -27.667     ;5.5428    ;14.87      ;6.89     ;5.44     ;     ~   
807 ;NAME Mebsuta                       ;V* ;100.9830260792 +25.1311254122      ;   -5.57 -12.36     ;3.86      ;7.77       ;4.39     ;2.98     ;2.01     
808 ;* 26 Gem                           ;PM*;100.6013634121 +17.6453088431      ;    7.87 -84.32     ;22.92     ;15.00      ;5.27     ;5.21     ;     ~   
809 ;NAME Alhena                        ;SB*;099.42796043 +16.39928043          ;   13.81 -54.96     ;29.84     ;-12.63     ;1.92     ;1.92     ;1.86     
810 ;* 30 Gem                           ;PM*;100.9970297819400 +13.2279999015900; -0.452 -52.279     ;10.3816   ;12.61      ;5.65     ;4.49     ;3.63     
811 ;* 15 Mon                           ;Be*;100.24441512 +09.89575637          ;    -2.61 -1.61     ;3.55      ;22.00      ;4.400    ;4.640    ;     ~   
812 ;* nu.01 CMa                        ;*  ;099.0952176772600 -18.6599039851400; -13.463 18.621     ;11.5857   ;26.13      ;6.538    ;5.695    ;     ~   
813 ;* nu.03 CMa                        ;*  ;099.4725890920300 -18.2374806850100;  -7.166 -8.777     ;6.7876    ;-1.09      ;5.60     ;4.43     ;3.56     
814 ;* nu.02 CMa                        ;PM*;099.1709898983 -19.2558794181      ;   62.57 -69.97     ;50.63     ;2.57       ;5.011    ;3.91     ;3.13     
815 ;* ksi02 CMa                        ;*  ;098.7641148024600 -22.9647954166900;  16.316 16.885     ;8.0342    ;26.00      ;4.49     ;4.50     ;     ~   
816 ;* 10 CMa                           ;Be*;101.1186129347900 -31.0705256549500;   -3.286 4.201     ;1.6454    ;34.00      ;5.08     ;5.17     ;5.15     
817 ;* nu. Pup                          ;Ce*;099.4402973029 -43.1959333808      ;    -0.44 -3.87     ;8.78      ;30.90      ;3.06     ;3.17     ;3.17     
818 ;* psi05 Aur                        ;PM*;101.6847372291800 +43.5774245638200; -2.705 164.523     ;60.2024   ;-23.934    ;     ~   ;     ~   ;4.9      
819 ;* psi07 Aur                        ;PM*;102.6914303395700 +41.7812305477500;-25.542 -137.253    ;9.6073    ;59.50      ;6.244    ;4.975    ;     ~   
820 ;* tet Gem                          ;PM*;103.1972452958 +33.9612548506      ;   -1.66 -47.31     ;17.25     ;21.00      ;3.70     ;3.60     ;3.50     
821 ;* 37 Gem                           ;*  ;103.8277764949300 +25.3756954313900; -37.595 24.234     ;57.4559   ;-14.925    ;6.343    ;5.748    ;     ~   
822 ;* 87 Gem                           ;*  ;102.9999423846300 +23.6017219895700; -39.651 -8.859     ;7.2748    ;33.29      ;7.142    ;5.671    ;     ~   
823 ;* d Gem                            ;*  ;102.8876932620800 +21.7611452911700; -5.719 -35.781     ;7.6158    ;34.4       ;5.264    ;5.259    ;     ~   
824 ;* 33 Gem                           ;Ro*;102.4576509908600 +16.2028840855600;-15.993 -10.899     ;4.8578    ;12.40      ;5.72     ;5.87     ;     ~   
825 ;NAME Alzirr                        ;PM*;101.3223513354 +12.8955919797      ;-115.73 -190.55     ;55.56     ;27.20      ;3.79     ;3.36     ;2.97     
826 ;* 35 Gem                           ;*  ;102.6062443902500 +13.4131787178100;  -2.200 -6.421     ;2.702     ;28.91      ;7.016    ;5.672    ;     ~   
827 ;* e Gem                            ;PM*;103.6609922819879 +13.1778453179544; 68.745 -86.832     ;33.9184   ;24         ;4.997    ;4.715    ;     ~   
828 ;* 16 Mon                           ;SB*;101.6350604959800 +08.5871576072600;  -6.953 -5.179     ;3.3288    ;10.3       ;5.76     ;5.92     ;     ~   
829 ;* 17 Mon                           ;*  ;101.8326257118700 +08.0372563528400;-24.428 -11.916     ;6.3783    ;46.19      ;6.17     ;4.77     ;3.74     
830 ;* 18 Mon                           ;SB*;101.9651995234800 +02.4121763919800;-17.309 -15.921     ;8.2744    ;11.29      ;5.58     ;4.47     ;3.68     
831 ;* tet CMa                          ;PM*;103.5474952553600 -12.0386281010500;-136.654 -14.322    ;12.0676   ;96.20      ;5.51     ;4.08     ;2.95     
832 ;* 11 CMa                           ;*  ;101.7128846556200 -14.4259754830300;   -2.462 8.996     ;3.6298    ;15.00      ;5.244    ;5.272    ;     ~   
833 ;* iot CMa                          ;bC*;104.0342671942 -17.0542409633      ;     -3.56 2.42     ;1.30      ;41.20      ;4.297    ;4.385    ;6.40     
834 ;* 12 CMa                           ;a2*;101.7561813629600 -21.0154032490200;  -14.568 5.778     ;4.6155    ;30.00      ;5.89     ;6.08     ;     ~   
835 ;* pi. CMa                          ;PM*;103.9059601613300 -20.1364969045300;  51.109 39.971     ;33.5731   ;8.0        ;5.027    ;4.664    ;     ~   
836 ;* 17 CMa                           ;*  ;103.7614083512200 -20.4048771756000; -0.242 -10.241     ;5.4157    ;-12.90     ;5.833    ;5.792    ;     ~   
837 ;* 15 CMa                           ;bC*;103.3871132796 -20.2242549208      ;     -5.46 3.58     ;2.68      ;28.00      ;4.62     ;4.83     ;4.95     
838 ;* omi01 CMa                        ;s*r;103.5331344588300 -24.1842109726400;   -3.771 4.066     ;1.2869    ;36.3       ;5.60     ;3.87     ;2.70     
839 ;* kap CMa                          ;Be*;102.4602471929 -32.5084784672      ;     -8.84 3.73     ;4.95      ;14.00      ;3.68     ;3.89     ;3.91     
840 ;* x Pup                            ;*  ;101.8391636721200 -37.9296972274800;  -9.822 -9.990     ;10.1629   ;47.00      ;5.176    ;5.260    ;     ~   
841 ;* 39 Gem                           ;** ;104.6975430517800 +26.0810795202500;-162.321 94.102     ;21.9156   ;4.841      ;     ~   ;     ~   ;5.9      
842 ;* ome Gem                          ;Ce*;105.6032499688300 +24.2154462533000;  -7.054 -0.392     ;3.5179    ;-8.09      ;6.136    ;5.181    ;     ~   
843 ;* 44 Gem                           ;*  ;106.3265370713500 +22.6374582531600;  -2.605 -9.727     ;7.0322    ;-11.00     ;5.980    ;6.010    ;     ~   
844 ;NAME Mekbuda                       ;cC*;106.0272116263 +20.5702982975      ;    -7.29 -0.41     ;2.37      ;2.80       ;4.58     ;3.79     ;     ~   
845 ;* 41 Gem                           ;V* ;105.0659307184000 +16.0789958852800;  -2.203 -3.776     ;0.7209    ;20.96      ;7.32     ;5.69     ;4.44     
846 ;* 19 Mon                           ;bC*;105.7282361350 -04.2392326886      ;     -5.05 2.24     ;2.68      ;24.8       ;4.80     ;5.00     ;5.06     
847 ;NAME Muliphein                     ;*  ;105.9395543688 -15.6332861031      ;   -0.14 -11.36     ;7.38      ;32.00      ;4.00     ;4.12     ;4.13     
848 ;* omi02 CMa                        ;s*b;105.7561338125 -23.8332923078      ;     -2.21 3.61     ;1.18      ;48.40      ;2.94     ;3.02     ;3.01     
849 ;NAME Adhara                        ;*  ;104.65645315 -28.97208616          ;      3.24 1.33     ;8.05      ;27.30      ;1.29     ;1.50     ;1.59     
850 ;NAME Unurgunite                    ;LP*;105.4297824358 -27.9348304928      ;     -5.98 4.59     ;2.91      ;22.11      ;5.20     ;3.47     ;2.15     
851 ;* t Pup                            ;** ;104.6045369749200 -34.1116901177400;  -10.659 0.710     ;5.5437    ;19.20      ;4.908    ;5.068    ;     ~   
852 ;* D Pup                            ;*  ;106.7794907127300 -40.8932695092500; -10.554 11.163     ;4.5288    ;6.00       ;5.625    ;5.783    ;7.12     
853 ;* C Pup                            ;** ;106.0116419400 -42.3372795719      ;   -17.46 71.63     ;9.36      ;27.9       ;5.400    ;5.191    ;     ~   
854 ;* 64 Aur                           ;*  ;109.5092271031700 +40.8833936556500; -13.026 12.568     ;10.5189   ;-10.00     ;6.040    ;5.870    ;     ~   
855 ;* 63 Aur                           ;*  ;107.9138605249800 +39.3205503384800;   45.314 2.986     ;7.6144    ;-27.89     ;6.353    ;4.886    ;     ~   
856 ;* tau Gem                          ;PM*;107.7848763073704 +30.2451637698539;-30.725 -48.515     ;8.3261    ;21.27      ;5.68     ;4.42     ;3.45     
857 ;* 53 Gem                           ;V* ;108.9881963553000 +27.8974209771400; -12.384 -1.967     ;4.0783    ;25.11      ;7.34     ;5.71     ;     ~   
858 ;* 47 Gem                           ;*  ;107.8461138496900 +26.8565889947600;-19.210 -33.061     ;8.7883    ;38.50      ;5.860    ;5.750    ;     ~   
859 ;* 52 Gem                           ;PM*;108.6749094305500 +24.8849842946300; 52.508 -89.655     ;8.2499    ;42.14      ;7.38     ;5.82     ;     ~   
860 ;* 48 Gem                           ;*  ;108.1099009340600 +24.1285938894900;-17.952 -45.679     ;9.2055    ;13.0       ;6.21     ;5.85     ;     ~   
861 ;* lam Gem                          ;PM*;109.5232454980700 +16.5403859947900;-46.157 -36.007     ;32.6068   ;-7.40      ;3.674    ;3.559    ;     ~   
862 ;* 51 Gem                           ;LP*;108.3428159794000 +16.1589642189300; 12.727 -41.447     ;5.031     ;-9.00      ;6.66     ;5.00     ;     ~   
863 ;* 45 Gem                           ;PM*;107.0918313104400 +15.9306766175200;-4.706 -102.950     ;10.7433   ;-18.48     ;6.507    ;5.476    ;     ~   
864 ;* del Mon                          ;*  ;107.9660865800 -00.4927696736      ;      0.79 4.52     ;8.49      ;15.00      ;4.14     ;4.15     ;     ~   
865 ;* 21 Mon                           ;dS*;107.8483994053700 -00.3019292046800; -26.764 -9.813     ;11.432    ;34.50      ;5.715    ;5.428    ;     ~   
866 ;* 20 Mon                           ;PM*;107.5570062610300 -04.2371069597900; -0.460 217.452     ;16.811    ;77.750     ;5.95     ;4.92     ;4.13     
867 ;* 145 CMa                          ;*  ;109.1534773210400 -23.3155939638500;   -3.816 3.896     ;1.2155    ;28.05      ;6.50     ;4.79     ;3.47     
868 ;NAME Wezen                         ;s*y;107.0978502142 -26.3931995789      ;     -3.12 3.31     ;2.03      ;33.67      ;2.52     ;1.84     ;1.33     
869 ;* 26 CMa                           ;Pu*;108.0508946189400 -25.9425878007600;   -5.568 9.286     ;3.5923    ;21.6       ;5.736    ;5.897    ;     ~   
870 ;* ome CMa                          ;Be*;108.7027244433 -26.7726693650      ;    -11.88 6.87     ;3.58      ;23.20      ;3.64     ;3.82     ;3.80     
871 ;* 29 CMa                           ;SB*;109.6682455640400 -24.5586995134800;   -2.865 3.678     ;0.8549    ;20.00      ;4.80     ;4.95     ;4.95     
872 ;* tau CMa                          ;SB*;109.6770267463 -24.9543725831      ;     -2.31 5.02     ;1.09      ;49.40      ;4.25     ;4.40     ;4.44     
873 ;* 27 CMa                           ;Be*;108.5633829896 -26.3525086683      ;     -6.91 3.17     ;1.88      ;16.30      ;4.45     ;4.65     ;4.64     
874 ;* ups01 Pup                        ;Be*;109.5766389554 -36.7339535894      ;    -10.25 5.82     ;4.06      ;18.6       ;4.57     ;4.67     ;4.57     
875 ;* ups02 Pup                        ;Be*;109.6591058146800 -36.7427374811400;  -10.172 6.621     ;2.9923    ;18.00      ;4.95     ;5.11     ;5.17     
876 ;* pi. Pup                          ;LP*;109.28565325 -37.09747115          ;    -10.05 6.47     ;4.04      ;15.80      ;4.32     ;2.70     ;1.46     
877 ;* A Pup                            ;Ce*;107.2127844325 -39.6556549856      ;    -10.69 7.71     ;4.48      ;19.5       ;4.65     ;4.83     ;4.90     
878 ;* F Pup                            ;*  ;109.6396354728900 -39.2102841972200;   -9.529 9.565     ;7.3579    ;34.90      ;5.261    ;5.243    ;     ~   
879 ;* E Pup                            ;SB*;108.0658625089400 -40.4988209391500; -18.376 -8.220     ;7.5641    ;-4.40      ;5.38     ;5.31     ;     ~   
880 ;* 66 Aur                           ;*  ;111.0352814953800 +40.6723888559700; -4.081 -21.023     ;3.2175    ;22.62      ;6.434    ;5.188    ;     ~   
881 ;* 65 Aur                           ;PM*;110.5109066819800 +36.7605836024500;-97.064 -22.733     ;12.6451   ;22.14      ;6.206    ;5.120    ;     ~   
882 ;* rho Gem                          ;PM*;112.27799529 +31.78454925          ;  159.09 193.29     ;55.41     ;-3.70      ;4.50     ;4.18     ;3.86     
883 ;* 64 Gem                           ;PM*;112.3351701736200 +28.1182762995100;-33.931 -52.782     ;18.5038   ;35.4       ;5.181    ;5.064    ;     ~   
884 ;* b Gem                            ;SB*;112.4531745852000 +27.9161203620500;-29.312 -21.779     ;7.718     ;35.30      ;6.123    ;5.010    ;     ~   
885 ;* iot Gem                          ;** ;111.4316471500 +27.7980813469      ; -122.66 -84.03     ;27.10     ;7.432      ;4.83     ;3.79     ;3.02     
886 ;* 59 Gem                           ;*  ;111.1393880077100 +27.6378559744900;  13.722 15.078     ;14.9819   ;-4.5       ;6.110    ;5.759    ;     ~   
887 ;* 57 Gem                           ;PM*;110.8687970761500 +25.0505312834400;-66.676 -29.082     ;18.1774   ;5.46       ;5.933    ;5.022    ;     ~   
888 ;NAME Wasat                         ;SB*;110.0307490954 +21.9823160392      ;   -15.13 -9.79     ;53.94     ;4.1        ;3.87     ;3.53     ;3.17     
889 ;* 63 Gem                           ;SB*;111.9348222072700 +21.4452790250300;-56.450 -121.068    ;30.8067   ;-82.30     ;5.62     ;5.24     ;     ~   
890 ;* 56 Gem                           ;PM*;110.4869241276400 +20.4436581324800;-60.474 -23.693     ;7.6812    ;4.80       ;6.630    ;5.080    ;     ~   
891 ;* 61 Gem                           ;** ;111.7347018405100 +20.2575547719200;   2.113 -8.169     ;7.4357    ;9.00       ;6.236    ;5.935    ;     ~   
892 ;* 6 CMi                            ;V* ;112.4490905217 +12.0065652036      ;   -0.57 -18.85     ;5.70      ;-16.31     ;5.812    ;4.531    ;     ~   
893 ;* 1 CMi                            ;*  ;111.2424167511400 +11.6695229131400;-15.574 -15.478     ;10.9796   ;-1.00      ;5.461    ;5.361    ;     ~   
894 ;* eps CMi                          ;*  ;111.4120820166000 +09.2760904223900;  -4.583 -8.414     ;3.9908    ;-6.90      ;5.990    ;4.986    ;     ~   
895 ;* gam CMi                          ;SB*;112.0408095289700 +08.9255244800600; -62.112 11.141     ;3.134     ;46.80      ;5.73     ;4.30     ;3.19     
896 ;NAME Gomeisa                       ;Be*;111.7876739054 +08.2893157625      ;  -51.76 -38.29     ;20.17     ;22.00      ;2.80     ;2.89     ;2.90     
897 ;* eta CMi                          ;*  ;112.0086451902400 +06.9419706076400; -3.109 -43.633     ;10.2172   ;17.20      ;5.45     ;5.22     ;     ~   
898 ;NAME Aludra                        ;s*b;111.02375950 -29.30310551          ;     -4.14 5.81     ;1.64      ;41.1       ;2.37     ;2.45     ;2.38     
899 ;* y Pup                            ;XB*;112.2737299804200 -38.8120673219900; -19.836 15.281     ;5.0843    ;24.00      ;5.243    ;5.395    ;     ~   
900 ;* 70 Gem                           ;*  ;114.6369329852900 +35.0485498459000;  38.492 27.757     ;9.9583    ;-36.33     ;6.501    ;5.572    ;     ~   
901 ;NAME Jishui                        ;PM*;114.7913944263900 +34.5843063308600;-37.975 -105.132    ;19.3338   ;7.30       ;5.30     ;4.90     ;4.51     
902 ;NAME Castor                        ;** ;113.64947164 +31.88828222          ;-191.45 -145.19     ;64.12     ;5.40       ;1.62     ;1.58     ;1.51     
903 ;* ups Gem                          ;PM*;113.9806250590500 +26.8957444986000;-32.841 -106.002    ;12.8761   ;-21.61     ;5.60     ;4.06     ;2.82     
904 ;* f Gem                            ;** ;114.8691390334500 +17.6745218379400;   5.374 -1.199     ;5.1083    ;25.38      ;6.61     ;5.05     ;     ~   
905 ;* 68 Gem                           ;** ;113.4020065796 +15.8266608119      ;  -28.64 -12.86     ;7.70      ;12.00      ;5.310    ;5.263    ;     ~   
906 ;NAME Procyon                       ;SB*;114.82549791 +05.22498756          ;-714.59 -1036.80    ;284.56    ;-15.908408 ;0.79     ;0.37     ;-0.05    
907 ;* del02 CMi                        ;*  ;113.2986072637400 +03.2903791840300; -15.909 42.696     ;23.1488   ;-6.20      ;5.895    ;5.571    ;     ~   
908 ;* del03 CMi                        ;*  ;113.5662191797600 +03.3717243208000;  -2.534 -5.305     ;4.603     ;33.8       ;5.789    ;5.817    ;     ~   
909 ;* del01 CMi                        ;*  ;113.0247867805900 +01.9144796757500;  -2.129 -0.868     ;3.9896    ;29.1       ;5.448    ;5.233    ;     ~   
910 ;* 25 Mon                           ;dS*;114.3195459425700 -04.1109816312800; -67.624 16.998     ;15.7974   ;48.33      ;5.570    ;5.131    ;     ~   
911 ;* alf Mon                          ;PM*;115.3118023700 -09.5511308564      ;  -74.61 -19.59     ;22.07     ;11.161     ;4.95     ;3.93     ;3.16     
912 ;* 140 Pup                          ;*  ;115.0967101784401 -15.2639196417900; -2.171 -27.678     ;4.6915    ;0.50       ;6.503    ;4.951    ;     ~   
913 ;* m Pup                            ;EB*;114.5751892067 -25.3648060192      ;    -3.03 -7.42     ;5.27      ;41.00      ;4.58     ;4.67     ;     ~   
914 ;* n Pup B                          ;PM*;113.5802380523200 -23.4748973485700;-87.258 -11.556     ;32.7919   ;-6.1       ;6.248    ;5.795    ;6.57     
915 ;* n Pup A                          ;PM*;113.5775735723700 -23.4736646563600; -88.134 -0.860     ;32.7467   ;-4.22      ;6.200    ;5.770    ;6.55     
916 ;* n Pup                            ;** ;113.57756940 -23.47366501          ;   -89.46 -0.33     ;31.56     ;-6.50      ;5.52     ;5.09     ;     ~   
917 ;* k01 Pup                          ;*  ;114.7057297618600 -26.8017568161600; -18.556 11.081     ;9.0301    ;23.6       ;4.33     ;4.50     ;     ~   
918 ;* k02 Pup                          ;V* ;114.7077947219200 -26.8038471632100; -17.567 21.662     ;8.3058    ;33.0       ;4.26     ;4.429    ;     ~   
919 ;* p Pup                            ;PM*;113.8453817505200 -28.3693347863800; -60.256 -7.742     ;13.6185   ;3.30       ;4.52     ;4.63     ;     ~   
920 ;* f Pup                            ;** ;114.34212409 -34.96853080          ;   -14.21 16.32     ;9.05      ;24.00      ;4.44     ;4.53     ;4.55     
921 ;* z Pup                            ;Be*;113.4626730791300 -36.3383924267800;   -7.398 6.062     ;2.5769    ;-9.00      ;5.37     ;5.44     ;5.33     
922 ;* e Pup                            ;*  ;114.6829109819700 -36.4968328243100;   -7.547 5.591     ;2.789     ;19.00      ;5.64     ;5.80     ;     ~   
923 ;* d04 Pup                          ;Be*;114.9916295618900 -37.5794242781100;  -0.830 -4.510     ;1.911     ;7.00       ;5.944    ;5.996    ;     ~   
924 ;* d02 Pup                          ;*  ;114.9325648736300 -38.1392981022000; -21.877 17.036     ;4.8969    ;30.00      ;5.62     ;5.77     ;     ~   
925 ;* d03 Pup                          ;*  ;114.9494788336400 -38.2606523283500;  -10.200 9.511     ;2.3923    ;22.6       ;5.667    ;5.747    ;     ~   
926 ;* d01 Pup                          ;*  ;114.8639097396 -38.3080218219      ;   -21.11 15.81     ;5.87      ;26.4       ;4.65     ;4.84     ;4.92     
927 ;* pi. Gem                          ;V* ;116.8763492684900 +33.4156968635200;-17.480 -28.334     ;5.5547    ;-13.36     ;6.74     ;5.14     ;     ~   
928 ;* sig Gem                          ;RS*;115.8280290804 +28.8835117197      ;  62.66 -230.32     ;26.08     ;44.15      ;5.41     ;4.29     ;3.37     
