C.D.S.  -  SIMBAD4 rel 1.7  -  2022.01.28CET21:02:34

*\* [a-z]?? [A-Z]??
-------------------

Number of objects : 1334

 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;        pm         ;Mag U 
423 ;* zet Hyi  ;* zet Hyi                          ;PM*;02 45 32.6337977530 -67 36 59.832650544;  66.281 44.548    ;     ~
424 ;* zet Ind  ;* zet Ind                          ;*  ;20 49 28.9616460364 -46 13 36.608310097;  40.050 28.199    ;     ~
425 ;* zet Leo  ;* zet Leo                          ;V* ;10 16 41.4159679 +23 25 02.322080      ;    18.39 -6.84    ; 3.89 
426 ;* zet Lep  ;* zet Lep                          ;*  ;05 46 57.3409587 -14 49 19.019943      ;   -14.54 -1.07    ;     ~
427 ;* zet Lib  ;* zet04 Lib                        ;V* ;15 32 55.2197638813 -16 51 10.247077231;-11.503 -10.851    ; 4.61 
428 ;* zet Lup  ;* zet Lup                          ;PM*;15 12 17.0959556 -52 05 57.291916      ; -112.92 -71.18    ; 4.99 
429 ;* zet Lyr  ;* zet Lyr                          ;** ;18 44 46.36 +37 36 18.4                ;            ~ ~    ;     ~
430 ;* zet Men  ;* zet Men                          ;PM*;06 40 02.8919749049 -80 48 48.939144936;  -4.801 53.158    ;     ~
431 ;* zet Mic  ;* zet Mic                          ;PM*;21 02 57.9517132869 -38 37 53.210105377;-28.541 -108.968   ;     ~
432 ;* zet Mon  ;* zet Mon                          ;*  ;08 08 35.6466280 -02 59 01.636060      ;   -18.81 -4.50    ; 6.02 
433 ;* zet Nor  ;* zet Nor                          ;PM*;16 13 22.6979976172 -55 32 27.410750369;-98.850 -42.066    ;     ~
434 ;* zet Oct  ;* zet Oct                          ;PM*;08 56 40.9786819418 -85 39 47.348274250;-117.914 33.972    ;     ~
435 ;V* zet Oph ;* zet Oph                          ;Be*;16 37 09.5390545 -10 34 01.529471      ;    15.26 24.79    ; 1.73 
436 ;* zet Ori  ;* zet Ori                          ;** ;05 40 45.52666 -01 56 33.2649          ;      3.19 2.03    ; 0.50 
437 ;* zet Pav  ;* zet Pav                          ;PM*;18 43 02.1352809 -71 25 41.206465      ;   0.81 -158.15    ;     ~
438 ;* zet Peg  ;* 42 Peg                           ;PM*;22 41 27.7207176 +10 49 52.907917      ;   77.22 -11.38    ; 3.10 
439 ;* zet Per  ;* zet Per                          ;V* ;03 54 07.9224751 +31 53 01.081262      ;     5.77 -9.92    ; 2.19 
440 ;* zet Phe  ;* zet Phe                          ;EB*;01 08 23.0814982 -55 14 44.728914      ;    20.87 30.64    ;     ~
441 ;* zet Pic  ;* zet Pic                          ;PM*;05 19 22.1354058924 -50 36 21.477849008;   23.64 227.43    ;     ~
442 ;* zet Psc  ;RX J0113.7+0734                    ;** ;01 13 46.2 +07 34 46                   ;            ~ ~    ;     ~
443 ;* zet PsA  ;* zet PsA                          ;PM*;22 30 53.7730425515 -26 04 25.506821185; 40.680 -74.855    ;     ~
444 ;V* zet Pup ;* zet Pup                          ;BY*;08 03 35.04754 -40 00 11.3321          ;   -29.71 16.68    ; 0.89 
445 ;* zet Pyx  ;* zet Pyx                          ;PM*;08 39 42.4733206577 -29 33 39.907903574;-24.145 -91.255    ;     ~
446 ;* zet Sge  ;* zet Sge                          ;** ;19 48 58.660 +19 08 31.35              ;      18.7 26.5    ;     ~
447 ;* zet Sgr  ;* zet Sgr                          ;** ;19 02 36.73024 -29 52 48.2279          ;    10.79 21.11    ;     ~
448 ;* zet Scl  ;* zet Scl                          ;SB*;00 02 19.9296342495 -29 43 13.597009065;     9.34 14.50    ; 4.29 
449 ;* zet Sct  ;* zet Sct                          ;SB*;18 23 39.5720721443 -08 56 04.029296163;  54.759 47.077    ;     ~
450 ;* zet Ser  ;* zet Ser                          ;PM*;18 00 29.0113725 -03 41 24.968552      ;  155.51 -44.43    ;     ~
451 ;V* zet Tau ;* zet Tau                          ;Be*;05 37 38.6854231 +21 08 33.158804      ;    1.78 -20.07    ; 2.22 
452 ;* zet Tel  ;* zet Tel                          ;PM*;18 28 49.8597995 -49 04 14.112225      ; 139.10 -228.66    ;     ~
453 ;* zet TrA  ;* zet TrA                          ;SB*;16 28 28.1396465547 -70 05 03.822057572;201.643 109.143    ;     ~
454 ;* zet Tuc  ;* zet Tuc                          ;PM*;00 20 04.2586334956 -64 52 29.257190108;1706.747 1164.959  ; 4.82 
455 ;* zet UMa  ;* zet UMa                          ;** ;13 23 55.54048 +54 55 31.2671          ;  119.01 -25.97    ;     ~
456 ;V* zet UMa ;V* zet UMa                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
457 ;* zet UMi  ;* zet UMi                          ;V* ;15 44 03.5189152 +77 47 40.178845      ;    19.91 -1.99    ;     ~
458 ;* zet Vir  ;* zet Vir                          ;PM*;13 34 41.5933793869 -00 35 45.009664548;-278.760 49.133    ; 3.58 
459 ;* zet Vol  ;* zet Vol                          ;*  ;07 41 49.2610042 -72 36 21.956661      ;    33.34 14.89    ;     ~
460 ;* eta And  ;* eta And                          ;SB*;00 57 12.4001825 +23 25 03.535627      ;  -43.47 -45.73    ; 6.05 
461 ;* eta Ant  ;* eta Ant                          ;PM*;09 58 52.2755193430 -35 53 27.497717861;-89.782 -16.245    ;     ~
462 ;* eta Aps  ;* eta Aps                          ;PM*;14 18 13.8951765209 -81 00 27.927600462;-19.854 -65.413    ;     ~
463 ;* eta Aqr  ;* eta Aqr                          ;PM*;22 35 21.38126 -00 07 02.9888          ;   89.74 -55.81    ; 3.690
464 ;V* eta Aql ;* eta Aql                          ;cC*;19 52 28.3677478 +01 00 20.369619      ;     6.91 -8.21    ; 5.12 
465 ;* eta Ara  ;* eta Ara                          ;*  ;16 49 47.1565275 -59 02 28.957499      ;   39.73 -24.91    ;     ~
466 ;* eta Ari  ;* eta Ari                          ;PM*;02 12 48.0856782200 +21 12 39.577562642;  163.917 5.000    ;     ~
467 ;* eta Aur  ;* eta Aur                          ;PM*;05 06 30.8933734 +41 14 04.112721      ;   31.45 -67.87    ; 2.33 
468 ;* eta Boo  ;* eta Boo                          ;SB*;13 54 41.07892 +18 23 51.7946          ; -60.95 -356.29    ; 3.440
469 ;* eta Cnc  ;* eta Cnc                          ;PM*;08 32 42.4959112345 +20 26 28.190592514;-46.332 -44.726    ;     ~
470 ;* eta CMa  ;* eta CMa                          ;s*b;07 24 05.70228 -29 18 11.1798          ;     -4.14 5.81    ; 1.65 
471 ;* eta CMi  ;* eta CMi                          ;*  ;07 28 02.0746842072 +06 56 31.093845944; -2.955 -43.624    ;     ~
472 ;* eta Cap  ;* eta Cap                          ;** ;21 04 24.3013240 -19 51 17.971066      ;  -37.62 -24.95    ; 5.07 
473 ;* eta Car  ;* eta Car                          ;Em*;10 45 03.545808 -59 41 03.95124        ;      -11.0 4.1    ; 6.37 
474 ;* eta Cas  ;* eta Cas                          ;PM*;00 49 06.2945942922 +57 48 54.638239716;1078.609 -551.133  ; 4.04 
475 ;* eta Cen  ;* eta Cen                          ;Be*;14 35 30.4241610 -42 09 28.170782      ;  -34.73 -32.72    ; 1.30 
476 ;* eta Cep  ;* eta Cep                          ;PM*;20 45 17.3755540 +61 50 19.616737      ;   86.50 818.02    ; 4.960
477 ;* eta Cet  ;* eta Cet                          ;HB*;01 08 35.3914827 -10 10 56.156955      ; 215.61 -139.02    ; 5.80 
478 ;* eta Cha  ;* eta Cha                          ;*  ;08 41 19.5144242735 -78 57 48.102318990; -29.776 26.600    ; 5.02 
479 ;* eta Cir  ;* eta Cir                          ;PM*;15 04 48.1859085216 -64 01 52.867318863;  103.753 8.693    ;     ~
480 ;* eta Col  ;* eta Col                          ;*  ;05 59 08.8051933 -42 48 54.482180      ;   18.39 -10.87    ; 6.18 
481 ;* eta CrB  ;* eta CrB                          ;SB*;15 23 12.30535 +30 17 16.1701          ; 116.83 -171.37    ; 5.60 
482 ;* eta Crv  ;* eta Crv                          ;PM*;12 32 04.2264018482 -16 11 45.618615379;-424.597 -58.241   ;     ~
483 ;* eta Crt  ;* eta Crt                          ;PM*;11 56 00.9553851475 -17 09 02.958633685; -51.147 -8.894    ;     ~
484 ;* eta Cru  ;* eta Cru                          ;SB*;12 06 52.8989997 -64 36 49.424377      ;   33.88 -37.02    ;     ~
485 ;* eta Cyg  ;* eta Cyg                          ;*  ;19 56 18.3722223 +35 05 00.322759      ;  -33.61 -27.87    ; 5.800
486 ;* eta Del  ;* eta Del                          ;PM*;20 33 57.0509113955 +13 01 38.031049609;  61.390 33.669    ;     ~
487 ;* eta Dor  ;* eta02 Dor                        ;PM*;06 11 14.9830667172 -65 35 21.895201104;-23.823 118.639    ; 8.49 
488 ;* eta Dra  ;* eta Dra                          ;PM*;16 23 59.4906150026 +61 30 51.247636023;   -17.02 56.95    ; 4.35 
489 ;* eta Eri  ;* eta Eri                          ;PM*;02 56 25.6494839 -08 53 53.322099      ;  77.36 -220.16    ; 5.97 
490 ;V* eta Gem ;* eta Gem                          ;RG*;06 14 52.6452865329 +22 30 24.434377815; -59.530 -7.766    ; 6.55 
491 ;* eta Gru  ;* eta Gru                          ;*  ;22 45 37.8828532714 -53 30 00.440456552;  30.207 17.921    ;     ~
492 ;* eta Her  ;* eta Her                          ;PM*;16 42 53.7650947 +38 55 20.112868      ;   35.41 -85.30    ; 5.03 
493 ;* eta Hor  ;* eta Hor                          ;** ;02 37 24.3880289210 -52 32 34.913179191; 78.117 -38.344    ;     ~
494 ;V* eta Hya ;* eta Hya                          ;bC*;08 43 13.4749927 +03 23 55.186711      ;   -19.39 -1.08    ; 3.380
495 ;* eta Ind  ;* eta Ind                          ;dS*;20 44 02.3340423 -51 55 15.496981      ;  155.80 -53.86    ;     ~
496 ;* eta Leo  ;* eta Leo                          ;*  ;10 07 19.9518606 +16 45 45.580270      ;    -2.80 -1.82    ; 3.17 
497 ;* eta Lep  ;* eta Lep                          ;PM*;05 56 24.2934904501 -14 10 03.718335613;-41.474 139.222    ; 4.05 
498 ;* eta Lib  ;* eta Lib                          ;PM*;15 44 04.3992385961 -15 40 22.205207595;-34.675 -63.198    ;     ~
499 ;* eta Lup  ;* eta Lup                          ;*  ;16 00 07.3278558 -38 23 48.151245      ;  -16.96 -27.83    ; 2.36 
500 ;* eta Lyr  ;* eta Lyr                          ;SB*;19 13 45.4883231 +39 08 45.480091      ;    -0.60 -1.26    ; 3.58 
501 ;* eta Men  ;* eta Men                          ;PM*;04 55 11.2005259004 -74 56 12.676642091;    28.27 61.52    ;     ~
502 ;* eta Mic  ;* eta Mic                          ;*  ;21 06 25.5195018230 -41 23 09.480460588; 28.760 -11.548    ;     ~
503 ;V* eta Mus ;* eta Mus                          ;SB*;13 15 14.94123 -67 53 40.5276          ;  -36.46 -11.36    ;     ~
504 ;* eta Nor  ;* eta Nor                          ;*  ;16 03 12.8978280 -49 13 46.915070      ;     42.05 9.14    ;     ~
505 ;* eta Oct  ;* eta Oct                          ;PM*;10 59 13.7574485011 -84 35 38.019472612; -65.708 -8.177    ;     ~
506 ;* eta Oph  ;* eta Oph                          ;** ;17 10 22.68689 -15 43 29.6639          ;    40.13 99.17    ; 2.56 
507 ;V* eta Ori ;* eta Ori                          ;EB*;05 24 28.61672 -02 23 49.7311          ;    -0.71 -3.46    ; 2.25 
508 ;* eta Pav  ;* eta Pav                          ;PM*;17 45 43.9860472 -64 43 25.939391      ;  -11.96 -56.57    ;     ~
509 ;* eta Peg  ;* eta Peg                          ;SB*;22 43 00.1237213526 +30 13 16.027068152;   24.320 3.706    ; 4.38 
510 ;* eta Per  ;* eta Per                          ;*  ;02 50 41.8095904 +55 53 43.787576      ;   16.23 -13.54    ; 7.38 
511 ;* eta Phe  ;* eta Phe                          ;*  ;00 43 21.2384109 -57 27 47.007307      ;    -5.07 16.51    ;     ~
512 ;* eta Psc  ;* eta Psc                          ;** ;01 31 29.0102587 +15 20 44.968540      ;    27.14 -2.64    ; 5.320
513 ;* eta PsA  ;* eta PsA                          ;Be*;22 00 50.22537 -28 27 13.4639          ;    15.57 -1.03    ; 4.96 
514 ;* eta Pyx  ;* eta Pyx                          ;*  ;08 37 52.1521706428 -26 15 17.997969108;-23.321 -12.579    ;     ~
515 ;* eta Ret  ;* eta Ret                          ;PM*;04 21 53.3258782961 -63 23 10.996284200; 85.672 175.474    ;     ~
516 ;* eta Sge  ;* eta Sge                          ;PM*;20 05 09.4931440591 +19 59 27.856193232;  29.962 80.440    ;     ~
517 ;V* eta Sgr ;* eta Sgr                          ;LP?;18 17 37.6350518 -36 45 42.066723      ;-129.56 -166.26    ; 6.37 
518 ;* eta Sco  ;* eta Sco                          ;PM*;17 12 09.1956531 -43 14 21.090526      ;  24.47 -288.55    ; 3.83 
519 ;V* eta Scl ;* eta Scl                          ;LP*;00 27 55.6981983820 -33 00 25.790033840;-20.349 -49.911    ; 8.26 
520 ;* eta Sct  ;* eta Sct                          ;PM*;18 57 03.6702664576 -05 50 46.730466051; 61.545 -41.429    ;     ~
521 ;* eta Ser  ;* eta Ser                          ;PM*;18 21 18.6005560 -02 53 55.776595      ;-547.75 -701.42    ; 4.84 
522 ;* eta Tau  ;* eta Tau                          ;Be*;03 47 29.0765529 +24 06 18.488347      ;   19.34 -43.67    ; 2.44 
523 ;* eta Tel  ;* eta Tel                          ;PM*;19 22 51.2064652963 -54 25 26.152538950; 25.616 -82.536    ;     ~
524 ;* eta Tuc  ;* eta Tuc                          ;** ;23 57 35.0785168096 -64 17 53.622899148; 78.850 -62.049    ;     ~
525 ;* eta UMa  ;* eta UMa                          ;PM*;13 47 32.43776 +49 18 47.7602          ; -121.17 -14.91    ; 0.99 
526 ;* eta UMi  ;* eta UMi                          ;PM*;16 17 30.2693678247 +75 45 19.239359296;  -90.30 257.66    ;     ~
527 ;* eta Vir  ;* eta Vir                          ;SB*;12 19 54.3488819446 -00 40 00.599569600; -60.586 -9.298    ; 3.99 
528 ;* eta Vol  ;* eta Vol                          ;*  ;08 22 04.4515395541 -73 23 59.927320657; -29.412 30.007    ;     ~
529 ;* tet And  ;* tet And                          ;** ;00 17 05.49885 +38 40 53.8902          ;  -49.35 -17.65    ; 4.72 
530 ;* tet Ant  ;* tet Ant                          ;** ;09 44 12.0951165 -27 46 10.101055      ;   -53.23 37.24    ; 5.65 
531 ;* tet Aps  ;* tet Aps                          ;LP*;14 05 19.8778357 -76 47 48.320384      ;  -87.54 -32.54    ; 8.10 
532 ;* tet Aqr  ;* tet Aqr                          ;PM*;22 16 50.0363539 -07 46 59.848035      ;  118.80 -22.18    ; 5.95 
533 ;* tet Aql  ;* tet Aql                          ;SB*;20 11 18.2852804 -00 49 17.262642      ;     35.26 5.71    ; 3.03 
534 ;* tet Ara  ;* tet Ara                          ;*  ;18 06 37.8712898 -50 05 29.312523      ;    -8.27 -8.70    ; 2.73 
535 ;* tet Ari  ;* tet Ari                          ;*  ;02 18 07.5302184092 +19 54 04.171722434;  -7.491 -3.978    ;     ~
536 ;V* tet Aur ;* tet Aur                          ;a2*;05 59 43.27012 +37 12 45.3047          ;   43.63 -73.79    ; 2.36 
537 ;* tet Boo  ;* tet Boo                          ;PM*;14 25 11.7970287 +51 51 02.676894      ;-235.40 -399.07    ; 4.57 
538 ;* tet Cnc  ;* tet Cnc                          ;PM*;08 31 35.7308161920 +18 05 39.916611703;-60.438 -57.331    ;     ~
539 ;* tet CMa  ;* tet CMa                          ;PM*;06 54 11.3997692336 -12 02 19.061054441;-137.473 -14.367   ; 7.20 
540 ;* tet Cap  ;* tet Cap                          ;PM*;21 05 56.8278313 -17 13 58.302085      ;   79.33 -62.01    ; 4.07 
541 ;* tet Car  ;* tet Car                          ;SB*;10 42 57.4019674 -64 23 40.020796      ;   -18.36 12.03    ; 1.53 
542 ;* tet Cas  ;* tet Cas                          ;PM*;01 11 06.1622468 +55 08 59.647259      ;  226.77 -18.75    ; 4.630
543 ;* tet Cen  ;* tet Cen                          ;PM*;14 06 40.94752 -36 22 11.8371          ;-520.53 -518.06    ; 3.94 
544 ;* tet Cep  ;* tet Cep                          ;SB*;20 29 34.8651841062 +62 59 38.621587534;  52.416 -2.544    ; 4.58 
545 ;* tet Cet  ;* tet Cet                          ;HB*;01 24 01.4052830 -08 10 59.721253      ; -77.94 -206.53    ; 5.57 
546 ;* tet Cha  ;* tet Cha                          ;PM*;08 20 38.5405496 -77 29 04.117261      ;  -129.05 40.89    ;     ~
547 ;* tet Cir  ;* tet Cir                          ;Be*;14 56 43.9873836 -62 46 51.657921      ;  -11.70 -11.69    ; 4.34 
548 ;* tet Col  ;* tet Col                          ;*  ;06 07 31.6324955085 -37 15 10.516273764;    0.631 0.535    ;     ~
549 ;* tet CrA  ;* tet CrA                          ;*  ;18 33 30.1846988547 -42 18 45.049280630; 32.818 -19.699    ;     ~
550 ;* tet CrB  ;* tet CrB                          ;Be*;15 32 55.78214 +31 21 32.8762          ;   -20.15 -9.39    ; 3.45 
551 ;* tet Crt  ;* tet Crt                          ;PM*;11 36 40.9133537 -09 48 08.091238      ;    -59.38 2.55    ;     ~
552 ;* tet Cyg  ;* tet Cyg                          ;PM*;19 36 26.5343563 +50 13 15.964573      ;   -8.87 262.45    ; 4.83 
553 ;* tet Del  ;* tet Del                          ;*  ;20 38 43.9864357675 +13 18 54.454298253;    3.068 0.179    ; 8.91 
554 ;* tet Dor  ;* tet Dor                          ;*  ;05 13 45.4562676177 -67 11 06.935083880;  18.280 38.470    ; 7.48 
555 ;* tet Dra  ;* tet Dra                          ;SB*;16 01 53.3463580 +58 33 54.905636      ; -319.51 334.97    ; 4.630
556 ;* tet Eri  ;* tet Eri                          ;** ;02 58 15.6752536 -40 18 16.852418      ;   -52.89 21.98    ;     ~
557 ;* tet Gem  ;* tet Gem                          ;PM*;06 52 47.3388710 +33 57 40.517462      ;   -1.66 -47.31    ; 3.84 
558 ;* tet Gru  ;* tet Gru                          ;** ;23 06 52.73046 -43 31 13.2857          ;  -47.17 -13.49    ;     ~
559 ;* tet Her  ;* tet Her                          ;V* ;17 56 15.1805442 +37 15 01.934351      ;      2.67 6.47    ; 6.70 
560 ;* tet Hya  ;* tet Hya                          ;SB*;09 14 21.8600711562 +02 18 51.551915906;134.386 -322.143   ;     ~
561 ;* tet Hyi  ;* tet Hyi                          ;** ;03 02 15.4492873366 -71 54 08.838187640;  27.116 16.540    ;     ~
562 ;* tet Ind  ;* tet Ind                          ;** ;21 19 51.9895536 -53 26 57.931471      ;  107.90 -66.41    ;     ~
563 ;* tet Leo  ;* tet Leo                          ;PM*;11 14 14.4044630 +15 25 46.454086      ;  -60.31 -79.10    ; 3.40 
564 ;* tet Lep  ;* tet Lep                          ;*  ;06 06 09.3237046666 -14 56 06.912959454; -16.887 12.711    ;     ~
565 ;* tet Lib  ;* tet Lib                          ;PM*;15 53 49.5380636 -16 43 45.458225      ;  100.33 135.02    ; 5.99 
566 ;* tet Lup  ;* tet Lup                          ;*  ;16 06 35.5467521011 -36 48 08.156046899;-20.096 -33.421    ; 3.36 
567 ;* tet Lyr  ;* tet Lyr                          ;*  ;19 16 22.0948728 +38 08 01.423443      ;     -0.80 0.36    ; 6.87 
568 ;* tet Men  ;* tet Men                          ;*  ;06 56 34.4737056465 -79 25 12.692869836;  -2.172 -1.176    ;     ~
569 ;V* tet Mus ;* tet Mus                          ;WR*;13 08 07.1527888825 -65 18 21.679641155;  -4.101 -1.649    ; 4.71 
570 ;* tet Nor  ;* tet Nor                          ;PM*;16 15 15.3179416149 -47 22 19.271046026;-34.771 -45.813    ;     ~
571 ;* tet Oct  ;* tet Oct                          ;PM*;00 01 35.6994508763 -77 03 56.611267370;-56.841 -176.791   ;     ~
572 ;V* tet Oph ;* tet Oph                          ;bC*;17 22 00.5793468 -24 59 58.366974      ;   -7.37 -23.94    ; 2.18 
573 ;* tet Ori  ;* tet Ori                          ;** ;05 35 18.0 -05 24 00                   ;            ~ ~    ;     ~
574 ;* tet Pav  ;* tet Pav                          ;PM*;18 48 37.9045064265 -65 04 39.649841963;-38.266 -78.246    ;     ~
575 ;* tet Peg  ;* tet Peg                          ;PM*;22 10 11.9852752 +06 11 52.307750      ;   282.18 30.46    ; 3.72 
576 ;* tet Per  ;* tet Per                          ;PM*;02 44 11.9866154103 +49 13 42.414669174;334.708 -89.251    ; 4.62 
577 ;* tet Phe  ;* tet Phe                          ;** ;23 39 27.94416 -46 38 16.0796          ;    22.37 40.39    ;     ~
578 ;* tet Pic  ;* tet Pic                          ;** ;05 24 46.2881919 -52 18 58.483560      ;   -4.00 -27.71    ;     ~
579 ;* tet Psc  ;* tet Psc                          ;PM*;23 27 58.0946643849 +06 22 44.372303191;-125.581 -43.229   ; 6.41 
580 ;* tet PsA  ;* tet PsA                          ;** ;21 47 44.1499307 -30 53 53.902653      ;   -34.40 -0.08    ;     ~
581 ;* tet Pyx  ;* tet Pyx                          ;*  ;09 21 29.5906789101 -25 57 55.576659259;-13.178 -10.454    ; 8.36 
582 ;* tet Ret  ;* tet Ret                          ;** ;04 17 40.27197 -63 15 19.4619          ;     5.26 35.26    ;     ~
583 ;* tet Sco  ;* tet Sco                          ;*  ;17 37 19.12985 -42 59 52.1808          ;     5.54 -3.12    ;     ~
584 ;* tet Scl  ;* tet Scl                          ;PM*;00 11 44.0207940487 -35 07 59.231973741;171.529 126.670    ;     ~
585 ;* tet Ser  ;* tet Ser                          ;** ;18 56 13.18 +04 12 12.9                ;            ~ ~    ;     ~
586 ;* tet TrA  ;* tet TrA                          ;*  ;16 35 44.8192421244 -65 29 43.447778044; 35.117 -29.356    ;     ~
587 ;V* tet Tuc ;* tet Tuc                          ;dS*;00 33 23.3592564808 -71 15 58.480439386; 73.596 -12.372    ;     ~
588 ;* tet UMa  ;* tet UMa                          ;PM*;09 32 51.4338939 +51 40 38.281102      ;-947.46 -535.60    ; 3.67 
589 ;* tet UMi  ;* tet UMi                          ;V* ;15 31 24.9159906558 +77 20 57.711998802;  -44.662 6.979    ;     ~
590 ;* tet Vir  ;* tet Vir                          ;** ;13 09 56.9843568248 -05 32 20.465727623;-30.820 -29.688    ;     ~
591 ;* tet Vol  ;* tet Vol                          ;*  ;08 39 05.1629389518 -70 23 12.272040386; 19.053 -39.612    ; 5.18 
592 ;* iot And  ;* iot And                          ;*  ;23 38 08.2012983 +43 16 05.064880      ;    27.64 -1.02    ; 3.90 
593 ;* iot Ant  ;* iot Ant                          ;PM*;10 56 43.0509748389 -37 08 15.952141940;74.303 -125.185    ; 6.47 
594 ;* iot Aps  ;* iot Aps                          ;** ;17 22 05.8755553214 -70 07 23.550983623; -1.844 -10.811    ;     ~
595 ;* iot Aqr  ;* iot Aqr                          ;SB*;22 06 26.2274193 -13 52 10.861454      ;   36.89 -58.99    ; 3.91 
596 ;* iot Aql  ;* iot Aql                          ;*  ;19 36 43.2774420564 -01 17 11.784474592; -1.096 -19.978    ; 3.84 
597 ;* iot Ara  ;* iot Ara                          ;Be*;17 23 16.0749238495 -47 28 05.514575023; -5.367 -17.126    ; 4.32 
598 ;* iot Ari  ;* iot Ari                          ;SB*;01 57 21.0547626 +17 49 03.120244      ;   34.76 -22.95    ;     ~
599 ;* iot Aur  ;* iot Aur                          ;V* ;04 56 59.6210887 +33 09 57.958479      ;    6.79 -14.88    ; 6.00 
600 ;V* iot Boo ;* iot Boo                          ;dS*;14 16 09.9303389767 +51 22 02.032771982;-149.628 88.890    ; 5.01 
601 ;* iot Cnc  ;* iot Cnc                          ;PM*;08 46 41.8219658710 +28 45 35.617935005;-23.448 -43.868    ;     ~
602 ;* iot CMa  ;* iot CMa                          ;bC*;06 56 08.2241266 -17 03 15.267468      ;     -3.56 2.42    ; 3.62 
603 ;V* iot Cap ;* iot Cap                          ;BY*;21 22 14.7956478 -16 50 04.359799      ;     30.00 4.52    ; 5.74 
604 ;* iot Car  ;* iot Car                          ;V* ;09 17 05.4068572 -59 16 30.835305      ;   -18.86 11.98    ; 2.60 
605 ;V* iot Cas ;* iot Cas                          ;a2*;02 29 03.94780 +67 24 08.9170          ;   -26.61 38.21    ;     ~
606 ;* iot Cen  ;* iot Cen                          ;PM*;13 20 35.8128156095 -36 42 44.296492410;-339.615 -82.181   ; 2.77 
607 ;* iot Cep  ;* iot Cep                          ;PM*;22 49 40.8169435 +66 12 01.463616      ; -65.89 -125.17    ; 5.50 
608 ;* iot Cet  ;* iot Cet                          ;*  ;00 19 25.6741634 -08 49 26.111055      ;  -15.15 -37.11    ; 5.94 
609 ;* iot Cha  ;* iot Cha                          ;PM*;09 24 09.2258026565 -80 47 12.759731241;-138.690 134.928   ;     ~
610 ;* iot CrB  ;* iot CrB                          ;SB*;16 01 26.5649794279 +29 51 03.813505647; -37.868 -6.641    ;     ~
611 ;* iot Crt  ;* iot Crt                          ;PM*;11 38 40.0179118728 -13 12 06.976480654; 92.006 125.014    ;     ~
612 ;* iot Cru  ;* iot Cru                          ;PM*;12 45 38.0501902327 -60 58 52.753628626;112.968 -65.830    ;     ~
613 ;* iot Cyg  ;* iot Cyg                          ;PM*;19 29 42.3587204 +51 43 47.205830      ;   20.59 128.33    ;     ~
614 ;* iot Del  ;* iot Del                          ;SB*;20 37 49.1196813001 +11 22 39.621398064;  38.956 -7.984    ;     ~
615 ;* iot Dra  ;* iot Dra                          ;V* ;15 24 55.7746265 +58 57 57.834445      ;    -8.36 17.08    ; 5.68 
616 ;* iot Eri  ;* iot Eri                          ;PM*;02 40 40.0350054 -39 51 19.354141      ;  135.92 -27.53    ;     ~
617 ;* iot Gem  ;* iot Gem                          ;** ;07 25 43.5953160 +27 47 53.092849      ; -122.66 -84.03    ; 5.67 
618 ;* iot Gru  ;* iot Gru                          ;SB*;23 10 21.5375522 -45 14 48.164650      ;  132.50 -26.66    ;     ~
619 ;V* iot Her ;* iot Her                          ;bC*;17 39 27.8860861 +46 00 22.800110      ;     -7.48 4.53    ; 2.940
620 ;* iot Hor  ;* iot Hor                          ;PM*;02 42 33.4666679022 -50 48 01.055138166;333.716 219.423    ;     ~
621 ;* iot Hya  ;* iot Hya                          ;PM*;09 39 51.3614457 -01 08 34.113491      ;   46.96 -62.39    ; 6.68 
622 ;* iot Hyi  ;* iot Hyi                          ;PM*;03 15 57.6679929388 -77 23 18.437120191; 113.165 62.542    ;     ~
623 ;* iot Ind  ;* iot Ind                          ;*  ;20 51 30.0504040637 -51 36 29.455300960;   1.197 -4.391    ;     ~
624 ;* iot Leo  ;* iot Leo                          ;SB*;11 23 55.45273 +10 31 46.2195          ;  141.45 -79.14    ;     ~
625 ;* iot Lep  ;* iot Lep                          ;** ;05 12 17.9019041 -11 52 09.186279      ;   24.39 -31.02    ; 3.95 
626 ;* iot Lib  ;* iot Lib                          ;SB*;15 12 13.2902543 -19 47 30.159216      ;  -35.40 -32.79    ; 4.08 
627 ;* iot Lup  ;* iot Lup                          ;V* ;14 19 24.2221950 -46 03 29.143666      ;   -12.56 -4.76    ; 2.65 
628 ;V* iot Lyr ;* iot Lyr                          ;Be*;19 07 18.1325133634 +36 06 00.559248332;    -1.04 -4.29    ; 4.66 
629 ;V* iot Men ;* iot Men                          ;El*;05 35 36.1925128992 -78 49 15.124841215;   2.906 25.462    ;     ~
630 ;* iot Mic  ;* iot Mic                          ;PM*;20 48 29.1477931361 -43 59 18.636929219;178.881 -112.407   ;     ~
631 ;* iot Nor  ;* iot01 Nor                        ;** ;16 03 32.08942 -57 46 30.2641          ; -120.01 -82.09    ;     ~
632 ;* iot Oct  ;* iot Oct                          ;** ;12 54 58.80949 -85 07 24.1041          ;    67.20 24.76    ;     ~
633 ;* iot Oph  ;* iot Oph                          ;PM*;16 54 00.4715122 +10 09 55.298255      ;  -53.80 -34.04    ; 3.98 
