C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:17:30

ngc ????
--------

Number of objects : 7359

 #  ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;   plx   ;   radvel    ;  Mag V  
----;-----------;-----------------------------------;---;-----------------------------------;------------------;---------;-------------;---------
5842;NGC  6226  ;NGC 6226                           ;GiG;250.8466268815000 +61.9840080591300;            ~ ~   ;      ~  ;5559         ;     ~   
5843;NGC  6228  ;NGC 6228                           ;GiC;252.0110414114300 +26.2135390984200;  -1.015 -0.126   ;      ~  ;10080        ;     ~   
5844;NGC  6229  ;NGC 6229                           ;GlC;251.744337 +47.526772              ;    -1.19 -0.46   ;0.0163   ;-138.64      ;9.86     
5845;NGC  6230  ;NGC 6230                           ;GiG;252.694579 +04.604736              ;            ~ ~   ;      ~  ;9188         ;     ~   
5846;NGC  6231  ;NGC 6231                           ;OpC;253.53546 -41.82667                ;  -0.529 -2.177   ;0.589    ;-19.10       ;2.6      
5847;NGC  6232  ;NGC 6232                           ;G  ;250.8343652634100 +70.6325501072600;            ~ ~   ;      ~  ;4408         ;     ~   
5848;NGC  6233  ;NGC 6233                           ;G  ;252.5654129965500 +23.5798262662900;            ~ ~   ;      ~  ;10616        ;     ~   
5849;NGC  6234  ;NGC 6234                           ;GiG;252.9889491630900 +04.3835847815500;            ~ ~   ;      ~  ;9525         ;     ~   
5850;NGC  6235  ;NGC 6235                           ;GlC;253.35567 -22.17744                ;    -3.96 -7.61   ;0.0628   ;126.68       ;7.20     
5851;NGC  6236  ;NGC 6236                           ;G  ;251.144575 +70.780267              ;            ~ ~   ;      ~  ;1277         ;     ~   
5852;NGC  6238  ;NGC 6238                           ;G  ;251.819337 +62.147000              ;            ~ ~   ;      ~  ;5859         ;     ~   
5853;NGC  6239  ;NGC 6239                           ;GiC;252.520950 +42.739844              ;            ~ ~   ;      ~  ;934          ;12.45    
5854;NGC  6240  ;NGC 6240                           ;Sy2;253.245254 +02.400986              ;            ~ ~   ;      ~  ;7203         ;13.37    
5855;NGC  6241  ;NGC 6241                           ;GiG;252.5456084645500 +45.4206039258400;            ~ ~   ;      ~  ;8896         ;     ~   
5856;NGC  6242  ;NGC 6242                           ;OpC;253.8780 -39.4740                  ;   1.149 -0.825   ;0.755    ;39.324       ;     ~   
5857;NGC  6243  ;NGC 6243                           ;LIN;253.1095159232900 +23.3325906864300;            ~ ~   ;      ~  ;10543        ;     ~   
5858;NGC  6244  ;NGC 6244                           ;G  ;252.0164353245100 +62.2004079826600;            ~ ~   ;      ~  ;4378         ;     ~   
5859;NGC  6245  ;NGC 6245                           ;G  ;251.3296 +70.8314                  ;            ~ ~   ;      ~  ;~            ;     ~   
5860;NGC  6246  ;NGC 6246                           ;G  ;252.469542 +55.541889              ;            ~ ~   ;      ~  ;5281         ;     ~   
5861;NGC  6247  ;NGC 6247                           ;rG ;252.084422 +62.976416              ;            ~ ~   ;      ~  ;4457         ;     ~   
5862;NGC  6248  ;NGC 6248                           ;G  ;251.59517 +70.35506                ;            ~ ~   ;      ~  ;1152         ;     ~   
5863;NGC  6249  ;NGC 6249                           ;OpC;254.4450 -44.8150                  ;   1.730 -3.428   ;0.788    ;-37.63       ;8.2      
5864;NGC  6250  ;NGC 6250                           ;OpC;254.4970 -45.9510                  ;   0.454 -2.379   ;0.988    ;-16.8        ;5.9      
5865;NGC  6251  ;NGC 6251                           ;Sy2;248.1332252726600 +82.5378897686300;  -0.760 -0.143   ;0.3216   ;5936         ;12.89    
5866;NGC  6252  ;NGC 6252                           ;GiC;248.1688573350300 +82.5768024693700;            ~ ~   ;      ~  ;6428         ;     ~   
5867;NGC  6253  ;NGC 6253                           ;OpC;254.7780 -52.7120                  ;  -4.537 -5.280   ;0.563    ;-27.97       ;10.2     
5868;NGC  6254  ;M 10                               ;GlC;254.28771 -04.10031                ;    -4.72 -6.54   ;0.1507   ;74.02        ;4.98     
5869;NGC  6255  ;NGC 6255                           ;LSB;253.699846 +36.500878              ;            ~ ~   ;      ~  ;883          ;     ~   
5870;NGC  6256  ;NGC 6256                           ;GlC;254.88617 -37.12142                ;    -3.61 -1.52   ;0.0631   ;-101.37      ;     ~   
5871;NGC  6257  ;NGC 6257                           ;LSB;254.014682 +39.645502              ;            ~ ~   ;      ~  ;4658         ;     ~   
5872;NGC  6258  ;NGC 6258                           ;G  ;253.1241282860100 +60.5145171515700;  -0.049 -0.185   ;0.0292   ;3109         ;     ~   
5873;NGC  6259  ;NGC 6259                           ;OpC;255.1950 -44.6780                  ;  -1.015 -2.892   ;0.408    ;-32.98       ;8.0      
5874;NGC  6260  ;NGC 6260                           ;AG?;252.9609092018800 +63.7145729795800;            ~ ~   ;      ~  ;6497         ;     ~   
5875;NGC  6261  ;NGC 6261                           ;LIN;254.1271935180200 +27.9775673665800;            ~ ~   ;      ~  ;10361        ;     ~   
5876;NGC  6262  ;NGC 6262                           ;G  ;254.678375 +57.098369              ;            ~ ~   ;      ~  ;3398         ;     ~   
5877;NGC  6263  ;NGC 6263                           ;GiG;254.1800348004800 +27.8220896477100;            ~ ~   ;      ~  ;10176        ;     ~   
5878;NGC  6264  ;NGC 6264                           ;Sy2;254.3171970693100 +27.8496039805900;            ~ ~   ;      ~  ;9942         ;     ~   
5879;NGC  6265  ;NGC 6265                           ;GiG;254.3713066759600 +27.8442929816400;            ~ ~   ;      ~  ;9567         ;     ~   
5880;NGC  6266  ;M 62                               ;GlC;255.30250 -30.11236                ;    -4.99 -2.95   ;0.1451   ;-73.49       ;7.39     
5881;NGC  6267  ;NGC 6267                           ;GiG;254.5360782065600 +22.9851095177200;   -0.606 1.501   ;      ~  ;2963         ;     ~   
5882;NGC  6268  ;NGC 6268                           ;OpC;255.5240 -39.7210                  ;   0.908 -0.781   ;0.634    ;-15.1        ;     ~   
5883;NGC  6269  ;NGC 6269                           ;GiG;254.4920880599500 +27.8544120692200;            ~ ~   ;      ~  ;10278        ;13.73    
5884;NGC  6270  ;NGC 6270                           ;GiC;254.631700 +27.586425              ;            ~ ~   ;      ~  ;9802         ;     ~   
5885;NGC  6271  ;NGC 6271                           ;GiG;254.7111369830300 +27.9650015045500;            ~ ~   ;      ~  ;10398        ;     ~   
5886;NGC  6272  ;NGC 6272                           ;GiG;254.7427576438800 +27.9309768520100;            ~ ~   ;      ~  ;10321        ;     ~   
5887;NGC  6273  ;M 19                               ;GlC;255.65704 -26.26794                ;     -3.23 1.66   ;0.0935   ;145.54       ;5.57     
5888;NGC  6274  ;NGC 6274                           ;EmG;254.8352071650199 +29.9461625677000;   -0.651 1.291   ;      ~  ;11540        ;14.33    
5889;NGC  6275  ;NGC 6275                           ;Sy1;253.8887170289700 +63.2423007664900;            ~ ~   ;      ~  ;6684         ;17.37    
5890;NGC  6276  ;NGC 6276                           ;GiP;255.187425 +23.044008              ;            ~ ~   ;      ~  ;2911         ;     ~   
5891;NGC  6278  ;NGC 6278                           ;GiP;255.2096814994900 +23.0110375497400;   -0.070 1.185   ;      ~  ;3048         ;     ~   
5892;NGC  6279  ;NGC 6279                           ;GiG;254.7559580994800 +47.2371571503100;            ~ ~   ;      ~  ;7164         ;     ~   
5893;NGC  6280  ;NGC 6280                           ;G  ;255.4893030560900 +06.6660139851100;   1.244 -0.049   ;      ~  ;9183         ;     ~   
5894;NGC  6281  ;NGC 6281                           ;OpC;256.1790 -37.9480                  ;-1.8764 -3.9506   ;1.8716   ;-15.4        ;     ~   
5895;NGC  6282  ;NGC 6282                           ;EmG;255.1962705068700 +29.8206057683700;            ~ ~   ;      ~  ;10380        ;     ~   
5896;NGC  6283  ;NGC 6283                           ;G  ;254.8607027830300 +49.9221443769000;   0.125 -0.158   ;0.5435   ;1090         ;     ~   
5897;NGC  6284  ;NGC 6284                           ;GlC;256.119779 -24.764228              ;    -3.21 -2.00   ;0.0542   ;28.26        ;7.43     
5898;NGC  6285  ;NGC 6285                           ;GiG;254.600067 +58.955897              ;            ~ ~   ;      ~  ;5528         ;     ~   
5899;NGC  6286  ;NAME IRAS F16577+5900 SE           ;GiG;254.6306527133500 +58.9361429871000;            ~ ~   ;      ~  ;5500         ;     ~   
5900;NGC  6287  ;NGC 6287                           ;GlC;256.2895444864000 -22.7078053472700;  -4.972 -2.136   ;0.154    ;-294.74      ;10.30    
5901;NGC  6288  ;NGC 6288                           ;G  ;254.3521203925999 +68.4570636647000;            ~ ~   ;      ~  ;10087        ;     ~   
5902;NGC  6289  ;NGC 6289                           ;G  ;254.4373385305300 +68.5147462618400;            ~ ~   ;      ~  ;10775        ;     ~   
5903;NGC  6290  ;NGC 6290                           ;GiG;255.2351475468900 +58.9704274811900;            ~ ~   ;      ~  ;12048        ;     ~   
5904;NGC  6291  ;NGC 6291                           ;GiG;255.2330563087200 +58.9375429156100;    1.320 1.945   ;      ~  ;5155         ;     ~   
5905;NGC  6292  ;NGC 6292                           ;G  ;255.7644150416699 +61.0439041310100;            ~ ~   ;      ~  ;3392         ;     ~   
5906;NGC  6293  ;NGC 6293                           ;GlC;257.54342 -26.58172                ;     0.87 -4.31   ;0.0891   ;-143.66      ;9.02     
5907;NGC  6295  ;NGC 6295                           ;rG ;255.813600 +60.337792              ;            ~ ~   ;      ~  ;9001         ;     ~   
5908;NGC  6296  ;NGC 6296                           ;GiG;257.1852830148800 +03.8941173822400;            ~ ~   ;      ~  ;6671         ;     ~   
5909;NGC  6297  ;NGC 6297                           ;LIN;255.9022981006899 +62.0256085610700;   0.176 -0.542   ;0.2596   ;4975         ;     ~   
5910;NGC  6299  ;NGC 6299                           ;G  ;256.2683944615900 +62.4578256638800;   0.295 -0.202   ;0.1959   ;5895         ;     ~   
5911;NGC  6300  ;NGC 6300                           ;Sy2;259.2480908728999 -62.8205407191200;            ~ ~   ;      ~  ;1102.2       ;13.08    
5912;NGC  6301  ;NGC 6301                           ;GiG;257.1364369173100 +42.3391277731800;            ~ ~   ;      ~  ;8322.8       ;     ~   
5913;NGC  6302  ;NAME Bug Nebula                    ;PN ;258.434746 -37.103042              ;            ~ ~   ;      ~  ;-35.7        ;10.10    
5914;NGC  6303  ;NGC 6303                           ;rG ;256.2615361072700 +68.8275744244600;            ~ ~   ;      ~  ;11896        ;     ~   
5915;NGC  6304  ;NGC 6304                           ;GlC;258.63437 -29.46203                ;    -4.04 -1.03   ;0.1109   ;-108.62      ;9.03     
5916;NGC  6305  ;NGC 6305                           ;GiG;259.5038142666900 -59.1721093502800;   -0.713 1.287   ;      ~  ;2692         ;12.61    
5917;NGC  6306  ;NGC 6306                           ;GiG;256.903779 +60.728664              ;            ~ ~   ;      ~  ;2958         ;13.74    
5918;NGC  6307  ;NGC 6307                           ;GiP;256.9186331106599 +60.7507634194600;    1.059 0.365   ;      ~  ;3038         ;     ~   
5919;NGC  6308  ;NGC 6308                           ;Sy2;257.9987955309600 +23.3799664585100;  -0.466 -2.568   ;      ~  ;8684         ;     ~   
5920;NGC  6309  ;NAME Box Nebula                    ;PN ;258.5179477501499 -12.9105259088500;   -2.031 3.203   ;0.383    ;-40          ;     ~   
5921;NGC  6310  ;NGC 6310                           ;LIN;256.989321 +60.990056              ;            ~ ~   ;      ~  ;3400.8       ;     ~   
5922;NGC  6311  ;NGC 6311                           ;G  ;257.681579 +41.651047              ;            ~ ~   ;      ~  ;10526        ;     ~   
5923;NGC  6312  ;NGC 6312                           ;G  ;257.7006504996800 +42.2876936337700;            ~ ~   ;      ~  ;10316        ;     ~   
5924;NGC  6313  ;NGC 6313                           ;G  ;257.5867858370100 +48.3317752796800;            ~ ~   ;      ~  ;7179         ;     ~   
5925;NGC  6314  ;NGC 6314                           ;LIN;258.1612001752800 +23.2700637241700;    0.503 0.942   ;0.4501   ;6543         ;14.62    
5926;NGC  6315  ;NGC 6315                           ;EmG;258.1922815891600 +23.2235792838600;  -0.232 -0.804   ;0.2643   ;6649         ;     ~   
5927;NGC  6316  ;NGC 6316                           ;GlC;259.15592 -28.14000                ;    -4.97 -4.61   ;0.0653   ;99.81        ;9.03     
5928;NGC  6317  ;NGC 6317                           ;G  ;257.2478856271300 +62.8980154987600;            ~ ~   ;      ~  ;8005         ;     ~   
5929;NGC  6318  ;NGC 6318                           ;OpC;259.0440 -39.4240                  ;  -0.740 -2.451   ;0.410    ;~            ;11.8     
5930;NGC  6319  ;NGC 6319                           ;G  ;257.4336472481700 +62.9730337826900;            ~ ~   ;      ~  ;8087         ;     ~   
5931;NGC  6320  ;NGC 6320                           ;GiG;258.2322291313600 +40.2664930341500;            ~ ~   ;      ~  ;8168         ;     ~   
5932;NGC  6321  ;NGC 6321                           ;G  ;258.6009326218600 +20.3139562186700;            ~ ~   ;      ~  ;6139         ;     ~   
5933;NGC  6322  ;NGC 6322                           ;OpC;259.6250 -42.9370                  ;   0.183 -2.272   ;0.728    ;-57.00       ;     ~   
5934;NGC  6323  ;NGC 6323                           ;GiG;258.3251892144700 +43.7824367448400;            ~ ~   ;      ~  ;7671         ;     ~   
5935;NGC  6324  ;NGC 6324                           ;G  ;256.358092 +75.407425              ;            ~ ~   ;      ~  ;4827         ;     ~   
5936;NGC  6325  ;NGC 6325                           ;GlC;259.49696 -23.76603                ;    -8.46 -9.02   ;0.1331   ;29.54        ;     ~   
5937;NGC  6326  ;NGC 6326                           ;PN ;260.192717 -51.754214              ;      -7.7 24.9   ;      ~  ;10.7         ;11.53    
5938;NGC  6327  ;NGC 6327                           ;G  ;258.5095220709300 +43.6494735194700;            ~ ~   ;      ~  ;~            ;     ~   
5939;NGC  6328  ;NGC 6328                           ;QSO;260.9209606344500 -65.0101735414900;    0.217 0.673   ;0.4081   ;4346.3       ;13.2     
5940;NGC  6329  ;NGC 6329                           ;GiG;258.5626158793300 +43.6846946615300;            ~ ~   ;      ~  ;8039         ;     ~   
5941;NGC  6330  ;NGC 6330                           ;rG ;258.9350509028900 +29.4043222728600;            ~ ~   ;      ~  ;8565         ;     ~   
5942;NGC  6331  ;NGC 6331                           ;GiG;255.8995380614300 +78.6289072134300;            ~ ~   ;      ~  ;15412        ;     ~   
5943;NGC  6332  ;NGC 6332                           ;GiG;258.7620683030300 +43.6601613613800;            ~ ~   ;      ~  ;8290         ;     ~   
5944;NGC  6333  ;M 9                                ;GlC;259.79908 -18.51625                ;    -2.21 -3.21   ;0.1117   ;310.75       ;8.42     
5945;NGC  6334  ;NAME Cat's Paw Nebula              ;HII;260.2120 -36.1150                  ;    -0.75 -3.32   ;      ~  ;-7.17        ;     ~   
5946;NGC  6335  ;NGC 6335                           ;~  ;259.9125 -30.1800                  ;            ~ ~   ;      ~  ;~            ;     ~   
5947;NGC  6336  ;NGC 6336                           ;GiG;259.0690818206700 +43.8205507616600;            ~ ~   ;      ~  ;8022         ;     ~   
5948;NGC  6337  ;NGC 6337                           ;PN ;260.5653005890700 -38.4838154425700;  -0.967 -2.801   ;0.5943   ;-70.9        ;12.00    
5949;NGC  6338  ;NGC 6338                           ;Bla;258.8457675801399 +57.4112073777600;            ~ ~   ;      ~  ;8073         ;     ~   
5950;NGC  6339  ;NGC 6339                           ;G  ;259.2770066822400 +40.8448690970200;            ~ ~   ;      ~  ;2101         ;     ~   
5951;NGC  6340  ;NGC 6340                           ;GiP;257.6034776059900 +72.3044222212800;            ~ ~   ;      ~  ;1219         ;11.01    
5952;NGC  6341  ;M 92                               ;GlC;259.28079 +43.13594                ;            ~ ~   ;0.0562   ;-120.48      ;6.52     
5953;NGC  6342  ;NGC 6342                           ;GlC;260.29225 -19.58742                ;    -2.94 -7.08   ;0.1092   ;116.56       ;10.01    
5954;NGC  6343  ;NGC 6343                           ;GiG;259.3177850049300 +41.0527500122900;            ~ ~   ;      ~  ;8164         ;     ~   
5955;NGC  6345  ;NGC 6345                           ;G  ;258.8511432501200 +57.3502853431800;            ~ ~   ;      ~  ;10133        ;     ~   
5956;NGC  6346  ;NGC 6346                           ;LIN;258.8519516118399 +57.3225040294700;            ~ ~   ;      ~  ;8716         ;     ~   
5957;NGC  6347  ;NGC 6347                           ;G  ;259.9778122874700 +16.6606638291400;    1.281 1.011   ;0.2511   ;6080         ;13.450   
5958;NGC  6348  ;NGC 6348                           ;G  ;259.5882846489999 +41.6476140521900;   -0.421 0.208   ;      ~  ;1918         ;     ~   
5959;NGC  6349  ;NGC 6349                           ;G  ;259.7772913309900 +36.0609758494500; -3.627 -10.115   ;      ~  ;11324        ;     ~   
5960;NGC  6350  ;NGC 6350                           ;G  ;259.6760434486300 +41.6943345482700;            ~ ~   ;      ~  ;9599         ;     ~   
5961;NGC  6351  ;NGC 6351                           ;G  ;259.7960734968500 +36.0603042471600;            ~ ~   ;      ~  ;~            ;     ~   
5962;NGC  6352  ;NGC 6352                           ;GlC;261.37129 -48.42217                ;    -2.15 -4.38   ;0.15     ;-125.63      ;8.87     
5963;NGC  6353  ;NGC 6353                           ;~  ;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
5964;NGC  6355  ;NGC 6355                           ;GlC;260.99437 -26.35342                ;    -4.61 -0.50   ;0.0843   ;-194.13      ;11.05    
5965;NGC  6356  ;NGC 6356                           ;GlC;260.89579 -17.81303                ;    -3.78 -3.34   ;0.0878   ;38.93        ;7.42     
5966;NGC  6357  ;NAME the War and Peace Nebula      ;OpC;261.1850 -34.2030                  ;  -0.854 -2.083   ;0.567    ;-8.00        ;     ~   
5967;NGC  6358  ;NGC 6358                           ;GiG;259.7209753027599 +52.6153480655600;            ~ ~   ;      ~  ;9124         ;     ~   
5968;NGC  6359  ;NGC 6359                           ;GiG;259.4707412616900 +61.7807961895300;            ~ ~   ;      ~  ;2959         ;12.64    
5969;NGC  6360  ;NGC 6360                           ;~  ;261.3750 -29.9750                  ;    -2.99 -3.03   ;      ~  ;~            ;     ~   
5970;NGC  6361  ;NGC 6361                           ;IG ;259.6713676341100 +60.6079930808900;            ~ ~   ;      ~  ;3964         ;     ~   
5971;NGC  6362  ;NGC 6362                           ;GlC;262.97912 -67.04833                ;    -5.49 -4.76   ;0.0995   ;-14.58       ;8.86     
5972;NGC  6363  ;NGC 6363                           ;G  ;260.6666959724900 +41.1016482467200;            ~ ~   ;      ~  ;8718         ;     ~   
5973;NGC  6364  ;NGC 6364                           ;G  ;261.1138381759799 +29.3902116354900;            ~ ~   ;      ~  ;6768         ;     ~   
5974;NGC  6365  ;NGC 6365                           ;IG ;260.681326 +62.173666              ;            ~ ~   ;      ~  ;7915         ;     ~   
5975;NGC  6366  ;NGC 6366                           ;GlC;261.93433 -05.07986                ;    -0.39 -5.14   ;0.2281   ;-120.65      ;     ~   
5976;NGC  6367  ;NGC 6367                           ;G  ;261.2875628336200 +37.7599074230800;    0.644 1.172   ;      ~  ;7822         ;     ~   
5977;NGC  6368  ;NGC 6368                           ;G  ;261.798096 +11.543622              ;            ~ ~   ;      ~  ;2754         ;     ~   
5978;NGC  6369  ;NAME Little Ghost Nebula           ;PN ;262.3352360462100 -23.7596588386800;  -0.239 -0.841   ;0.9184   ;-106.0       ;12.00    
5979;NGC  6370  ;NGC 6370                           ;Sy2;260.854829 +56.974500              ;            ~ ~   ;      ~  ;8115         ;     ~   
5980;NGC  6371  ;NGC 6371                           ;G  ;261.8359582687500 +26.5051872940500;            ~ ~   ;      ~  ;6344         ;     ~   
5981;NGC  6372  ;NGC 6372                           ;G  ;261.882658 +26.475125              ;            ~ ~   ;      ~  ;4711         ;     ~   
5982;NGC  6373  ;NGC 6373                           ;G  ;261.033730 +58.995097              ;            ~ ~   ;      ~  ;3286         ;     ~   
5983;NGC  6374  ;NGC 6374                           ;Cl*;263.0625 -32.5967                  ;            ~ ~   ;      ~  ;~            ;     ~   
5984;NGC  6375  ;NGC 6375                           ;GiP;262.3411569455900 +16.2067379846400;            ~ ~   ;      ~  ;5995         ;     ~   
5985;NGC  6376  ;NGC 6376                           ;AGN;261.329925 +58.817314              ;            ~ ~   ;      ~  ;8452         ;18.97    
5986;NGC  6377  ;NGC 6377                           ;GiP;261.3466976272799 +58.8227427152600;            ~ ~   ;      ~  ;8431         ;     ~   
5987;NGC  6378  ;NGC 6378                           ;GiG;262.6748652922900 +06.2821642918400;            ~ ~   ;      ~  ;6635         ;     ~   
5988;NGC  6379  ;NGC 6379                           ;G  ;262.6454224932500 +16.2887667676900;            ~ ~   ;      ~  ;5912         ;     ~   
5989;NGC  6380  ;NAME Tonantzintla 1                ;GlC;263.61667 -39.06917                ;    -2.04 -3.17   ;0.0677   ;-6.54        ;     ~   
5990;NGC  6381  ;NGC 6381                           ;GiP;261.820467 +60.014069              ;            ~ ~   ;      ~  ;3244         ;     ~   
5991;NGC  6382  ;NGC 6382                           ;GiG;261.9798387421200 +56.8687101892700;            ~ ~   ;      ~  ;8729         ;     ~   
5992;NGC  6383  ;NGC 6383                           ;OpC;263.6730 -32.5730                  ;   2.596 -1.708   ;0.873    ;-1.2         ;5.5      
5993;NGC  6384  ;NGC 6384                           ;G  ;263.1011868295400 +07.0604254513800;            ~ ~   ;      ~  ;1680         ;     ~   
5994;NGC  6385  ;NGC 6385                           ;LIN;262.0059086086300 +57.5218173666200;            ~ ~   ;      ~  ;3327         ;     ~   
5995;NGC  6386  ;NGC 6386                           ;G  ;262.2157883833600 +52.7233930562000;            ~ ~   ;      ~  ;6980         ;     ~   
5996;NGC  6387  ;NGC 6387                           ;Sy1;262.099352 +57.545419              ;            ~ ~   ;      ~  ;8437         ;16.81    
5997;NGC  6388  ;NGC 6388                           ;GlC;264.072754 -44.735650              ;    -1.33 -2.68   ;0.0806   ;82.85        ;     ~   
5998;NGC  6389  ;NGC 6389                           ;G  ;263.1656164213600 +16.4018138827700;            ~ ~   ;      ~  ;3103         ;12.389   
5999;NGC  6390  ;NGC 6390                           ;G  ;262.116850 +60.094392              ;            ~ ~   ;      ~  ;3167         ;     ~   
6000;NGC  6391  ;NGC 6391                           ;GiG;262.204153 +58.850879              ;            ~ ~   ;      ~  ;7997         ;     ~   
6001;NGC  6392  ;NGC 6392                           ;G  ;265.8763073753500 -69.7852455179000;   -1.300 1.429   ;1.5949   ;3697         ;     ~   
6002;NGC  6393  ;NGC 6393                           ;G  ;262.535246 +59.531832              ;            ~ ~   ;      ~  ;6538         ;     ~   
6003;NGC  6394  ;NGC 6394                           ;Sy2;262.5892559196200 +59.6398901532000;            ~ ~   ;      ~  ;8382         ;     ~   
6004;NGC  6395  ;NGC 6395                           ;GiG;261.630371 +71.096261              ;            ~ ~   ;      ~  ;1167         ;     ~   
6005;NGC  6396  ;NGC 6396                           ;OpC;264.3990 -35.0130                  ;  -0.451 -2.050   ;0.353    ;-13.6        ;8.5      
6006;NGC  6397  ;NGC 6397                           ;GlC;265.17538 -53.67433                ;    3.30 -17.60   ;0.3824   ;18.39        ;5.17     
6007;NGC  6398  ;NGC 6398                           ;GiG;265.6824166330399 -61.6942199581900;            ~ ~   ;      ~  ;5364         ;     ~   
6008;NGC  6399  ;NGC 6399                           ;G  ;262.9595767753500 +59.6154850654800;            ~ ~   ;      ~  ;10572        ;     ~   
6009;NGC  6400  ;NGC 6400                           ;OpC;265.0620 -36.9570                  ;   0.499 -2.549   ;0.797    ;-13.06       ;8.8      
6010;NGC  6401  ;NGC 6401                           ;GlC;264.65387 -23.90875                ;     -2.79 1.48   ;0.1263   ;-99.26       ;10.71    
6011;NGC  6402  ;M 14                               ;GlC;264.40063 -03.24592                ;    -3.66 -5.03   ;0.0589   ;-60.71       ;5.73     
6012;NGC  6403  ;NGC 6403                           ;GiG;265.8480605205600 -61.6821192446300;            ~ ~   ;      ~  ;5027         ;     ~   
6013;NGC  6404  ;NGC 6404                           ;OpC;264.9160 -33.2240                  ;   0.194 -0.705   ;0.355    ;9.91         ;10.6     
6014;NGC  6405  ;NAME Butterfly Cluster             ;OpC;265.0690 -32.2420                  ;-1.3662 -5.8063   ;2.1626   ;-9.47        ;     ~   
6015;NGC  6406  ;NGC 6406                           ;~  ;No Coord.                          ;            ~ ~   ;      ~  ;~            ;     ~   
6016;NGC  6407  ;NGC 6407                           ;GiG;266.240267 -60.739800              ;            ~ ~   ;      ~  ;4566         ;     ~   
6017;NGC  6408  ;NGC 6408                           ;G  ;264.6973277701600 +18.8778756016400;            ~ ~   ;      ~  ;3914         ;     ~   
6018;NGC  6409  ;NGC 6409                           ;G  ;264.1475327817800 +50.7659028039400;            ~ ~   ;      ~  ;6101         ;     ~   
6019;NGC  6411  ;NGC 6411                           ;G  ;263.8868526426600 +60.8133990816100;            ~ ~   ;      ~  ;3657         ;     ~   
6020;NGC  6412  ;NGC 6412                           ;GiG;262.406342 +75.704331              ;            ~ ~   ;      ~  ;1320         ;     ~   
6021;NGC  6414  ;NGC 6414                           ;G  ;262.6532585656399 +74.3761596742200;            ~ ~   ;      ~  ;16189        ;     ~   
6022;NGC  6415  ;NGC 6415                           ;~  ;266.0833 -35.0050                  ;            ~ ~   ;      ~  ;~            ;     ~   
6023;NGC  6416  ;NGC 6416                           ;OpC;266.0140 -32.3440                  ;  -1.946 -2.327   ;0.922    ;-11.201      ;     ~   
6024;NGC  6417  ;NGC 6417                           ;G  ;265.4492416792100 +23.6721490070800;            ~ ~   ;      ~  ;3245         ;     ~   
6025;NGC  6418  ;NGC 6418                           ;Sy2;264.5387653990000 +58.7149031056500;   -0.112 0.239   ;      ~  ;8481         ;16.84    
6026;NGC  6419  ;NGC 6419                           ;GiG;264.023804 +68.155922              ;            ~ ~   ;      ~  ;7839         ;     ~   
6027;NGC  6420  ;NGC 6420                           ;GiG;264.0679716909000 +68.0523706923800;            ~ ~   ;      ~  ;8014         ;     ~   
6028;NGC  6421  ;NGC 6421                           ;~  ;266.4250 -33.6867                  ;            ~ ~   ;      ~  ;~            ;     ~   
6029;NGC  6422  ;NGC 6422                           ;GiG;264.1251038090700 +68.0586259595300;            ~ ~   ;      ~  ;7576         ;     ~   
6030;NGC  6423  ;NGC 6423                           ;Sy1;264.2222182027699 +68.1714838945000;    0.422 1.472   ;      ~  ;7167         ;     ~   
6031;NGC  6424  ;NGC 6424                           ;G  ;264.0502470535399 +69.9889227036600;            ~ ~   ;      ~  ;7712         ;     ~   
6032;NGC  6425  ;NGC 6425                           ;OpC;266.7330 -31.5070                  ;   3.801 -1.647   ;0.987    ;5.439        ;7.2      
6033;NGC  6426  ;NGC 6426                           ;GlC;266.22796 +03.17014                ;    -1.84 -3.00   ;0.0317   ;-210.51      ;     ~   
6034;NGC  6427  ;NGC 6427                           ;GiP;265.9108082110900 +25.4939220357800;    0.491 1.090   ;      ~  ;3232         ;     ~   
6035;NGC  6429  ;NGC 6429                           ;GiP;266.0223232681600 +25.3507247379600;            ~ ~   ;      ~  ;3344         ;     ~   
6036;NGC  6430  ;NGC 6430                           ;GiG;266.309417 +18.138872              ;            ~ ~   ;      ~  ;3038         ;     ~   
6037;NGC  6432  ;NGC 6432                           ;?  ;266.8433 -24.8875                  ;            ~ ~   ;      ~  ;~            ;     ~   
6038;NGC  6433  ;NGC 6433                           ;G  ;265.9841738930900 +36.8000513789500;  -2.348 -1.309   ;0.9348   ;7384         ;     ~   
6039;NGC  6434  ;NGC 6434                           ;Sy1;264.2033193787499 +72.0889243721100;            ~ ~   ;      ~  ;2459         ;     ~   
6040;NGC  6435  ;NGC 6435                           ;GiG;265.0461757562600 +62.6417249132900;            ~ ~   ;      ~  ;8373         ;     ~   
6041;NGC  6436  ;NGC 6436                           ;G  ;265.3050970260800 +60.4496555130800;            ~ ~   ;      ~  ;6264         ;     ~   
6042;NGC  6438  ;NGC 6438                           ;IG ;275.5725806105100 -85.4020119246900;   1.263 -2.680   ;      ~  ;2541.3       ;11.61    
6043;NGC  6439  ;NGC 6439                           ;PN ;267.082583 -16.479006              ;      -29.8 7.2   ;      ~  ;-109         ;12.2     
